Url,Song,Band
/lyric/4576041/Tranzas/Met%C3%A1lica,Metálica,Tranzas
/lyric/4576047/Tranzas/Mientras+Me+Quieras,Mientras Me Quieras,Tranzas
/lyric/4576040/Tranzas/Un+Nuevo+Amor,Un Nuevo Amor,Tranzas
/lyric/4576042/Tranzas/Por+Siempre,Por Siempre,Tranzas
/lyric/4576039/Tranzas/Si+Volvieras,Si Volvieras,Tranzas
/lyric/5926040/Tranzas/Mor%C3%AD,Morí,Tranzas
artist/Douglas%20Bastidas/739479,Douglas Bastidas,Tranzas
/lyric/7635082/Tranzas/Fama,Fama,Tranzas
/lyric/7635079/Tranzas/El+Juego,El Juego,Tranzas
/lyric/7635085/Tranzas/Quiero+Verte,Quiero Verte,Tranzas
/lyric/32987564/Trap+Beckham/Birthday+Bitch,Birthday Bitch,Trap Beckham
/lyric/861849/Trapeze/Feelin%27+So+Much+Better+Now,Feelin' So Much Better Now,Trapeze
/lyric/2677083/Trapeze/On+the+Sunny+Side+of+the+Street,On the Sunny Side of the Street,Trapeze
/lyric/844685/Trapezoid/The+Blacksmith,The Blacksmith,Trapezoid
/lyric/1034808/Trapezoid/The+Bramble+and+the+Rose,The Bramble and the Rose,Trapezoid
/lyric/1370395/Trapezoid/Back+in+Your+Own+Backyard,Back in Your Own Backyard,Trapezoid
/lyric/5960521/Trapped+in+Paradise/I%27ll+Keep+Your+Secret,I'll Keep Your Secret,Trapped in Paradise
/lyric/5897261/Trapt/Echo,Echo,Trapt
/lyric/5897264/Trapt/Enigma,Enigma,Trapt
/lyric/5897262/Trapt/The+Game,The Game,Trapt
/lyric/5897256/Trapt/Headstrong,Headstrong,Trapt
/lyric/5897258/Trapt/Hollowman,Hollowman,Trapt
/lyric/5897257/Trapt/Made+of+Glass,Made of Glass,Trapt
/lyric/5897266/Trapt/New+Beginning,New Beginning,Trapt
/lyric/5897260/Trapt/Still+Frame,Still Frame,Trapt
/lyric/5897265/Trapt/Stories,Stories,Trapt
/lyric/5897259/Trapt/These+Walls,These Walls,Trapt
/lyric/5897263/Trapt/When+All+Is+Said+and+Done,When All Is Said and Done,Trapt
