Url,Song,Band
/lyric/7256816/Hot+Snakes/Braintrust,Braintrust,Hot Snakes
/lyric/4404787/Gerbrer%2C+Heidi/%28Don%27t+Know+What+Was%29+the+Last+Thing+on+My+Mind,(Don't Know What Was) the Last Thing on My Mind,Hot Soup
artist/Gerbrer%2C%20Heidi/0,"Gerbrer, Heidi",Hot Soup
artist/Tom%20Paxton/2099,Tom Paxton,Hot Soup
artist/Marcy%20Marxer/27352,Marcy Marxer,Hot Soup
artist/Charlie%20Pilzer/114573,Charlie Pilzer,Hot Soup
/lyric/4404791/Ribaudo%2C+sue/Moonglow,Moonglow,Hot Soup
artist/Ribaudo%2C%20sue/0,"Ribaudo, sue",Hot Soup
artist/Christina%20Muir/174857,Christina Muir,Hot Soup
artist/Sue%20Trainor/431682,Sue Trainor,Hot Soup
/lyric/2439014/Hot+Stove+Jimmy/My+Girl,My Girl,Hot Stove Jimmy
/lyric/5342134/Hot+Strings/Lover%2C+Come+Back+to+Me,"Lover, Come Back to Me",Hot Strings
/lyric/4247152/Hot+Strings/St.+Louis+Blues,St. Louis Blues,Hot Strings
/lyric/5342154/Hot+Strings/Oh%2C+Lady+Be+Good,"Oh, Lady Be Good",Hot Strings
/lyric/7152435/Hot+Strings/I+Can%27t+Give+You+Anything+But+Love,I Can't Give You Anything But Love,Hot Strings
/lyric/7152437/Hot+Strings/You%27d+Be+So+Nice+to+Come+Home+To,You'd Be So Nice to Come Home To,Hot Strings
/lyric/6099354/Hot+Tuna/Know+You+Rider,Know You Rider,Hot Tuna
/lyric/4813376/Hot+Tuna/Candy+Man+%5B%23%5D%5B%2A%5D,Candy Man [#][*],Hot Tuna
/lyric/4813379/Hot+Tuna/Come+Back+Baby+%5B%23%5D%5B%2A%5D,Come Back Baby [#][*],Hot Tuna
/lyric/220368/Hot+Tuna/Death+Don%27t+Have+No+Mercy,Death Don't Have No Mercy,Hot Tuna
/lyric/220364/Hot+Tuna/Hesitation+Blues,Hesitation Blues,Hot Tuna
/lyric/220365/Hot+Tuna/How+Long+Blues,How Long Blues,Hot Tuna
/lyric/4813375/Hot+Tuna/Keep+Your+Lamps+Trimmed+and+Burning+%5B%23%5D%5B%2A%5D,Keep Your Lamps Trimmed and Burning [#][*],Hot Tuna
/lyric/220369/Hot+Tuna/Know+Your+Rider,Know Your Rider,Hot Tuna
/lyric/220372/Hot+Tuna/New+Song+%28For+the+Morning%29,New Song (For the Morning),Hot Tuna
/lyric/4813377/Hot+Tuna/True+Religion+%5B%23%5D%5B%2A%5D,True Religion [#][*],Hot Tuna
/lyric/220366/Hot+Tuna/Uncle+Sam+Blues,Uncle Sam Blues,Hot Tuna
/lyric/966170/Hot+Tuna/99+Year+Blues,99 Year Blues,Hot Tuna
/lyric/966174/Hot+Tuna/Ode+for+Billy+Dean,Ode for Billy Dean,Hot Tuna
/lyric/966171/Hot+Tuna/Sea+Child,Sea Child,Hot Tuna
/lyric/966168/Hot+Tuna/True+Religion,True Religion,Hot Tuna
/lyric/3117946/Hot+Tuna/Day+to+Day+Out+the+Window+Blues,Day to Day Out the Window Blues,Hot Tuna
/lyric/3117943/Hot+Tuna/Letter+to+the+North+Star,Letter to the North Star,Hot Tuna
/lyric/5055864/Hot+Tuna/Baby%2C+What+You+Want+Me+to+Do,"Baby, What You Want Me to Do",Hot Tuna
/lyric/455085/Hot+Tuna/I+Can%27t+Be+Satisfied,I Can't Be Satisfied,Hot Tuna
/lyric/455088/Hot+Tuna/Song+from+the+Stainless+Cymbal,Song from the Stainless Cymbal,Hot Tuna
/lyric/455080/Hot+Tuna/Watch+the+North+Wind+Rise,Watch the North Wind Rise,Hot Tuna
/lyric/472928/Hot+Tuna/Keep+Your+Lamps+Trimmed+and+Burning,Keep Your Lamps Trimmed and Burning,Hot Tuna
/lyric/960740/Hot+Tuna/Candy+Man,Candy Man,Hot Tuna
/lyric/960738/Hot+Tuna/I+Know+You+Rider,I Know You Rider,Hot Tuna
/lyric/960739/Hot+Tuna/Keep+on+Truckin%27,Keep on Truckin',Hot Tuna
/lyric/1188463/Hot+Tuna/Come+Back+Baby,Come Back Baby,Hot Tuna
/lyric/1188461/Hot+Tuna/Rock+Me+Baby,Rock Me Baby,Hot Tuna
/lyric/932697/Hot+Tuna/Eve+of+Destruction,Eve of Destruction,Hot Tuna
/lyric/932695/Hot+Tuna/Parchman+Farm,Parchman Farm,Hot Tuna
/lyric/1183516/Hot+Tuna/Genesis,Genesis,Hot Tuna
/lyric/1183512/Hot+Tuna/I+See+the+Light,I See the Light,Hot Tuna
/lyric/1183517/Hot+Tuna/Ice+Age,Ice Age,Hot Tuna
/lyric/7268395/Hot+Tuna/I+Know+You+Rider+%5B%23%5D,I Know You Rider [#],Hot Tuna
/lyric/4661292/Hot+Tuna/Endless+Sleep+%5BHarvey+Sorgen+on+Drums%5D,Endless Sleep [Harvey Sorgen on Drums],Hot Tuna
/lyric/7268764/Hot+Tuna/Hasitation+Blues,Hasitation Blues,Hot Tuna
/lyric/2552543/Hot+Tuna/Corners+Without+Exits,Corners Without Exits,Hot Tuna
/lyric/2552544/Hot+Tuna/In+the+Kingdom,In the Kingdom,Hot Tuna
/lyric/2673275/Hot+Tuna/I+Don%27t+Wanna+Go,I Don't Wanna Go,Hot Tuna
/lyric/1594331/Hot+Tuna/I+Am+the+Light+of+This+World,I Am the Light of This World,Hot Tuna
/lyric/2096126/Hot+Tuna/Walkin%27+Blues,Walkin' Blues,Hot Tuna
/lyric/2263376/Hot+Tuna/Easy+Now,Easy Now,Hot Tuna
/lyric/2263381/Hot+Tuna/Funky+%237,Funky #7,Hot Tuna
/lyric/2263378/Hot+Tuna/Hit+Single+%231,Hit Single #1,Hot Tuna
/lyric/2263375/Hot+Tuna/Living+Just+for+You,Living Just for You,Hot Tuna
/lyric/2263379/Hot+Tuna/Serpent+of+Dreams,Serpent of Dreams,Hot Tuna
/lyric/2263380/Hot+Tuna/Sleep+Song,Sleep Song,Hot Tuna
/lyric/24939204/Hot+Tuna/Funky+%237+%5BLive%5D,Funky #7 [Live],Hot Tuna
/lyric/3297333/Hot+Water+Music/Rooftops,Rooftops,Hot Water Music
/lyric/4805095/Ruby/One+More+Time,One More Time,Hot Water Music
artist/Ruby/0,Ruby,Hot Water Music
/lyric/5802429/Hot+Water+Music/The+End,The End,Hot Water Music
/lyric/7234355/Hot+Water+Music/The+End+of+the+Line,The End of the Line,Hot Water Music
/lyric/7234360/Hot+Water+Music/Keep+It+Together,Keep It Together,Hot Water Music
/lyric/7234354/Hot+Water+Music/Poison,Poison,Hot Water Music
/lyric/13860887/Hot+Water+Music/Bleeder,Bleeder,Hot Water Music
/lyric/13860886/Hot+Water+Music/Radio,Radio,Hot Water Music
/lyric/13860885/Hot+Water+Music/Russian+Roulette,Russian Roulette,Hot Water Music
/lyric/32498681/Hot+Water+Music/Rooftops+%5BLive+Version%5D,Rooftops [Live Version],Hot Water Music
/lyric/16672510/Hotel+Bossa+Nova/Corcovado,Corcovado,Hotel Bossa Nova
/lyric/33342913/Hotel+Garuda/Fixed+on+You,Fixed on You,Hotel Garuda
/lyric/8664121/Hotel+Lights/Miles+Behind+Me,Miles Behind Me,Hotel Lights
/lyric/8664123/Hotel+Lights/Small+Town+Shit,Small Town Shit,Hotel Lights
/lyric/8664119/Hotel+Lights/You+Come+and+I+Go,You Come and I Go,Hotel Lights
/lyric/28654328/H%C3%B4tel+Morph%C3%A9e/C%E2%80%99Est+Mieux+Comme+%C3%87a,C’Est Mieux Comme Ça,Hôtel Morphée
/lyric/16103336/Samantha+Fox/Touch+Me,Touch Me,Hotel Persona
artist/Samantha%20Fox/4301,Samantha Fox,Hotel Persona
/lyric/2673180/Hotel+X/Day+Tripper,Day Tripper,Hotel X
