Url,Song,Band
/lyric/1516302/Fred+Waring/Fit+as+a+Fiddle,Fit as a Fiddle,Fred Waring
/lyric/4221262/Fred+Waring/Dancing+in+the+Dark,Dancing in the Dark,Fred Waring
/lyric/4221243/Fred+Waring/June+Night,June Night,Fred Waring
/lyric/4221263/Fred+Waring/Let%27s+Have+Another+Cup+of+Coffee,Let's Have Another Cup of Coffee,Fred Waring
/lyric/4221259/Fred+Waring/Little+White+Lies,Little White Lies,Fred Waring
/lyric/4221241/Fred+Waring/Sleep,Sleep,Fred Waring
/lyric/4911546/Fred+Waring/Button+Up+Your+Overcoat,Button Up Your Overcoat,Fred Waring
/lyric/4911552/Fred+Waring/I+Want+to+Be+Happy,I Want to Be Happy,Fred Waring
/lyric/7277355/Fred+Waring/Easy+to+Love,Easy to Love,Fred Waring
/lyric/7277359/Fred+Waring/Embraceable+You,Embraceable You,Fred Waring
/lyric/7277380/Fred+Waring/Jada+%5BLive%5D,Jada [Live],Fred Waring
/lyric/7277357/Fred+Waring/The+Nearness+of+You,The Nearness of You,Fred Waring
/lyric/7277360/Fred+Waring/You%27d+Be+So+Nice+to+Come+Home+To,You'd Be So Nice to Come Home To,Fred Waring
/lyric/947274/Fred+Wesley/Love+Child,Love Child,Fred Wesley
/lyric/947272/Fred+Wesley/On+Green+Dolphin+Street,On Green Dolphin Street,Fred Wesley
/lyric/8898152/Fred+Wesley/Emily,Emily,Fred Wesley
/lyric/8898153/Fred+Wesley/It+Don%27t+Mean+a+Thing+%28If+It+Ain%27t+Got+That+Swing%29,It Don't Mean a Thing (If It Ain't Got That Swing),Fred Wesley
/lyric/8898154/Fred+Wesley/Just+Squeeze+Me+%28But+Don%27t+Tease+Me%29,Just Squeeze Me (But Don't Tease Me),Fred Wesley
/lyric/25421441/The+J.B.%27s/Back+Stabbers,Back Stabbers,Fred Wesley
artist/The%20J.B.%27s/89579,The J.B.'s,Fred Wesley
artist/Fred%20Wesley%20%26%20the%20J.B.%27s/196805,Fred Wesley & the J.B.'s,Fred Wesley
/lyric/25421444/The+J.B.%27s/Get+on+the+Good+Foot,Get on the Good Foot,Fred Wesley
artist/The%20J.B.%27s/89579,The J.B.'s,Fred Wesley
artist/Fred%20Wesley%20%26%20the%20J.B.%27s/196805,Fred Wesley & the J.B.'s,Fred Wesley
/lyric/25421449/The+J.B.%27s/Secret+Love,Secret Love,Fred Wesley
artist/The%20J.B.%27s/89579,The J.B.'s,Fred Wesley
artist/Fred%20Wesley%20%26%20the%20J.B.%27s/196805,Fred Wesley & the J.B.'s,Fred Wesley
/lyric/7756559/Fred+Wilhelm/Nothing+I+Can+Do+About+It+Now,Nothing I Can Do About It Now,Fred Wilhelm
/lyric/4924474/Freda+Payne/%27Round+Midnight,'Round Midnight,Freda Payne
/lyric/4924467/Freda+Payne/After+the+Lights+Go+Down+Low,After the Lights Go Down Low,Freda Payne
/lyric/4924473/Freda+Payne/I+Cried+for+You,I Cried for You,Freda Payne
/lyric/4924477/Freda+Payne/I+Wish+I+Knew,I Wish I Knew,Freda Payne
/lyric/4924475/Freda+Payne/Out+of+This+World,Out of This World,Freda Payne
/lyric/16440995/Freda+Payne/You%27ve+Lost+That+Lovin%27+Feelin%27,You've Lost That Lovin' Feelin',Freda Payne
/lyric/395603/Freda+Payne/Rainy+Days+and+Mondays,Rainy Days and Mondays,Freda Payne
/lyric/395605/Freda+Payne/Right+Back+Where+I+Started+From,Right Back Where I Started From,Freda Payne
/lyric/18808322/Freda+Payne/A+Song+For+You,A Song For You,Freda Payne
/lyric/18808321/Freda+Payne/The+Way+We+Were,The Way We Were,Freda Payne
/lyric/22063767/Freda+Payne/I+Won%27t+Last+a+Day,I Won't Last a Day,Freda Payne
/lyric/4366752/Freda+Payne/I%27m+Not+Getting+Any+Better,I'm Not Getting Any Better,Freda Payne
/lyric/1615081/Freda+Payne/Bring+the+Boys+Home,Bring the Boys Home,Freda Payne
/lyric/1615072/Freda+Payne/Don%27t+Rain+on+My+Parade,Don't Rain on My Parade,Freda Payne
/lyric/1615073/Freda+Payne/I%27m+a+Woman,I'm a Woman,Freda Payne
/lyric/1615084/Freda+Payne/In+a+Sentimental+Mood,In a Sentimental Mood,Freda Payne
/lyric/1615082/Freda+Payne/It+Don%27t+Mean+a+Thing+%28If+It+Ain%27t+Got+That+Swing%29,It Don't Mean a Thing (If It Ain't Got That Swing),Freda Payne
/lyric/1615089/Freda+Payne/Oh%2C+Lady+Be+Good,"Oh, Lady Be Good",Freda Payne
/lyric/1615085/Freda+Payne/Rough+and+Ready+Man,Rough and Ready Man,Freda Payne
/lyric/1615088/Freda+Payne/Stormy+Weather,Stormy Weather,Freda Payne
/lyric/1615076/Freda+Payne/Teach+Me+Tonight,Teach Me Tonight,Freda Payne
/lyric/1387839/Freda+Payne/Have+Yourself+a+Merry+Little+Christmas,Have Yourself a Merry Little Christmas,Freda Payne
/lyric/1387845/Freda+Payne/O+Little+Town+of+Bethlehem,O Little Town of Bethlehem,Freda Payne
/lyric/1387842/Freda+Payne/Santa+Baby,Santa Baby,Freda Payne
/lyric/1387844/Freda+Payne/Silver+Bells,Silver Bells,Freda Payne
/lyric/1387848/Freda+Payne/This+Christmas,This Christmas,Freda Payne
/lyric/4354974/Freda+Payne/Love+on+Borrowed+Time,Love on Borrowed Time,Freda Payne
/lyric/3443283/Freda+Payne/Look+What+I+Found,Look What I Found,Freda Payne
/lyric/3443284/Freda+Payne/You,You,Freda Payne
/lyric/4573861/Freda+Payne/Come+See+About+Me,Come See About Me,Freda Payne
artist/Ray%20Obiedo/25826,Ray Obiedo,Freda Payne
artist/George%20Brooks/59695,George Brooks,Freda Payne
artist/Steve%20Fontano/76816,Steve Fontano,Freda Payne
artist/Mic%20Gillette/80032,Mic Gillette,Freda Payne
artist/Preston%20Glass/80297,Preston Glass,Freda Payne
artist/Roberta%20Freeman/414312,Roberta Freeman,Freda Payne
artist/Troy%20Lacetta/850782,Troy Lacetta,Freda Payne
artist/Se/851810,Se,Freda Payne
/lyric/4573860/Freda+Payne/I+Couldn%27t+Live+Without+Your+Love,I Couldn't Live Without Your Love,Freda Payne
artist/Ray%20Obiedo/25826,Ray Obiedo,Freda Payne
artist/George%20Brooks/59695,George Brooks,Freda Payne
artist/Steve%20Fontano/76816,Steve Fontano,Freda Payne
artist/Mic%20Gillette/80032,Mic Gillette,Freda Payne
artist/Preston%20Glass/80297,Preston Glass,Freda Payne
artist/Roberta%20Freeman/414312,Roberta Freeman,Freda Payne
artist/Troy%20Lacetta/850782,Troy Lacetta,Freda Payne
artist/Se/851810,Se,Freda Payne
/lyric/4573864/Freda+Payne/Just+Like+That,Just Like That,Freda Payne
artist/Ray%20Obiedo/25826,Ray Obiedo,Freda Payne
artist/George%20Brooks/59695,George Brooks,Freda Payne
artist/Steve%20Fontano/76816,Steve Fontano,Freda Payne
artist/Mic%20Gillette/80032,Mic Gillette,Freda Payne
artist/Preston%20Glass/80297,Preston Glass,Freda Payne
artist/Roberta%20Freeman/414312,Roberta Freeman,Freda Payne
artist/Troy%20Lacetta/850782,Troy Lacetta,Freda Payne
artist/Se/851810,Se,Freda Payne
/lyric/4573863/Freda+Payne/Nice+to+Be+With+You,Nice to Be With You,Freda Payne
artist/Ray%20Obiedo/25826,Ray Obiedo,Freda Payne
artist/George%20Brooks/59695,George Brooks,Freda Payne
artist/Steve%20Fontano/76816,Steve Fontano,Freda Payne
artist/Mic%20Gillette/80032,Mic Gillette,Freda Payne
artist/Preston%20Glass/80297,Preston Glass,Freda Payne
artist/Roberta%20Freeman/414312,Roberta Freeman,Freda Payne
artist/Troy%20Lacetta/850782,Troy Lacetta,Freda Payne
artist/Se/851810,Se,Freda Payne
/lyric/4573859/Freda+Payne/You+Turned+the+Tables+on+Me,You Turned the Tables on Me,Freda Payne
artist/Ray%20Obiedo/25826,Ray Obiedo,Freda Payne
artist/George%20Brooks/59695,George Brooks,Freda Payne
artist/Steve%20Fontano/76816,Steve Fontano,Freda Payne
artist/Mic%20Gillette/80032,Mic Gillette,Freda Payne
artist/Preston%20Glass/80297,Preston Glass,Freda Payne
artist/Roberta%20Freeman/414312,Roberta Freeman,Freda Payne
artist/Troy%20Lacetta/850782,Troy Lacetta,Freda Payne
artist/Se/851810,Se,Freda Payne
/lyric/5320326/Freda+Payne/Band+of+Gold+%5BAlternative+Version%5D%5BAlternate+Take%5D,Band of Gold [Alternative Version][Alternate Take],Freda Payne
/lyric/5320327/Freda+Payne/Deeper+and+Deeper+%5BSingle+Version%5D,Deeper and Deeper [Single Version],Freda Payne
/lyric/5320298/Freda+Payne/Happy+Heart,Happy Heart,Freda Payne
/lyric/5320309/Freda+Payne/Odds+and+Ends,Odds and Ends,Freda Payne
/lyric/5320307/Freda+Payne/The+Road+We+Didn%27t+Take,The Road We Didn't Take,Freda Payne
/lyric/5320295/Freda+Payne/This+Girl+Is+a+Woman+Now,This Girl Is a Woman Now,Freda Payne
/lyric/19386758/Freda+Payne/The+Lady+Is+a+Tramp,The Lady Is a Tramp,Freda Payne
/lyric/7327588/Fredalba/Gimme+More,Gimme More,Fredalba
/lyric/7327587/Fredalba/Leaders+of+the+Wasteland,Leaders of the Wasteland,Fredalba
/lyric/7327590/Fredalba/Prepare+to+Reactivate,Prepare to Reactivate,Fredalba
/lyric/7327591/Fredalba/Progression,Progression,Fredalba
/lyric/32818380/Freddie+%26+the+Dreamers/I+Understand,I Understand,Freddie & the Dreamers
/lyric/32818399/Freddie+%26+the+Dreamers/A++Little+You+%5B%2A%5D,A  Little You [*],Freddie & the Dreamers
/lyric/32818397/Freddie+%26+the+Dreamers/You+Were+Made+for+Me+%5B%2A%5D,You Were Made for Me [*],Freddie & the Dreamers
/lyric/48659/Freddie+%26+the+Dreamers/Do+the+Freddie,Do the Freddie,Freddie & the Dreamers
/lyric/48667/Freddie+%26+the+Dreamers/I+Just+Don%27t+Understand,I Just Don't Understand,Freddie & the Dreamers
/lyric/48670/Freddie+%26+the+Dreamers/I+Love+You+Baby,I Love You Baby,Freddie & the Dreamers
/lyric/48657/Freddie+%26+the+Dreamers/I+Understand+%28Just+How+You+Feel%29,I Understand (Just How You Feel),Freddie & the Dreamers
/lyric/48652/Freddie+%26+the+Dreamers/I%27m+Telling+You+Now,I'm Telling You Now,Freddie & the Dreamers
/lyric/48658/Freddie+%26+the+Dreamers/If+You+Gotta+Make+a+Fool+of+Somebody,If You Gotta Make a Fool of Somebody,Freddie & the Dreamers
/lyric/48671/Freddie+%26+the+Dreamers/It+Doesn%27t+Matter+Anymore,It Doesn't Matter Anymore,Freddie & the Dreamers
/lyric/48666/Freddie+%26+the+Dreamers/A+Little+You,A Little You,Freddie & the Dreamers
/lyric/48656/Freddie+%26+the+Dreamers/Over+You,Over You,Freddie & the Dreamers
/lyric/3716420/Freddie+%26+the+Dreamers/Money+%28That%27s+What+I+Want%29,Money (That's What I Want),Freddie & the Dreamers
/lyric/5588478/Freddie+%26+the+Dreamers/I%27ll+Never+Dance+Again,I'll Never Dance Again,Freddie & the Dreamers
/lyric/5588474/Freddie+%26+the+Dreamers/Jailer+Bring+Me+Water,Jailer Bring Me Water,Freddie & the Dreamers
/lyric/26543930/Freddie+%26+the+Dreamers/Cut+Across+Shorty,Cut Across Shorty,Freddie & the Dreamers
/lyric/5588480/Freddie+%26+the+Dreamers/See+You+Later%2C+Alligator,"See You Later, Alligator",Freddie & the Dreamers
/lyric/5588494/Freddie+%26+the+Dreamers/The+Unbirthday+Song,The Unbirthday Song,Freddie & the Dreamers
/lyric/5588489/Freddie+%26+the+Dreamers/When+You+Wish+Upon+a+Star,When You Wish Upon a Star,Freddie & the Dreamers
/lyric/8765857/Freddie+%26+the+Dreamers/59th+Street+Bridge+Song+%28Feeling+Groovy%29,59th Street Bridge Song (Feeling Groovy),Freddie & the Dreamers
/lyric/32711201/Freddie+%26+the+Dreamers/Let%27s+Twist+Again,Let's Twist Again,Freddie & the Dreamers
/lyric/24201892/Freddie+Aguilar/Anak+%5BOriginal+Version%5D,Anak [Original Version],Freddie Aguilar
/lyric/5678418/Freddie+Brocksieper/Exactly+Like+You,Exactly Like You,Freddie Brocksieper
/lyric/5678415/Freddie+Brocksieper/Sophisticated+Lady,Sophisticated Lady,Freddie Brocksieper
/lyric/5678419/Freddie+Brocksieper/Sweet+Lorraine,Sweet Lorraine,Freddie Brocksieper
/lyric/5678472/Freddie+Brocksieper/Begin+the+Beguine,Begin the Beguine,Freddie Brocksieper
/lyric/5678459/Freddie+Brocksieper/Lullaby+of+Birdland,Lullaby of Birdland,Freddie Brocksieper
/lyric/5678458/Freddie+Brocksieper/These+Foolish+Things,These Foolish Things,Freddie Brocksieper
/lyric/5678443/Freddie+Brocksieper/Jeepers+Creepers,Jeepers Creepers,Freddie Brocksieper
/lyric/5678440/Freddie+Brocksieper/St.+Louis+Blues,St. Louis Blues,Freddie Brocksieper
/lyric/4187013/Freddie+Bryant/You+Don%27t+Know+What+Love+Is,You Don't Know What Love Is,Freddie Bryant
/lyric/6343193/Freddie+Foxxx/Angel+%5BFeaturing+Janah%5D,Angel [Featuring Janah],Freddie Foxxx
artist/Janah/452055,Janah,Freddie Foxxx
/lyric/6343199/Freddie+Foxxx/Lazy%21%21%21,Lazy!!!,Freddie Foxxx
/lyric/29572603/Freddie+Gibbs/Came+Up,Came Up,Freddie Gibbs
/lyric/29572592/G-Wiz/Certified+Live,Certified Live,Freddie Gibbs
artist/G-Wiz/38955,G-Wiz,Freddie Gibbs
artist/Jay%20Rock/1116241,Jay Rock,Freddie Gibbs
/lyric/29572600/G-Wiz/D.O.A.,D.O.A.,Freddie Gibbs
artist/G-Wiz/38955,G-Wiz,Freddie Gibbs
artist/Big%20Kill/2200655,Big Kill,Freddie Gibbs
/lyric/29572596/Freddie+Gibbs/Eastside+Moonwalker,Eastside Moonwalker,Freddie Gibbs
/lyric/29572595/Spice+1/F.A.M.E.,F.A.M.E.,Freddie Gibbs
artist/Spice%201/27002,Spice 1,Freddie Gibbs
artist/Daz%20Dillinger/291478,Daz Dillinger,Freddie Gibbs
/lyric/29572598/Freddie+Gibbs/Have+U+Seen+Her,Have U Seen Her,Freddie Gibbs
artist/Hit%20Screwface/2839556,Hit Screwface,Freddie Gibbs
/lyric/29572602/G-Wiz/Hundred+Thousand,Hundred Thousand,Freddie Gibbs
artist/G-Wiz/38955,G-Wiz,Freddie Gibbs
artist/Hit%20Screwface/2839556,Hit Screwface,Freddie Gibbs
/lyric/29572601/Freddie+Gibbs/Lay+It+Down,Lay It Down,Freddie Gibbs
/lyric/29572597/Problem/One+Eighty+Seven,One Eighty Seven,Freddie Gibbs
artist/Problem/952914,Problem,Freddie Gibbs
/lyric/29572594/YB/Paper,Paper,Freddie Gibbs
artist/YB/22494,YB,Freddie Gibbs
/lyric/29572604/Freddie+Gibbs/The+Real+G+Money,The Real G Money,Freddie Gibbs
/lyric/19840455/Jay+Rock/The+Coldest,The Coldest,Freddie Gibbs
artist/Jay%20Rock/466765,Jay Rock,Freddie Gibbs
artist/BJ%20the%20Chicago%20Kid/2221272,BJ the Chicago Kid,Freddie Gibbs
/lyric/19840453/Freddie+Gibbs/Live+by+the+Game,Live by the Game,Freddie Gibbs
/lyric/19840456/Freddie+Gibbs/National+Anthem+%28F%2Ack+the+World%29,National Anthem (F*ck the World),Freddie Gibbs
/lyric/19840454/Bun+B/Personal+Og,Personal Og,Freddie Gibbs
artist/Bun%20B/413944,Bun B,Freddie Gibbs
/lyric/19840457/Freddie+Gibbs/Rep+2+tha+Fullest,Rep 2 tha Fullest,Freddie Gibbs
artist/Jay%20Rock/1116241,Jay Rock,Freddie Gibbs
/lyric/19840452/Bun+B/Rock+Bottom,Rock Bottom,Freddie Gibbs
artist/Bun%20B/413944,Bun B,Freddie Gibbs
artist/Dan%20Auerbach/556442,Dan Auerbach,Freddie Gibbs
artist/Chuck%20Inglish/1015880,Chuck Inglish,Freddie Gibbs
artist/Chip%20Tha%20Ripper/1623360,Chip Tha Ripper,Freddie Gibbs
/lyric/19840458/Freddie+Gibbs/Str8+Killa+No+Filla,Str8 Killa No Filla,Freddie Gibbs
artist/Big%20Kill/2200655,Big Kill,Freddie Gibbs
/lyric/25036734/Freddie+Gibbs/187+Proof,187 Proof,Freddie Gibbs
/lyric/25036732/Freddie+Gibbs/2%27S+%26+Fews,2'S & Fews,Freddie Gibbs
/lyric/25036733/Freddie+Gibbs/Anything+To+Survive,Anything To Survive,Freddie Gibbs
/lyric/25036729/Freddie+Gibbs/B.a.N.Ned,B.a.N.Ned,Freddie Gibbs
/lyric/25036736/Freddie+Gibbs/Barely+M.A.D.E.+It,Barely M.A.D.E. It,Freddie Gibbs
/lyric/25036731/Freddie+Gibbs/Gotta+Let+Ya+Nuts+Hang,Gotta Let Ya Nuts Hang,Freddie Gibbs
/lyric/25036722/Freddie+Gibbs/Heaven+Can+Wait,Heaven Can Wait,Freddie Gibbs
/lyric/25036730/Freddie+Gibbs/Let+%E2%80%98Em+Burn,Let ‘Em Burn,Freddie Gibbs
/lyric/25036724/Freddie+Gibbs/Menace+Ii+Society,Menace Ii Society,Freddie Gibbs
/lyric/25036728/Freddie+Gibbs/My+Homeboy%E2%80%99S+Girlfriend,My Homeboy’S Girlfriend,Freddie Gibbs
/lyric/25036726/Freddie+Gibbs/Natural+High+%28Even+Higher+Learning%29,Natural High (Even Higher Learning),Freddie Gibbs
/lyric/25036723/Freddie+Gibbs/Neighborhood+Hoez,Neighborhood Hoez,Freddie Gibbs
/lyric/25036727/Freddie+Gibbs/Psa+2+%28Pussy+So+Amazin%29,Psa 2 (Pussy So Amazin),Freddie Gibbs
/lyric/25036735/Freddie+Gibbs/Rob+Me+a+Nigga,Rob Me a Nigga,Freddie Gibbs
/lyric/25036725/Freddie+Gibbs/Str8+Slammin,Str8 Slammin,Freddie Gibbs
/lyric/30510743/G-Wiz/Bitches%2C+Dope%2C+and+Dollars,"Bitches, Dope, and Dollars",Freddie Gibbs
artist/G-Wiz/38955,G-Wiz,Freddie Gibbs
artist/The%20Worlds%20Freshest/2911262,The Worlds Freshest,Freddie Gibbs
/lyric/30510744/Freddie+Gibbs/G+Like+Dat,G Like Dat,Freddie Gibbs
artist/The%20Worlds%20Freshest/2911262,The Worlds Freshest,Freddie Gibbs
/lyric/30510739/Freddie+Gibbs/I+Wanna+Do+It,I Wanna Do It,Freddie Gibbs
artist/Sir%20Michael%20Rocks/2795247,Sir Michael Rocks,Freddie Gibbs
artist/The%20Worlds%20Freshest/2911262,The Worlds Freshest,Freddie Gibbs
/lyric/30510745/Freddie+Gibbs/Keep+It+Gangsta,Keep It Gangsta,Freddie Gibbs
artist/The%20Worlds%20Freshest/2911262,The Worlds Freshest,Freddie Gibbs
/lyric/30510741/Problem/On+Me,On Me,Freddie Gibbs
artist/Problem/952914,Problem,Freddie Gibbs
artist/The%20Worlds%20Freshest/2911262,The Worlds Freshest,Freddie Gibbs
/lyric/30510740/E-40/Pussy+Got+Slap,Pussy Got Slap,Freddie Gibbs
artist/E-40/38525,E-40,Freddie Gibbs
artist/Cousin%20Fik/929059,Cousin Fik,Freddie Gibbs
artist/The%20Worlds%20Freshest/2911262,The Worlds Freshest,Freddie Gibbs
/lyric/32377763/E-40/10+Times,10 Times,Freddie Gibbs
artist/E-40/38525,E-40,Freddie Gibbs
artist/Gucci%20Mane/703775,Gucci Mane,Freddie Gibbs
/lyric/32377761/Freddie+Gibbs/Basketball+Wives,Basketball Wives,Freddie Gibbs
/lyric/32377757/Freddie+Gibbs/Careless,Careless,Freddie Gibbs
/lyric/32377765/Freddie+Gibbs/Cold+Ass+Nigga,Cold Ass Nigga,Freddie Gibbs
/lyric/32377770/Black+Thought/Extradite,Extradite,Freddie Gibbs
artist/Black%20Thought/223134,Black Thought,Freddie Gibbs
/lyric/32377768/Freddie+Gibbs/Forever+and+a+Day,Forever and a Day,Freddie Gibbs
/lyric/32377766/Freddie+Gibbs/Freddie+Gordy,Freddie Gordy,Freddie Gibbs
/lyric/32377771/Freddie+Gibbs/Fuckin%27+Up+the+Count,Fuckin' Up the Count,Freddie Gibbs
/lyric/32377767/Freddie+Gibbs/Insecurities,Insecurities,Freddie Gibbs
/lyric/32377762/Freddie+Gibbs/Lately,Lately,Freddie Gibbs
/lyric/32377769/Dana+Williams/McDuck,McDuck,Freddie Gibbs
artist/Dana%20Williams/138311,Dana Williams,Freddie Gibbs
/lyric/32377760/Freddie+Gibbs/Mexico,Mexico,Freddie Gibbs
artist/Tory%20Lanez/2478731,Tory Lanez,Freddie Gibbs
/lyric/32377758/Freddie+Gibbs/Narcos,Narcos,Freddie Gibbs
/lyric/32377764/Freddie+Gibbs/Packages,Packages,Freddie Gibbs
artist/ManMan%20Savage/3158479,ManMan Savage,Freddie Gibbs
/lyric/32377759/Freddie+Gibbs/Rearview,Rearview,Freddie Gibbs
/lyric/34135581/Freddie+Gibbs/20+Karat+Jesus,20 Karat Jesus,Freddie Gibbs
/lyric/34135580/Freddie+Gibbs/Alexys,Alexys,Freddie Gibbs
/lyric/34135577/Freddie+Gibbs/Amnesia,Amnesia,Freddie Gibbs
/lyric/34135576/Freddie+Gibbs/Andrea,Andrea,Freddie Gibbs
/lyric/34135579/Freddie+Gibbs/Crushed+Glass,Crushed Glass,Freddie Gibbs
/lyric/34135578/Freddie+Gibbs/Dear+Maria,Dear Maria,Freddie Gibbs
/lyric/34135574/Freddie+Gibbs/Homesick,Homesick,Freddie Gibbs
/lyric/34135575/Freddie+Gibbs/Phone+Lit,Phone Lit,Freddie Gibbs
/lyric/1955301/Freddie+Green/When+You+Wish+Upon+a+Star,When You Wish Upon a Star,Freddie Green
/lyric/7133485/Freddie+Hart/Heaven+Only+Knows,Heaven Only Knows,Freddie Hart
/lyric/7133493/Freddie+Hart/Loose+Talk,Loose Talk,Freddie Hart
/lyric/7133536/Freddie+Hart/Together+Again,Together Again,Freddie Hart
/lyric/7133561/Freddie+Hart/Already+It%27s+Heaven,Already It's Heaven,Freddie Hart
/lyric/7133565/Freddie+Hart/As+Long+as+I+Live,As Long as I Live,Freddie Hart
/lyric/7133550/Freddie+Hart/After+Loving+You,After Loving You,Freddie Hart
