Url,Song,Band
/lyric/2384348/Linda+Purl/Hold+Me%2C+Thrill+Me%2C+Kiss+Me,"Hold Me, Thrill Me, Kiss Me",Linda Purl
/lyric/2384359/Linda+Purl/My+One+and+Only+Love,My One and Only Love,Linda Purl
/lyric/2384354/Linda+Purl/The+Nearness+of+You,The Nearness of You,Linda Purl
/lyric/2384358/Linda+Purl/You%27re+My+Thrill,You're My Thrill,Linda Purl
/lyric/8224716/Linda+Purl/The+Best+Is+Yet+to+Come,The Best Is Yet to Come,Linda Purl
/lyric/8224726/Linda+Purl/I%27ll+Be+Seeing+You,I'll Be Seeing You,Linda Purl
/lyric/8224723/Linda+Purl/Too+Close+for+Comfort,Too Close for Comfort,Linda Purl
/lyric/8224722/Linda+Purl/You+Go+to+My+Head,You Go to My Head,Linda Purl
/lyric/3449742/Linda+Ransom/The+Nearness+of+You,The Nearness of You,Linda Ransom
/lyric/1113454/Linda+Ronstadt/Sweet+Summer+Blue+and+Gold,Sweet Summer Blue and Gold,Linda Ronstadt
/lyric/126075/Linda+Ronstadt/Baby%2C+You%27ve+Been+on+My+Mind,"Baby, You've Been on My Mind",Linda Ronstadt
/lyric/126077/Linda+Ronstadt/Bet+No+One+Ever+Hurt+This+Bad,Bet No One Ever Hurt This Bad,Linda Ronstadt
/lyric/126081/Linda+Ronstadt/Break+My+Mind,Break My Mind,Linda Ronstadt
/lyric/126085/Linda+Ronstadt/Dolphins,Dolphins,Linda Ronstadt
/lyric/126083/Linda+Ronstadt/It%27s+About+Time,It's About Time,Linda Ronstadt
/lyric/126080/Linda+Ronstadt/Long+Way+Around,Long Way Around,Linda Ronstadt
/lyric/126078/Linda+Ronstadt/Number+and+a+Name,Number and a Name,Linda Ronstadt
/lyric/126079/Linda+Ronstadt/Only+Mama+That%27ll+Walk+the+Line,Only Mama That'll Walk the Line,Linda Ronstadt
/lyric/126076/Linda+Ronstadt/Silver+Threads+and+Golden+Needles,Silver Threads and Golden Needles,Linda Ronstadt
/lyric/126084/Linda+Ronstadt/We+Need+a+Lot+More+of+Jesus+%28And+a+Lot+Less+Rock+%26+Roll%29,We Need a Lot More of Jesus (And a Lot Less Rock & Roll),Linda Ronstadt
/lyric/126087/Linda+Ronstadt/Are+My+Thoughts+with+You%3F,Are My Thoughts with You?,Linda Ronstadt
/lyric/126094/Linda+Ronstadt/He+Dark+the+Sun,He Dark the Sun,Linda Ronstadt
/lyric/126093/Linda+Ronstadt/I%27m+Leavin%27+It+All+Up+to+You,I'm Leavin' It All Up to You,Linda Ronstadt
