Url,Song,Band
/lyric/10897824/DJ+Bigg+Mike/O,O,DJ Bigg Mike
/lyric/8506018/O.G.+Ron+C./Intro,Intro,DJ Black
artist/O.G.%20Ron%20C./594622,O.G. Ron C.,DJ Black
/lyric/8506034/Bog+Pokey/Sittin+Sidewayz,Sittin Sidewayz,DJ Black
artist/Bog%20Pokey/0,Bog Pokey,DJ Black
artist/Paul%20Wall/273237,Paul Wall,DJ Black
artist/Big%20Pokey/357544,Big Pokey,DJ Black
artist/O.G.%20Ron%20C./594622,O.G. Ron C.,DJ Black
/lyric/8506042/8Ball+and+MJG/Stay+Fly,Stay Fly,DJ Black
artist/8Ball%20and%20MJG/44746,8Ball and MJG,DJ Black
artist/Three%206%20Mafia/169304,Three 6 Mafia,DJ Black
artist/MJG/217450,MJG,DJ Black
artist/8Ball/386705,8Ball,DJ Black
artist/Young%20Buck/440844,Young Buck,DJ Black
artist/O.G.%20Ron%20C./594622,O.G. Ron C.,DJ Black
/lyric/8782381/DJ+Black/Do+It,Do It,DJ Black
artist/Baby%20D/862069,Baby D,DJ Black
/lyric/8782358/Paul+Wall/Grillz,Grillz,DJ Black
artist/Paul%20Wall/273237,Paul Wall,DJ Black
artist/Ali/521381,Ali,DJ Black
artist/Gipp/863564,Gipp,DJ Black
/lyric/8782372/DJ+Black/I%27m+N+Luv+%28Wit+a+Stripper%29,I'm N Luv (Wit a Stripper),DJ Black
artist/T-Pain/735861,T-Pain,DJ Black
/lyric/8782378/DJ+Black/Laffy+Taffy,Laffy Taffy,DJ Black
artist/D4L/745465,D4L,DJ Black
/lyric/8782382/UGK/Short+Texas+Outrolude,Short Texas Outrolude,DJ Black
artist/UGK/133449,UGK,DJ Black
artist/Swishahouse/452071,Swishahouse,DJ Black
/lyric/8782361/Lil%27+Flip/Turn+It+Up,Turn It Up,DJ Black
artist/Lil%27%20Flip/437619,Lil' Flip,DJ Black
artist/Chamillionaire/616363,Chamillionaire,DJ Black
/lyric/18270953/DJ+Black/Excitin,Excitin,DJ Black
artist/Lil%27%20Boosie/660602,Lil' Boosie,DJ Black
/lyric/18270927/DJ+Black/Goin+Thru+Some+Thangs,Goin Thru Some Thangs,DJ Black
artist/Lil%27%20Boosie/660602,Lil' Boosie,DJ Black
/lyric/18270940/DJ+Black/I+Know+I+Know+%5BDrag+Blend%5D,I Know I Know [Drag Blend],DJ Black
artist/Lil%27%20Boosie/660602,Lil' Boosie,DJ Black
/lyric/18270934/DJ+Black/Swerve+%5BDrag+Blend%5D,Swerve [Drag Blend],DJ Black
artist/Lil%27%20Boosie/660602,Lil' Boosie,DJ Black
/lyric/18270929/DJ+Black/Troubleman,Troubleman,DJ Black
artist/Lil%27%20Boosie/660602,Lil' Boosie,DJ Black
/lyric/18270959/DJ+Black/Wipe+Me+Down,Wipe Me Down,DJ Black
artist/Lil%27%20Boosie/660602,Lil' Boosie,DJ Black
/lyric/18270937/DJ+Black/Zoom,Zoom,DJ Black
artist/Lil%27%20Boosie/660602,Lil' Boosie,DJ Black
/lyric/313568/DJ+Bobo/I+Want+Your+Body,I Want Your Body,DJ Bobo
/lyric/313563/DJ+Bobo/Intro,Intro,DJ Bobo
/lyric/313567/DJ+Bobo/Keep+on+Dancing,Keep on Dancing,DJ Bobo
/lyric/313573/DJ+Bobo/Move+Your+Feet,Move Your Feet,DJ Bobo
/lyric/313564/DJ+Bobo/Somebody+Dance+With+Me,Somebody Dance With Me,DJ Bobo
