Band,Lyrics,Song
Peter Matz,"When you're down and troubled
And you need a helping hand
And nothing, nothing is going right
Close your eyes and think of me
And soon I will be there
To brighten up even your darkest night

You just call out my name
And you know wherever I am
I'll come running to see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there
You've got a friend

If the sky above you
Grows dark and full of clouds
And that old north wind begins to blow
Keep you head together
And call my name out loud
Soon you'll hear me knocking at you door

You just call out my name
And you know wherever I am
I'll come running to see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there

Ain't it good to know that you've got a friend
When people can be so cold
They'll hurt you, and desert you
And take your soul if you let them

You just call out my name
And you know wherever I am
I'll come running to see you again
Winter, spring, summer or fall
All you have to do is call
And I'll be there
You've got a friend
You've got a friend
 
Ain't it good to know you've got a friend
Ain't it good to know you've got a friend",You've Got a Friend
Peter Mayer,"There was a man with land as far as you could see
From Mexico to Carolina
He said leave your life behind and follow me
There'll be enough to satisfy you
Diamonds for your hands
And silk beneath your feet
Not a care will come to find you
Kings and Queens will surely be your company
You'll have all the tea in China

If you find no friends are near
Just hold your treasures dear
Everything you could ever need
Who needs love when all you find is
Fallen tears and petty crimes
Break your heart and let it bleed

With diamonds on your hands 
And silk beneath your feet
Tomorrow's fortune will remind you
You've given up your love for one more guarantee
You'll have all the tea in China
All the rain in Spain 
All the smoke in California

If you find no friends are near
Just hold your treasures dear
Everything you could ever need
Who needs love when all you find is
Fallen tears and petty crimes
Break your heart and let it bleed

With diamonds on your hands 
And silk beneath your feet
Tomorrow's fortune will remind you
You've given up your love for one more guarantee
You'll have all the tea in China
All the rain in Spain 
And all the tea in China
All the smoke in California
All the tea in China",All the Tea in China
Peter Mayer,"Funny, I've heard that song a thousand times
And it still can make me cry
Just when I thought I had let you go
Something you said comes back once more
Breakin' my heart in two, you do

Oh it's funny, funny I'm still dreamin' of you
It's funny, what a peculiar story to tell
The ones we love we hurt so well...
Oh yeah

Troubled days turn you inside out
Till you got nothing to whisper about
And all you can do is be cruel
Oh it's funny, funny I keep coming back to you

Look at my life like an open book
The chapter of us was my first look
At dreams that really do come true... they do
They just come bending, swaying, singing, and playing the blues

Look at the pages of your open book
What you gave and what you took
Tell me what matters to you

It's funny...
You can build your fortress so strong
But even the greatest have fallen for a love song
Oh it's funny, funny I'm depending on love
Funny I'm depending on you
I could die laughing just thinking of you
Just thinking of you
Thinking of you
â??Cause you're on my mind 
Almost all the time
Thinking of you
Thinking of you",Funny
Peter Mayer,"Once upon a simple man
Make a living any way you can
Workin' his hands all day
Sing a song to keep the blues away
Lift it up sing it out
Sing your lullabye

I'm in a traveling show
High wire fools and clowns
I'm the Green Eyed Radio
Bringing the curtain down
And when the show is over I'll sing to the stars
‘Cause I know they will listen
If you tell them who you are

Find the one of your dreams
Feet off the ground you can walk the moonbeams
How much joy can you make
But it's the happiest hearts that break so
Lift it up sing it out
In the middle of the crowd
Ask him when ask him why
Sing your lullaby

I'm in a traveling show
High wire fools and clowns
I'm the Green Eyed Radio
Bringing the curtain down
And when the show is over I'll sing to the stars
'Cause I know they will listen
If you tell them who you are",The Green Eyed Radio
Peter Mayer,"Hush little baby 
Don't you cry
I'm never going away-a
A mighty fine woman someday you'll be
Wedding bells are gonna chime
You'll shed a few tears over the years
The lamb and lion are gonna play-a
Till tomorrow when the new moon shines
I'm gonna love you in the meantime

Under banyan tree you been waitin' on he
Says he's gonna take you away-a
It's 11 o'clock and the party don't stop
Soon midnight's a gonna chime
Well I can't claim a Casanova's name
No I don't own a holy day oh
But I can sing a song and make you cry
Shall we dance in the meantime

So you found your boy
Grease monkey joy
Workin' on his wheels all day-o
He's gonna take you round the world when he put down the top
Oh his Chevy do shine
But there was no gold in the golden gate
There was no silver in the lining
I'm so alone, baby take me home
Tell me you love me in the meantime

One fine morning with no warning you will cry
Round the world your heart goes searching
While I'm right by your side, by your side
Never let you down down down

Gonna love you in the meantime, meantime darling
Dancing in the meantime, meantime honey
Springtime summertime
Winter or fall yeah
Any time at all
Dancin' in the meantime",In the Meantime
Peter Mayer,"She works in a shop at the museum of art
All the he's and she's of the centuries know her name
When the lights go down and no one's around they whisper
Hey Julia you're playing a dangerous game

The Van Goghs and Chegals that hang on the walls try to tell her
That man of stone don't care anything about you
So she steals to her lover under the cover of midnight
She says that's alright I've got enough love for two

Oh there she goes
She's kissing Michaelangelo
It would take a hammer to break his heart
What a beautiful work of art
You're my beautiful work of art

Banker man tried to win her love with his money
Factory boy brought her red roses in bloom
She says give me a flower that won't fade away by morning
Give me a love that won't fade away by June

Oh there she goes
She's kissing Michaelangelo
It would take a hammer to break his heart
What a beautiful work of art
You're my beautiful work of art

Give me a love with no rainy days
Give me a love that won't fade away
Give me a love with no cloudy view
Give me only you
Oh my Michaelangelo

Two in the morning without a warning it's over
The watchman came in said it's a sin what you do
You're taking that poor man of stone for granted
Hey Julia your filthy little game is through

Oh there she goes
She's kissing Michaelangelo
It would take a hammer to break his heart
What a beautiful work of art
Oh Michaelangelo

She's kissing Michaelangelo
It would take a hammer to break his heart
What a beautiful work of art
You're my beautiful work of art",Michaelangelo
Peter Mayer,"One and one makes three that's the way this love is going
There's only you and me but together we're overflowing
And if this sounds crazy let me make this clear
If a kiss is a candle, love is chandelier

Oh can't you see
That one and one makes three
Suddenly there's no way of knowing
We're so lost at sea but I'm happy on this boat we're rowing
So many times I wished that you'd set me free
But together we're so much more than you and me

Oh can't you see
That you take a step to me
I'll take a step to you
And let the angels sing their blues
You take a step to me
Oh now darling
I'll take a step to you
Come on love come on come to me
Only love can make the angels sing their blues

One and one makes three
You and me and this love that's growing
Two of us will walk heaven knows just where we're going",One and One Makes Three
Peter Mayer,"Too many dances have ended
When the band runs out of tunes
Too many hearts have been broken
When the pieces come unglued
Too many dreams abandoned 
When the new moon's lost it's shine
Oh send me the love of a lifetime

How many tears must I cry 
Before my broken heart will mend
How many roads must I wander
Till my home comes 'round the bend
All the treasures that I see
Still I feel so blind
Oh send me the love of a lifetime

Flowers fade when the river runs dry
The mountains will fall as the time goes by
But the bird in golden cage still wants to fly

So many ships are drifting
Where the stars no longer shine
So many words left unspoken
And we're running out of time
Too many secrets we're keeping
You've got yours and I've got mine
Oh send me the love 
Won't you send me the love
Won't you send me the love of a lifetime",Send Me the Love
Peter Mayer,"Caught a train to London
But it went to France
Ended up in New Orleans doin' a voodoo dance
What game are you playing?
What did you put in my tea?
You got your hands on the steering wheel
Ooh and it's a terrifying me

'Cause I'm under your spell
How was I to know where I should go
And it's too late to tell darling I'm under your spell

Band was playing a tango
In some mysterious key
You and me and your cigarette 
Talked poetry

First she took my hand
Took me off my feet
Then she took my pocketbook
No one could identify me

'Cause I'm under your spell
How was I to know where I should go
It's too late to tell darling I'm under your spell

I'm caught by your eye
How was I to see in the pale moonlight
I'm too mystified
Darling I'm under your spell

Three days gone in a minute
A breeze in a hurricane if you spin it
I'm in a hush ever since I caught your eye
Caught in New Orleans in a spell now

'Cause I'm under your spell
How was I to know I should let go
I should let go",Under Your Spell
Peter Mayer,"Name your price
A ticket to paradise
I can't stay here any more
And I've looked high and low
I've been from shore to shore to shore
If there's a short cut I'd have found it
But there is no easy way around it

Light of the world, shine on me
Love is the answer
Shine on us all
Set us free
Love is the answer

Who knows why
Someday we all must die
We're all homeless boys and girls
And we are never heard
It's such a lonely world
People turn their heads
And walk on by
Tell me is it worth just another try

Are we alive
Or just a dying planet
What are the chances
Ask the man in your heart for the answers
And when you feel afraid

Love one another
When you've lost your way
Love one another
And when you're all alone
Love one another
And when you're far from home
Love one another
And when you're down and out
Love one another
And when your hopes run out
Love one another
And when you need a friend
Love one another
We got to love one another",Coming Home
Peter Miles,"Born a poor young country boy
Mother Nature's son
All day long I'm sitting singing songs for everyone.

Sit beside a mountain stream
See her waters rise
Listen to the pretty sound of music as she flies.

Find me in my field of grass
Mother Nature's son
Swaying daises sing a lazy song beneath the sun.

Mother Nature's son.",Mother Nature's Son
