Band,Lyrics,Song
Etta Jones,"There goes my heart, there goes the one I love,
There goes the girl i was unworthy of.
There goes my happiness, it couldn't be,
There goes somebody else in place of me.

Goodbye romance, it couldn't last somehow,
I had my chance, but it's all over now.
I never thought that she could pass me by,
There goes my heart, and here am I!

I never thought that she could pass me by,
There goes my heart, and here am I!",There Goes My Heart
Etta Jones,"Our romance won't end on a sorrowful note,
Though by tomorrow you're gone;
The song is ended, but as the songwriter wrote,
The melody lingers on.
They may take you from me, I'll miss your fond caress.
But though they take you from me, I'll still possess.

The way you wear your hat
The way your sip your tea
The memory of all that
No, no, they can't take that away from me

The way your smile just beams
The way you sing off key
The way you haunt my dreams
No, no, they can't take that away from me

We may never, never meet again
On the bumpy road to love
Still, I'll always, always keep the memory of

The way you hold your knife
The way we danced till three
The way you changed my life
No, no, they can't take that away from me
No, they can't take that away from me

W e may never, never meet again
On the bumpy road to love
Still, I'll always, always keep the memory of

The way you hold your knife
The way we danced till three
The way you changed my life
No, no, they can't take that away from me
No, they can't take that away from me
Can't take that away
Can't take that away from me",They Can't Take That Away from Me
Etta Jones,"We meet and the angels sing
The angels sing the sweetest song I've ever heard
You speak and the angels sing
Or am I breathing music into every word?

Suddenly the setting is strange
I can see water and moonlight beaming
Silver waves that break on some undiscovered shore

Then suddenly I see it all change
Long winter nights with the candles gleaming
Through it all your face that I adore

You smile and the angels sing
And though it's just a gentle murmur at the start
We kiss and the angels sing
And leave their music ringing in my heart

Suddenly the setting is strange
I can see water and moonlight beaming
Silver waves that break on some undiscovered shore

Then suddenly I see it all change
Long winter nights with the candles gleaming
Through it all your face that I adore

You smile and the angels sing
And though it's just a gentle murmur at the start
We kiss and the angels sing
And leave their music ringing in my heart

",And the Angels Sing
Etta Jones,"Answer me, oh, my love
Just what sin have I been guilty of
Tell me how I came to lose your love
Please answer me, my love

You were mine yesterday
I believed that love was here to stay
Won't you tell me where I've gone astray
Please answer me my love

If you're happier without me
I'll try not to care
But if you still think about me
Please listen to my prayer

You must know I've been true
Won't you say that we can start anew
In my sorrow now I turn to you
Please answer me, my love

If you're happier without me
I'll try not to care
But if you still think about me
Please listen to my prayer

You must know I've been true
Won't you say that we can start anew
In my sorrow now I turn to you
Please answer me, my love

",Answer Me My Love
Etta Jones,"I don't believe in frettin' and grievin'
Why mess around with strife'
I never was cut out to step and strut out
Give me the simple life

Some find it pleasant dining on pheasant
Those things roll off of my knife
Just serve me tomatoes and mashed potatoes
Give me the simple life

A cottage small is all I'm after
Not one that's spacious and wide
A house that rings with joy and laughter
And the ones you love inside

Some like the high road, I like the low road
Free from the care and strife
Sounds corny and seedy, but yes, indeed
Give me the simple life

I don't believe in frettin' and grievin'
Why mess around with strife'
I never was cut out to step and strut out
Give me the simple life

Some find it pleasant dining on pheasant
Those things roll off of my knife
Just serve me tomatoes and mashed potatoes
Give me the simple life

A cottage small is all I'm after
Not one that's spacious and wide
A house that rings with joy and laughter
And the ones you love inside

Some like the high road, I like the low road
Free from the care and strife
Sounds corny and seedy, but yes, indeed
Give me, oh, give me, oh, give me the simple life

",Give Me the Simple Life
Etta Jones,"Though folks with good intentions
Tell me to save my tears
Well I'm so mad about him
I can't live without him

Never treats me sweet and gentle
The way he should
I've got it bad
And that ain't good

My poor heart is so sentimental
Not made of wood
I've got it so bad
And that ain't good

But when the fish are jumpin'
And Friday rolls around
My man an' I, we gin some
We pray some, and sin some

He don't love me like I love him
The way he should
I've got it bad
And that ain't good
Yes I've got it bad
And that ain't good",I Got It Bad (And That Ain't Good)
Etta Jones,"Looking back over my life
I can see where I caused you strife
But I know, oh yes, I know
I'd never make that same mistake again

Looking back over my deeds
I can see signs a wise man heeds
And if I just had the chance
I'd never make that same mistake again

Once my cup was overflowing
But I gave nothing in return
Now I can't begin to tell you
What a lesson I have learned

Looking back over the slate
I can see love turned to hate
But I know, oh yes, I know
I'd never make that same mistake again

Once my cup was overflowing
But I gave nothing in return
Now I can't begin to tell you
Oh, what a lesson I have learned

Looking back over the slate
I can see love turned to hate
But I know, oh yes, I know
I'd never make that same mistake again

",Looking Back
Etta Jones,"It's very clear, our love is here to stay
Not for a year but ever and a day
The radio and the telephone and the movies that we know
May just be passing fancies and in time may go

But oh, my dear, our love is here to stay
Together we're going a long, long way
In time the Rockies may crumble, Gibraltar may tumble
They're only made of clay
But our love is here to stay

In time the Rockies may crumble, Gibraltar may tumble
They're only made of clay
But our love is here to stay",Love Is Here to Stay
Etta Jones,"Each time I look at you is like the first time
Each time you're near me the thrill is new
And there is nothing that I wouldn't do for
The rare delight of the sight of you for

The more I see you, the more I want you
Somehow this feeling just grows and grows
With every sigh I become more mad about you
More lost without you and so it goes

Can you imagine how much I love you?
The more I see you as years go by
I know the only one for me can only be you
My arms won't free you, my heart won't try

I know the only one for me can only be you
My arms won't free you, my heart won't try",The More I See You
Etta Jones,"Old man sunshine listen you
Never tell me dreams come true
Just try it and I'll start a riot
Beatrice Fairfax don't you dare
Ever tell me he will care
I'm certain it's the final curtain
I never want to hear from any cheerful Pollyannas
Who tell you fate supplies a mate
It's all bananas

They're writing songs of love but not for me
A lucky star's above but not for me
With love to lead the way I've found more clouds of gray
Than any Russian play could guarantee

I was a fool to fall and get that way
Hi-ho, alas, and also lack-a-day
Although I can't dismiss the memory of his kiss
I guess he's not for me

I was a fool to fall and get that way
Hi-ho, alas, and also lack-a-day
Although I can't dismiss the memory of his kiss",But Not for Me [*]
