Band,Lyrics,Song
The Strokes,"Right, wrong, what to do?
Someday it will come to you
Hostile indians
We named our summer camp for you

I've got nothing to say
I've got nothing to say
I've got nothing to say
I've got nothing to say
I've got nothing to say
I've got nothing to say
I've got nothing to say
I'm in utter dismay
I've got nothing to say

Harmless children
We named our soldiers after you
Don't be a coconut
God is trying to talk to you
We could drag it out
But that's for other bands to do

I've got nothing to say
I've got nothing to say
I've got nothing to say
I've got nothing to say
I've got nothing to give
Got no reason to live
But I will fight to survive
I've got nothing to hide
Wish I wasn't so shy

I'd like to watch
I'd like to read
I'd like a part
I'd like the lead

I've got nothing to say
I've got nothing to say
I've got nothing to say
I've got nothing to say
I've got nothing to give
Got no reason to live
But I'll kill to survive
I've got nothing to hide
Wish I wasn't so shy",Ask Me Anything
The Strokes,"Oh it's strange to impress a mirror
Oh friends don't realize I'm here
I wish two drinks were always in me
I pretend I had the perfect day

Take me to the water
Make me understand that I was wrong
For me tomorrow is my first day
So please don't tempt at a wrong way

Its almost after midnight
I can see the city lights ahead

Change your mind, tonight
You belong to the city now
When you're closer now I know
You belong on the radio

I swear I'll give it back tomorrow
But for now I think that ill just borrow

All the quotes from that song
And all the words from whatever song I heard
Yes that day

Change your mind, tonight
You belong to the city now
When you're closer now I know
You belong on the radio

I will not disturb you
I was just returning you the compliment",Electricityscape
The Strokes,"They love you or they hate you
But they will never let you be
They'll thrill you or sedate you
But they will never let you see

In the evening sun
In the evening sun

Encourage and derange you
Watch you walking scared alone
Despite their reputation
Pleased to watch you dance alone

In the evening sun
In the evening sun

Go your separate way now
Someday you'll come back
And I'll be dreaming I was sun burnt
I don't wanna make your heart
And break you heart in two half's
Keep one half
And give one half to me
I like the sun
Miss the summer
Tell me what you do
Nothing will do

Oh act as they pretended
It seems as they will sometimes lie
Oh kids are always honest
Cos they don't think their ever gonna die
Oh your the pretty smartest captain of the team
I love you more than being seventeen

In the evening sun
In the evening sun
In the evening sun
In the evening sun",Evening Sun
The Strokes,"How did anybody found out where I was
How did anybody find it out
I was hiding from the world. I was a squirrel
You chopped down my tree to get my fur

Fear of sleep
Fear of sleep
Fear of sleep
Fear of sleep
Fear of sleep
Fear of sleep
Ooh fear of sleep
Can't you wait
I'm not done
Fear of sleep
Here you come
Falling asleep [x3]
You're no fun [x10]

I guess everybody's week must have been pretty rough
'Cause everybody is drunk, loud, and pissed off
I know you hate to be impressed with someone else (other than yourself)
But you know, trying to hold back on being an asshole helps

Fear of sleep
Fear of sleep
Fear of sleep
Fear of sleep
Where'd you go?
Fear of sleep
Ooh fear of sleep
So you know
I'm not done
Here we go
Here you come
Falling asleep [x3]
You're no fun [x17]",Fear of Sleep
The Strokes,"Well I don't feel better
When I'm fucking around
And I don't write better
When I'm stuck in the ground
So don't teach me lessons
As I've already learned
Yeah the sun will be shining
And my children will burn

Oh the heart beats in its cage

I don't want what you want
I don't feel what you feel
See I'm stuck in a city
But I belong in a field

[Repeat x7]
And ya left 

Now it's three in the morning and
You're eating alone

Oh the heart beats in its cage

All our friends they're laughing at us
All of those you love, you mistrust
Help me I'm just not quite myself
Look around there's no one else there
I went to the concert and I fought through the crowd
Guess I got too excited when I thought you were around

[Repeat x7]
Oh yes I left

I'm sorry you were thinking I would steal your fire.
Oh the heart beats in its cage
Yes the heart beats in its cage

And the heart beats in its cage",Heart in a Cage
The Strokes,"I think I know what you mean but watch what you say
'Cause they'll be trying to knock you down in some way
Sometimes it feels like the world is falling asleep
How do you wake someone up from inside a dream?

You mind would wander and search for its place in the night
Your body followed this feeling like following light
Once that your music was born it followed you 'round
And It gave you activities meaning and let you be loud

You're sad but you smiled
Its not in your eyes
Your eyeballs don't change
It's the muscles around your eyes

An egg to fertilize
A pulse to stabilize
A body to deodorize
A life to scrutinize
A child to criticize
Young adults to modernize
Citizens to terrorize
Generations to desensitize

You're dreams are sweet and obsessed
And you're overworked
You're over taken by visions of being overlooked
I'm disappointed would the I.D.I.P.P be
To see such our power in our hands all wasted on greed

Am I a prisoner to instincts
Or do my thoughts just live as free
And detached as boats to the dock?

Just like music was born
And detached from your heart
Is your free time to free minds
Or for falling apart?

Night after night
You turn off the light
You don't fall asleep
Right away
Are we, are we done?

A desk to organize
A product to advertise
A market to monopolize
Movie stars you idolize
News to scandalize
Enemies to neutralize
No time to apologize
Fury to tranquilize
Weapons to synchronize
Cities to vapor-I",Ize of the World
The Strokes,"Everybody sees me
But it's not that easy
Standing in the life fields
Standing in the light fields
Waiting for some action
Waiting for some action over
Why won't you come over here?

Why won't you come over here?
We've got a city to love

Why won't you come over here?
We've got a city to love

Oh damn good years
You've got? so show me
I know you messed up
When I saw you

You're cold
You're so cold
You're so cold
You're so cold

Nobody can see me
Everything's too easy
Standing in the life field
Standing in the light field
Waiting for some action
Waiting for some action

She said why won't you come over here?

Why won't you come over here?
We've got a city to love

Why won't you come over here?
We've got a city to love

Oh down the soul

And I said ""set free""
You never chose me
For a while it was nice
But it's time to say goodbye

You're cold
You're so cold
You're so cold
You're so cold

No no no cold
You're so cold
You're so cold
You're so cold

Oh no no no no cold
You're so cold
You're so cold
You're so cold

No no you're so cold",Juicebox
The Strokes,"ire a press now
Don't you skate now
You broke sailboat
We might get some
We might get some
Hands troublesome
But don't you worry
You can help me

Killing lies
Killing lies
Killing lies
Killing lies

First you worry
Then you'll hurry
Don't think that everything is
gonna stay the same
That's impossible
Before I let you go
Let me look at you
Don't you worry
You will help me

Killing lies
Killing lies
Killing lies
Killing lies

Oh yes I know you're still
You are a friend of mine
Oh yes I know you're still
You are a friend of mine",Killing Lies
The Strokes,"I'm tired of everyone I know 
Of everyone I see 
On the street 
And on TV, yeah 

On the other side 
On the other side 
Nobody's waiting for me 
On the other side 

I hate them all, I hate them all 
I hate myself 
For hating them 
So drink some more 
I'll love them all 
I'll drink even more 
I'll hate them even more than I did before 

On the other side 
On the other side 
Nobody's waiting for me 
On the other side 

I remember when you came 
You told me how to sing 
Now, it seems so far away 
You told me how to sing 

I'm tired of being so judgemental 
Of everyone 
I will not go to sleep 
I will train my eyes to see 
In my mind is this blood as a birch on a train 

On the other side 
On the other side 
I know what's waiting for me 
On the other side 

On the other side 
On the other side 
I know you're waiting for me 
On the other side",On the Other Side
The Strokes,"Razor blade, that's what I call love, 
I bet you pick it up and mess around with it 
If I put it down 
It gets extremely complicated. 
Anything to forget everything. 

You got to take me out, 
At least once a week 
Either I'm in your arms, 
Or I'm at your feet. 
I know exactly what you're thinking 
You won't say it now 
But in your heart it's love 

Oh, my feelings are more important than yours. 
Oh, drop dead, I don't care, I won't worry. 
Let it go. 

Oh, the razor blade, 
Wish it would snap this rope 
The world is in your hands 
Or it's at your throat 
At times it's not that complicated 
anything to forget everything. 

He would never talk, 
But he was not shy 
She was a street-smart girl, 
But she could not lie 
They were perfect for each other 
Say it now 
'Cause in your heart it's loud 

Oh, my feelings are more important than yours 
Oh, drop dead, I don't care, I won't worry 

Sweetheart, 
Your feelings are more important of course 
Of course 
Everyone you wanted, 
Everything that we would take from them 
I don't wanna know, I don't wanna know 
Tell me, tell me, tell me 

Oh, don't, okay.",Razorblade
