Band,Lyrics,Song
Azucar Moreno,"Molino de agua, molino de viento 
Por ti me duele la sangre 
Que va regando mi cuerpo 

Molino de viento, molino de agua 
Necesito de tu aliento 
Porque sin ti no soy nada 

En el molino del amor contigo 
Quisiera ser grano de trigo 

Tu cuerpo de espiga verde 
Quiero sentirlo muy cerca 
Pero me lo estas negando 
Y a mi me mata la pena 

En el molino del amor 
Mi corazón por ti suspira 

Molino de agua, molino de viento 
Por ti me duele la sangre 
Que va regando mi cuerpo 

Molino de viento, molino de agua 
Necesito de tu aliento 
Porque sin ti no soy nada 

En el molino del amor contigo 
Quisiera ser grano de trigo 

Te voy siguiendo los pasos 
Como si fuera tu sombra 
Por un camino difícil 
Donde mis besos se ahogan 

En el molino del amor 
Se muere mi corazón 
Por ti se muere 

Molino de agua, molino de viento 
Por ti me duele la sangre 
Que va regando mi cuerpo 

Molino de viento, molino de agua 
Necesito de tu aliento 
Porque sin ti no soy nada",El Molino de Amor
Azucar Moreno,"No quiero que me quieras que luego te vas 
No quiero que me uses como a las demás 
No quiero que me digas que ya me avisaste 
Que lo tuyo es un juego y tiene un final 

No quiero que me quieras según tu moral 
No quiero si te cansas pasarlo fatal 
No quiero que me obligues a seguir tus reglas 
Que lo tuyo es un juego y a mi no va 

No quiero que me quieras si acabaré odiándote 
Búscate otra mas tonta a quién hacer daño 
Prefiero estar a solas tranquila en mi cuarto 
Y no en tu compañía llorando y llorando 

No quiero verte mas 
Oh no oh no 
Intenta o liarme 
No, no, no 
No puedo soportar 
Oh no, oh no 
Tu gusto por coleccionar amantes 

No quiero que me quieras que luego te vas 
No quiero que me pises no soy una mas 
No quiero que me cuentes batallas y tachingas 
Que lo tuyo es un juego y lo juegas mal 

No quiero que me quieras según tu moral 
No quiero si te cansas pasarlo fatal 
No quiero que me obligues a seguir tus reglas 
Que lo tuyo es un juego y a mi no va 

No quiero que me quieras si acabaré odiándote 
Búscate otra mas tonta a quién hacer daño 
Prefiero estar a solas tranquila en mi cuarto 
Y no en tu compañía llorando y llorando 

No quiero verte mas 
Oh no oh no 
Intenta o liarme 
No, no, no 
No puedo soportar 
Oh no, oh no 
Tu gusto por coleccionar amantes",No Quiero Que Me Quieras
Azucar Moreno,"En el bar del camino 
Donde un día nos sentamos, 
Un día recuerdo las amapolas 
Que entre tu y yo cortamos 

Yo caminaba en silencio 
Y tu me dabas la mano 
Después de largo camino 
Tus ojos se me apartaron 

Porque te quiero 
Porque te quiero 
Porque te quiero 
Porque te quiero 
Porque te quiero 
Porque te quiero 

Siempre que cierro los ojos 
Tu persona me aparece 
Y un hondo beso en la boca 
Yo por ti llevo presente 

Dame , dame un beso mas 
Yo ya no tengo alegrías 
Porque te llevo muy dentro 
Vida mía, vida mía 

Porque te quiero 
Porque te quiero 
Porque te quiero 
Porque te quiero 
Porque te quiero 
Porque te quiero",Porque Te Quiero
Azucar Moreno,"Ese amor que tu me brindas 
Ese no lo quiero yo 
Ese amor que tu me brindas 
Ese no lo quiero yo 

Que muchas veces 
Y en tus ojos leo traición 
Que si, que no 
En tus leo traición 
Que si, que no 
En tus ojos leo traición 

No quiera equivocarme 
Te lo pido por favor 
No quiera equivocarme 
Te lo pido por favor 
Se sincero con tus besos 
Que en tu boca muero yo 
Que si, que no 
En tu boca muero yo 
Que si, que no 
En tu boca muero yo 

Cuando vengas a mis brazos 
Entrégate con amor 
Cuando vengas a mis brazos 
Entrégate con amor 
Que sientan como tus labios 
Que me abracen de pasión 
Que si, que no 
Que me abracen de pasión 
Que si, que no 
Que me abracen de pasión 

En el negro de tus besos 
Yo ubico mi perdición 
En el negro de tus besos 
Yo ubico mi perdición 
Yo en tus besos me muero 
Como la tierra sin sol 
Que si, que no 
Como la tierra sin sol 
Que si, que no 
Como la tierra sin sol 
Que si, que no 
Como la tierra sin sol","Que Si, Que No"
Azucar Moreno,"Ayer noche en la calle 
Yo no se lo que había, no, no 
Todo el mundo bailaba, si 
No se porque y fui a ver 
A la reina de la noche 

Allí estaba sonando 
Alegría y color 
Y ese humo fresquito 
Que te hace bailar 
Y sin pensar 
Ves como tus pies se mueven 

Rumba en el barrio 
Rumba pa ti 
Rumba en el barrio 
Rumba pa ti 

Ven conmigo a la plaza 
No podrás resistir el compás 
Esta rumba que manda, si 
Ya lo veras que tu y yo 
Terminamos en tu casa 

Rumba en el barrio 
Rumba pa ti 
Rumba en el barrio 
Rumba pa ti 

Solo tienes que bailar 
No lo tienes que pensar 
Y la rumba ya lo hará por ti 

Rumba en el barrio 
Rumba pa ti 
Rumba en el barrio 
Rumba pa ti 

Rumba en el barrio 
Rumba pa ti 
Rumba en el barrio 
Rumba pa ti",Rumba en el Barrio
Azucar Moreno,"Tu me pides una cosa que yo 
Yo no puedo darte 
Ay amor mío tu me pides una cosa que yo 
Yo no puedo darte 
Ay tu me pides que cierre mis ojos 
Que me eche en tus brazos 
Como en una cárcel 

Aprieta mi boca, átame con tu mirada 
Aprieta mi mano no me dejes que me vaya 
Yo quiero sentirme libremente aprisionada 
Pero dejo siempre abierta aquella puerta 
Por si mañana 

Tu me pides una cosa que yo 
Yo no puedo darte 
Ay amor mío tu me pides una cosa que yo 
Yo no puedo darte 
Ay tu me pides que cierre mis ojos 
Que me eche en tus brazos 
Como en una cárcel 

Porque no me besas mientras yo sueño contigo 
Yo quiero besarte mientras tu sueñas conmigo 
Y quiero sentirte respirar en mis oídos 
Y que el tiempo se detenga a nuestros pasos 
Sin el mañana 

Tu me pides una cosa que yo 
Yo no puedo darte 
Ay amor mío tu me pides una cosa que yo 
Yo no puedo darte 
Ay tu me pides que cierre mis ojos 
Que me eche en tus brazos 
Como en una cárcel",Tu Me Pides
Azucar Moreno,"Dame el vino de tu boca corazón 
Y te enseñaré el camino del amor 
Deja que mis manos vayan por tu piel 
Y te ensañaré el camino como ayer 

Temblarás, vibrarás 
Volverás a vivir 

No controles ni le pongas frenos a tu corazón 
Déjalo que corra libre como pompas de jabón 
Déjalo que vuele libre 

A la una y a las dos 
Tienes que darme tu amor 
A la dos y a las tres 
Te voy a querer y vas a venir conmigo 
Donde yo te llevaré 

A la una y a las dos 
Tienes que darme tu amor 
A la dos y a las tres 
Te voy a querer y vas a venir conmigo 
Donde yo te llevaré 

Dame el vino de tu boca corazón 
Y te enseñaré el camino del amor 
Deja que mis manos vayan por tu piel 
Y te ensañaré el camino como ayer 

Temblarás, vibrarás
Volverás a vivir 

No controles ni le pongas frenos a tu corazón 
Déjalo que corra libre como pompas de jabón 
Déjalo que vuele libre 

A la una y a las dos 
Tienes que darme tu amor 
A la dos y a las tres 
Te voy a querer y vas a venir conmigo 
Donde yo te llevaré 

A la una y a las dos 
Tienes que darme tu amor 
A la dos y a las tres 
Te voy a querer y vas a venir conmigo 
Donde yo te llevaré",El Vino de Tu Boca
Azucar Moreno,"Ves en mis ojos una extraña expresión 
Un vacío infinito 
Y un profundo temor 

Entre dos lunas veo mi mente girar 
Una luna es la vida 
Y una luna es la paz 

Ilusiones nada mas 
Mariposas de cristal 
Que me llevan lejos de ti 

Y Hazme el amor, acaríciame 
Ayuda a un corazón, a un pobre corazón a volver 
Hazme el amor, aprisióname 
Despierta mi emoción 
Libera tu pasión otra vez 

Pacto de sangre 
Teorema de amor 
Fuelle mi vientre 
Siempre fuimos los dos 

Ilusiones nada mas 
Mariposas de cristal 
Que me llevan lejos de ti 

Y Hazme el amor, aprisióname 
Despierta mi emoción 
Libera tu pasión otra vez 
Hazme el amor, acaríciame 
Ayuda a un corazón, a un pobre corazón a volver 

Acaríciame, aprisióname 
En la cárcel de tu piel 
Fuego, fuego 
Prisionero de tu amor quiero ser 
Acaríciame, aprisióname 
Despacio sin temor 
Fuego, fuego 
Despierta mi emoción, libera tu pasión	
Acaríciame, aprisióname 
Desde mis ojos tremenda ansiedad 
Fuego, fuego 
Me excita eso de amarte sin piedad 

Pacto de sangre 
Teorema de amor 
Fuelle mi vientre 
Siempre fuimos los dos 

Ilusiones nada mas 
Mariposas de cristal 
Que me llevan lejos de ti 

Y Hazme el amor, acaríciame 
Ayuda a un corazón, a un pobre corazón a volver 
Hazme el amor, aprisióname 
Despierta mi emoción 
Libera tu pasión otra vez 

Acaríciame, aprisióname 
Solo para ti mi amor 
Fuego, fuego 
Soy puro volcán cuando me amas 
Acaríciame, aprisióname 
Hazme el amor 
Fuego, fuego 
Dame tu calor dentro de mi	
Acaríciame, aprisióname 
Prisionera de tu amor 
Fuego, fuego 
Acaríciame despacio y sin temor 
Acaríciame, aprisióname 
Hazme el amor y acaríciame 
Fuego, fuego 
Beso a beso",Hazme el Amor
Azucar Moreno,"La Luna me ronda tus ojos cansa'os de mí
Tendiendo sus redes en mi corazón
La Luna en lo alto me lleva derecho a tí
Su influjo me haré perder la razón
La noche fue imán que nos unió
No pienso mirar atrás
Llévame hasta el final
Hechizo de luna que sobre mí
y embrujando mi corazón
Mi piel ardiendo contra tu piel

Solos la Luna, tú y yo
La noche nos cubre con mantos de oro y marfil
Estrellas vestidos de nuestra pasión
Estréchame fuerte que hoy todo puede ocurrir
La noche es eterna, eclipse de Sol
Mañana, lo sé, tú partirás
No pienso mirar atrás
Llévame hasta el final
Hechizo de luna que sobre mí
y embrujando mi corazón

Mi piel ardiendo contra tu piel
Solos la Luna, tú y yo
Hechizo de luna que sobre mí
y embrujando mi corazón
Mi piel ardiendo contra tu piel
Solos la Luna, tú y yo
Hechizo de luna que sobre mí
y embrujando mi corazón
Mi piel ardiendo contra tu piel

Solos la Luna, tú y yo
Hechizo de luna que sobre mí
y embrujando mi corazón
Mi piel ardiendo contra tu piel
Solos la Luna, tú y yo
Hechizo de luna que sobre mí
y embrujando mi corazón
Mi piel ardiendo contra tu piel
Solos la Luna, tú y yo",Hechizo de Luna
Azucar Moreno,"Cuando la tarde languidece renacen las sombras
En las que tu los cafetales vuelves a sentir
Escucharas esta canción de la vieja molienda
Que en el letargo de la noche parece decir
Cuando la tarde languidece renacen las sombras
En las que tu los cafetales vuelves a sentir
Escucharas esta canción de la vieja molienda

Que en el letargo de la noche parece decir
Una pena de amor una tristeza
Lleva el santo Manuel en su amargura
Pasa la noche cansado moliendo café
Cuando la tarde languidece renacen las sombras
En las que tu los cafetales vuelves a sentir
Escucharas esta canción de la vieja molienda
Que en el letargo de la noche parece decir",Moliendo Café
