Band,Lyrics,Song
Ry Cooder,"Jesse James we understand 
Has killed him many a man 
He robbed the Union trains 
But history does record 
That Bob and Charlie Ford 
Have laid Jesse James in his grave 

It was on a Saturday night 
The stars were shining bright 
When they robbed that Union train 
And it was one of the younger boys 
That gathered in the spoils 
And carried that money away 

In his small home unaware 
A-straightening pictures there 
He thought he heard a noise 
And as he turned his head 
Well, the bullet killed him dead 
Fired by Bob Ford, one of the boys 

Poor Jesse had a wife 
She lived a lady all her life 
The children they were brave 
But history does record 
That Bob and Charlie Ford 
Have laid poor Jesse, laid poor Jesse 
Have laid Jesse James in his grave",Jesse James
Ry Cooder,"Once I had a secret love,
That lived within the heart of me
All too soon my secret love,
Became impatient to be free

So I told a friendly star,
The way that dreamers often do
Just how wonderful you are,
And why I'm so in love with you

Now, I shout it from the highest hills
Even told the golden daffodils
At last my hearts an open door,
And my secret love's
No secret anymore.",Secret Love
Ry Cooder,"3 cool cats
3 cool cats

Parked on the corner in a beat up car
Devourin' up a liquor candy bar
Talkin' all about how sharp they are
These 3 cool cats

3 cool chicks
3 cool chicks

Walkin' down the street just swingin' their hips
Spinnin' up a bag of potato chips
And 3 cool cats did 3 big flips
For these 3 cool chicks

Up pop that first cool cat
He said, ""Man, look at that
Men, do you see what I see?""
""I want the middle chick""
""And I want the little chick""
""Hey men, save one chick for me""

3 cool chicks
3 cool chicks

They look like angels from up above
3 cool cats really fell in love
3 cool chicks made 3 fools
Of these 3 cool cats

That's what they did, brothers
(3 cool chicks)
Made fools of these 3 cool cats
'Cause I'm a fool for you, baby

3 cool chicks
3 cool cats

",3 Cool Cats
Ry Cooder,"Mister, you’re a baseball man
As anyone can plainly see
Greatest game in this great land
Take a little tip from me

I work here nights parking cars
Underneath the moon and the stars
Same ones that we all knew
Back in 1952

And if you wanna know
Where a local boy like me is coming from
3rd base, Dodger Stadium

2nd base, right over there
I see Grandma in her rocking chair
Watching linens flapping in the breeze
And all the fellows choosing up their teams

Hand over hand on that Louisville
Crowning the top king of the hill
Mound to home, sixty feet
Baseball been very good to me

And if you wanna know
Where a local boy like me is coming from
3rd base, Dodger Stadium
3rd base, Dodger Stadium

Back around the 76 ball
Johnny Greeneyes had his shoeshine stall
In the middle of the 1st base line
Got my first kiss, Florencia was kind

Now, if the dozer hadn’t taken my yard
You’d see the tree with our initials carved
So many moments in my memory
Well sure was fun, ‘cause the game was free
It was free

Hey Mister, you seem anxious to go
You’ll find that seat in the 7th row
Behind home plate, we used to meet
When we were young, we had dreams

Just a place you don’t know
Up a road you can’t go
Just a thought, laid to rest
In my mind, just a time

You care to know where I’m gonna go
When I hit my last home run
3rd base, Dodger Stadium
3rd base, Dodger Stadium
3rd base, Dodger Stadium

Hey Mister, you are a baseball man
Yes, I’m a baseball man myself
Yes, I’m a baseball man too
Baseball been very good to me
Yes, baseball been very good to me

","3rd Base, Dodger Stadium"
Ry Cooder,"Chinito, chinito, toca la maraca chinito
Chinito, chinito, no preocupes más
Chinito, chinito, me lava la ropa
Chinito, chinito, no preocupes más
Cuando la maraca come mucho arroz

Chinito ni trabaja, a 5 why a 2
Lava la camisa, me plancha pantaloon
Cuando la maraca la lleva al canton
Chinito, chinito, toca la maraca, chinito
Chinito, chinito, no proecupes más
Vaya Chino

Chinito, chinito
Chinito finito
Chinito bonito

Ay chinito bonito, donde vas?
Donda vas chinito con su maraca
Why donde estan mis pantalones, chinito?
Pinche chinito, con mi camisa, dame la ropa

Chinito, chinito, toca la maraca, chinito
Chinito, chinito, no preocupes más
Chinito, chinito, me lava la lopa
Chinito, chinito, no preocupes más

Cuando la maraca come mucho arroz
Chinito ni trabaja a 5 why a 2
Lava la camisa, me plancha pantaloon
Cuando la maraca la lleva al canton

Chinito, chinito, toca la maraca chinito
Chinito, chinito, no preocupes más
Chinito, chinito, me lava la ropa
Chinito, chinito, no preocupes más
",Chinito Chinito
Ry Cooder,"Antes se bailaba swing
Boogie-woogie, jitterbug
Pero esto ya torcio
Why este es lo que sucedio

Pachucos suaves bailan rumba
Bailan la rumba why le zumba
Bailan guaracha sabroson
El botecito why el danzon

Cada Sabado en la noche
Yo me voy a borlotiar
Con mi linda pachucona
Las caderas a menear

Ella le hare muy de aquellas
Cuando empieza a guarachar
Al compas de los timbales
Yo me siento petetear

Pachucos suaves bailan rumba
Bailan la rumba why le zumba
Bailan guaracha sabroson
El botecito why el danzon
",Los Chucos Suaves
Ry Cooder,"Era la medianoche, when oímos the scream
""Se requieren cien taxis en el almería de Chavez Ravine""

Un montón de soldados, jóvenes y engañados
Llevaron su bronca to Downtown L.A.
Contra Los Pachucos, sin saber porqué

Brotó un desmadre, por tipo acomodado
Sobre un pedazo de tierra injustamente robado

El precio en sangre que se sacó de mi gente
Hasta tal día mancha La Loma y el Palo Verde

Como duele el recuerdo si me pongo a pensar
En el mal gusto de vida y tración dineral
Una bola de pinches, sin corazón y falso piedad
Por llenarse las bolsas se van a quemar

Onda callejera, onda sin honor
Maldita onda, onda de lo peor

Onda de lo peor

",Onda Callejera
Ry Cooder,"Tell you 'bout a friend of mine that you don't know
He lives way up a road that's lost in time
Don't know his name or where he's coming from
Only thing you know
He's a real gone cat, this friend of mine

He don't have no uptown friends that drive a Cadillac
But he's got cool threads and a beat up car
All his downtown friends like me, ride around in the back
Cause he's a real cool cat
Yeah, he's a real gone cat, this friend of mine

La Loma boys will run with you
Do anything that you want 'em to
And if you need a friend 'cause you're feeling blue
Palo Verde girls never let you down

Na, na, na, na, na
Living in a poor man's Shangri-La
Na, na, na, na, na
Living in a poor man's Shangri-La

Firme guys in their firme cars
Underneath the moon and stars
The city lights way down below

What's that sound? What's that light?
Streaking down through the night
What's it mean? It's a red cloud over Chavez Ravine

Orale, UFO, come gliding low
Se cayo, up Chavez road
Space vato, square cat
Say, ""Caramba, partners, where's the party at?""

I heard about the cool jerk and the alligator
And I heard about Tokay Wine, Mary Jane, and lil' Julian Herrera
I wanna learn to dance, make romance
These La Bishop girls might take a chance

My friend say, ""No, be cool, bro'
If you want to dance slow
Learn to ask a mi hermana con respeto""

UFO's got a radio
Lil' Julian singing soft and low
Los Angeles down below
DJ say, we got to go, where?
To El Monte, El Monte, El Monte, pa El Monte

Na, na, na, na, na
Livin' in a poor man's Shangri-La
Na, na, na, na, na
Livin' in a poor man's Shangri-La

Na, na, na, na, na
Livin' in a poor man's Shangri-La
Na, na, na, na, na, na
Livin' in a poor man's Shangri-La

El Monte, El Monte
Come El Monte, come on, pa El Monte
Oh, the UFO got a radio

Na, na, na, na, na
Livin' in a poor man's Shangri-La
Na, na, na, na, na, na, na
Livin' in a poor man's Shangri-La",Poor Man's Shangri-La
Ry Cooder,"Antes se bailaba swing
Boogie-woogie, jitterbug
Pero esto ya torció
Y este es lo que sucedió

Pachucos suaves bailan rumba
Bailan la rumba y le zumba
Bailan guaracha sabrosón
El botecito y el danzón

Cada Sábado en la noche
Yo me voy a borlotiar
Con mi linda pachucona
Las caderas a menear

Ella le hace muy de aquellas
Cuando empieza a guarachar
Al compas de los timbales
Yo me siento petetear

Pachucos suaves bailan rumba
Bailan la rumba y le zumba
Bailan guaracha sabrosón
El botecito y el danzón

",Soy Luz y Sombra
Ry Cooder,"There's a place where I've been told 
Every street is paved with gold 
And it's just across the borderline 
And when it's time to take your turn 
Here's one lesson that you must learn 
You could lose more than you'll ever hope to find 

When you reach the broken promised land 
And every dream slips through your hands 
Then you'll know that it's too late to change your mind 
'Cause you've paid the price to come so far 
Just to wind up where you are 
And you're still just across the borderline 

Up and down the Rio Grande 
A thousand footprints in the sand 
Reveal a secret no one can define 
The river flows on like a breath 
In between our life and death 
Tell me who's the next to cross the borderline 

En la triste oscuridad (In the sad darkness) 
hoy tenemos que cruzar (today we have to cross) 
este río que nos llama más allá (this river which calls us further away) 

But hope remains when pride is gone 
And it keeps you moving on 
Calling you across the borderline 

When you reach the broken promised land 
Every dream slips through your hands 
And you'll know it's too late to change your mind 
'Cause you pay the price to come so far 
Just to wind up where you are 
And you're still just across the borderline 
Now you're still just across the borderline 
And you're still just across the borderline 
",Across the Borderline [From the Border]
