Band,Lyrics,Song
Shades Apart,"Frozen talk won't stop for sure 
What's buried in the ground 
A limit for tomorrow 
Doesn't save the here and now 
It shouldn't be hard to agree 
On something they must know 
Maybe they are thinking 
If we give in we will fall 

Falls the snow
If we give in we will fall
Falls the snow 
So far to go 

The only thing I really fear
Is what I can't control 
This fear has grown a part of me 
I've lived it for so long 
What good is it to protest 
It's like screaming at the wall
Still we raise our voices 
If we give in we will fall 

I can't live my life here underground 
And stare at concrete walls 
Nothing's safe to touch outside 
I'm scared of what I'll find 
I spend my time back in the past 
All I have are photographs 
Visions of a troubled world 
That didn't know how good we had it all",Cold War
Shades Apart,"Is this what you've been waiting for 
You know you're gonna change the world 
You get to be invisible 
Now you're not ready for life 
You're not ready to die 

Things are so much different now that you've come of age 
Look straight and hard and far ahead for something you can save 
Things are so much different now that you've come of age 
Walk right into your destiny decisions have been made

It always seemed much later on 
The time has come you're on your own 
This is the dream it's coming true 
Too fast desire can't help you 

This is what you've been hoping for 
You know you'll never change the world 
You think you're so invincible now 
You don't know the truth, you can't live the lies",Come of Age
Shades Apart,"I didn't know it could get so dark so fast
But from here on its not gonna last
The days are getting longer and I'll have my time 

Tomorrow is not far away
From where I stand all alone today
Just add another minute for the sun to shine

My shadow falls hard against this world
It leads me to a special place
It looks away from the shortest day
But it stares right back in my face 
The sun at my back gives me a long look 
And it won't fail me now
I'm walking straight to a warm embrace 
To a day that's never gonna end at all 

Don't you feel the chill lift from the air
The sky shines clear to someplace where
There will be no more waiting for the night to end

I didn't know I could get so far so fast
Overcome my shadow and walked right past 
Straight into the sunlight
'Cause I know my own way now 
I know the darkness will return 
The numbing cold and the freezing burn 
The days are getting shorter 
But I know that I will last",Dark Days
Shades Apart,"Promise 
Welcome to a world of promise 
These smiling faces are your friends 
All this happiness is certain 
Unless of course you don't fit in 

Fall in line 
Pretend like you don't mind 
Get in the know unless you've had enough time to get dangerous 

Laughing 
Why are all these dudes so happy 
Our hero questions the big joke 
Stop it make them all just disappear 
He's never felt so all alone 
Now's the time 
There's not need to hide 
He's got to let them know 
Look's like he's had enough 
He's getting dangerous 
I wonder who's laughing now",Dude Danger
Shades Apart,"You reach out to pat my back
But twist the knife instead
I can't touch your private world 
Or illusions of your mind

Season of unearthly need
Reading further down 
Time is lost and you're the same 
You're acting without thought now 

Who will you run to 
When heaven falls 

Here we stand now back to back
We're choking just to speak
I can't touch your private world 
Or illusions of your mind now 

Losing grip of fading thought 
What difference did it make 
Loosing touch of what you had 
When time left you behind",Heaven Falls
Shades Apart,"Push forward 
Lay to rest old fears 
Not long ago I was one of them
I'm changing 
The more I've changed 
The harder it is to face what I was before 

It's one man against one man 
I'm gonna take a stand 
Older now 

Stand silent 
The pain is there 
The fear burns in my eyes 
I won't look back 
There's nothing left to hide 
I'm different but I don't need it written on my face 
The real difference is inside 

One man against one man 
I gotta take a chance 

No pity 
No regret for what I left behind
Yesterday is dead 
I am still alive 
It's clear now 
What I fought so hard 
I fought against myself
I'm not ashamed of what I am",Older Now
Shades Apart,"Sunburned faces watch a nuclear sky
Initial conflict on the fourth of July
Children hide their heads and wonder why
No one really cares

Crying on the Inside
Surrender

Radio brings in the daily news
The sky's a crisscross of those red whites and blues
If the day should come what would you choose
If the day should ever come now would you really care",On the Inside
Shades Apart,"Reaching through the pain the real world sent your way 
Problems you can't understand but still you have to fight 
It makes me proud inside to see you try so hard 
It hurts to watch your struggle 
I can't tell you I know I'm right 

No, I won't cry for you 
What you need is a place to turn 
And I hope that you will fall on me 
'Cause I won't fall 

Some people don't catch on they'd rather just pretend 
While things are going smooth they smile and call you friend 
Funny how you never know who cares until it hurts 
And when it's over does it matter who blew who off first 

No, I won't cry for you 
You need someone to turn to 
And I hope that you will fall on me 
'Cause I won't fall 

Remember when you lost your head 
Your mind screams for what you should have said 
Face the world with a painful smile 
Holding back the guilt inside 
You never thought you'd do such harm
You'll never forget or hide these scars 
Hurting inside's no way to grow
So just let go 
Cause it's gone with yesterday 

I know the things you're going through are hard to take 
Trying to be what you never wanted find a real way to be brave
I've learned to understand you'll get by on your own 
You've got yourself to count on now but realize your not alone 

No I won't cry for you 
Don't need weak sympathy 
What you need you will find 
Just open your fist and reach to me",Remember When
Shades Apart,"I can't complain 
about this rut I'm in 
day after day 
these same walls I kick in 
rip out my hair 
what's so unfair 

bent out of shape 
underestimate what I can take 
it's easier to just break down 
when you're not around anymore 

woe is me, 
I just can't win 
the cable's out again 
can't stand the neighbor's hollering' 

it comes crashing down and I forget 
that some hearts never mend 
and it never ends 
even though I'm not pretending when I cry 

I don't care 
about this rut I'm in 
no show to steal 
by making a big deal if I fall down and what for 

fall so hard to seal my fate 
feel's so good to bellyache 
it's gonna be one of those days 
break it down",Rut
Shades Apart,"How do you see yourself
Do you find yourself within 
You look for now way out
Can't you be yourself
Separated form all them 
You're seeing now way else 
How to be yourself
Don't you find the strength within

Living in the shadow of a cross
See there's no real reason to be lost 
Or found in someone else
I'm not sorry now 

Are you really sure 
What you're searching for to see 
Or will you even understand 
What are you waiting for
'Cause there's so much more to be 
And not try so hard to hide 
The light you're reaching to 
Could be burning bright in you

It's an easy choice 
Once you're living at the end 
Does it matter either way
It's not such a crucial choice 
Just let your heroes die, be them 
Doesn't matter either way
Destroy with your own voice 
Just don't pretend to know its' the right choice",Shadow of a Cross
Shades Apart,"The rain taps on the window down the hall 
there's no one out there nothing at all 
reaching out strange lightning from above 
looking up nothing to be scared of 

take away the wonder 
take away the world 
you better not forget 

it's quiet now the wind begins to slow 
someone's standing there please don't go 
forever new and still the same 
you can help things stay this way 
all clear now how fast it came and went 
someone's standing there don't let it end",Strange Lightning
Shades Apart,"Voices sometimes mine 
Whispers in my mind 
I can't be alone 
No way to compensate 
For an insane world 
Is this what i've outgrown 

I fell it it's all there 
I can't ignore the signs 
It's not my fault 
If someone gets hurt the next time worlds collide 

Where the madness ends 
Imagination begins 
It's getting closer all the time 
Fury in my eyes 
I'm not repentant for my crimes 
Not this time 

Is it hate or fear 
Rorschach I can't decide 
I fear my hate 
I don't know how to love everyone",Surface Tension
Shades Apart,"A grim reality there's something on the TV news
We're faced with truth we can't refuse no outcome left to choose
Nothing's ever new again
A Grim reality

We believe
Don't understand

A bitter fallacy there's murder in McDonald land
Watching from the living room or shouting from the stands
Don't just stand there waiting for the change again 
What's it gonna be

Don't you see
There's nowhere to hide from me

Land of make believe there's something wrong in TV land
The outside world comes crashing in and nothing goes as planned
Don't just stand there waiting for the change again",We Believe
Shades Apart,"When the sun is almost out of view
I see the old man climbing to his roof
Leans against the sky into the painted distance
Tries to hear it every night 
He wants to make it right

Calling out of somewhere
Voices in the shadows
Calling out of someplace
Moving one by one

Says he had sons, all about my age
Can't remember more the pictures fade
Blink and years go by the days go on forever
Shines the medals every day
He doesn't miss a day

Under indigo and charcoal skies
He listens when the traffic rattle dies
On the jetstream signals at the edge of silence
More than half a world away
Is not so far away",Calling
Shades Apart,"This
Side of truth
Unlearned in my youth

Lines
Edges on the air
Too much everywhere

Tear it away
I'm not sorry

Spin
Spinning circle game
Every word the same

Rage
Scream across the sky
Rage against the dying light

Overdriving
Black lie smiling
You won't grind me",Comet
Shades Apart,"She holds too tight
Underwater life
And paralyzed
Her own mind
Gets in the way
Every time

I don't want to be dead and gone before I'm gone

She starts to shake
Covers up her face
Because it's all fake
All design
What can it take
To realize

Awake at night
Nothing fits right
Shut inside
Dreams a life
Doesn't make sense at all
In the world outside",Dead Before I'm Gone
Shades Apart,"Picture out the window is razor sharp
Horizontal lines stretch out so far
Reach out for a hand in the dark

Watching all the colors drifting by
Look forever down that mountainside
Feel the cool air rise off the ground

I decide what is right or wrong
I decide what can pass or fail
I rely on my good luck charm

Stepping over oceans
Walk across the sky
Universe is shrinking
Down to size
Try to dissolve into space

No one is deceitful
Nothing untrue
Ignoring what is certain
Believe a lie
Conscience can escape from inside

Imaginary friends are stopping by
Talking aspirations of past lives
Faces seem familiar and kind",Good Luck Charm
Shades Apart,"She don't know where I came from
I'm feeling like I'm half-alive
She don't know and I don't care
Two of us are scared to laugh

What a waste of Saturday
My eyes shut tight
I lie awake all night

We both know the flashing lights
The neon flicker and buzz
We both know the night's swirling blurs
I just can't place the face",Neon
Shades Apart,"Clock ticks
Memory slips
Call it bliss
Curl your lips into a smile

Ignition
Let's take a ride to see the fireworks
Exploding
Don't turn the lights off yet I'm fighting sleep

Wake up my senses
Open the curtain on my mind
I know I still believe in you

Phone rings
It's Valerie
Seeing
Can you come to a birthday party

Free falling
Small talk can get so small some times
Recalling
My favorite episode with out looking up

Ecstatic
The static rocks the radio
God Dammit
Automatically I stare into your eyes",The Tilt
Shades Apart,"I guess you 're wondering why I brought you here
It seemed like such a good idea at the time
I was thinking you would sort things out
If I could just explain away the consequences

Please meet me on neutral ground
It's not fair to me when you smile
Promise you won't see through me
A promise of time

Sorry that the place is such a mess
Things all piled up at once I guess
How can you look at me like I'm insane
All I want to give you is some understanding",Visitor
Shades Apart,"I was alone and frightened
Until you came along
I was afraid of everyone
You showed me I was wrong
You came into my life
And helped me take a stand
I feel so whole inside now
Come and take my hand
You belong to me
You can never leave
I'll show you off to my friends
You see they're so impressed
Together we must look so cool
I bet they never guessed
That I could be someone
And with you by my side
Anyone who disrespects
Has got no place to hide
Favorite toy
I am happy now
I know you're happy, too
Every guy around my neighborhood
Wishes he had you
Nobody stare at me
Don't they know who I am?
We'll take that smile right off his face
We'll take his life for fun",Gun
Shades Apart,"I want to lie to you
All you can do is listen
My smile is blinding you
You'll never find out the truth
You don't know which side I'm on
The whole world can take me on
A menace just can't turn and walk away
Spilling my guts to you
I'll break your heart in pieces
I'm just misunderstood
That's what I'll have you believe
I don't know which side I'm on
Menace to society
You can't make me turn the other way
I wouldn't be surprised
If one day I broke my cover
Don't be afraid of me 
It's only when I'm with my friends",Menace
