Band,Lyrics,Song
Marissa Nadler,"Every night that I spend alone
You don't know
You don't know me at all
And in my life of a girl
Of the troubles and love
I'm a troubled, troubled heart

Thought I'd sing with the boats
Trouble all away
That they'd swim back to me today
My troubles are never going to leave me alone

A prayer told me
The rosary
That I wear on my neck
Stare out to sea
Ghosts overhead
Bird in a tree
I feel numb and cold, rosary
Numb cold and free, rosary
Rosary",Rosary
Marissa Nadler,"Flowers died a long
Time ago my friend
And they're hanging on the wall
With wax and thread

When you were young
Did you think it would ever end?
When you were young
Did you think it would ever end?

Sylvia was a girl
That I knew best
And she wore the finest
Eyelid dress
And she sits in her room
Painting golden moons
And she sits in her room
Painting golden runes

Oh, what am I to do
Without a man to see me through?
Oh, what am I to do
Without a man to see me through?
I'm more than blue
I'm violet

Lyla met a man
That she loved best
And he died in a fiery crash.

And the hole is wide
The hole is wide
The hole is wide

And the hole is wide
The hole is wide
The hole is wide

Oh, what am I to do
Without a man to see me through?
Oh, what am I to do
Without a man to see me through?
I'm more than blue
I'm violet

Sylvia was a girl that I knew best",The Whole Is Wide
Marissa Nadler,"When you came to town I fell for you it seems
To a house with twisted branches
And a candle dream
I'll be your alabaster queen
Your alabaster queen

When I hear you play
I think of water and sunshine

And I never really mind
All your women wistful wanting
You all the time
I'll be your alabaster queen
Your alabaster queen

Your alabaster queen
And sunshine king",Alabaster Queen
Marissa Nadler,"Where did you go
When the snow fell that year
You were inside these wooden walls
Like a bear
Eager child for the end in your lair
For the end of the year

And that old familiar fear
Creeps up your little arms
And runs through your veins
Like blood through your songs
Like blood through your songs
Like blood through your songs

And then summer came
And he wore you like a charm
And you knew yourself
That what had come
Would soon be gone
Well sometimes in your burrowed hole
You love to be the pawn
Always moving on
 
Oh where did I go
When the rains fell that year
We were inside that wooden house
Like a bear
Eager child for the end to be near
For the end of the year

And then winter came
And I wore him
Like a charm
And we knew that what had come
Would soon be gone
Well sometimes in my burrowed hole
I feel it coming on
Always moving on

An island is always alone
And you were breaking yours with a stone
So I took you home to a bastion
A hurricane by any other name
So I took you home and I crashed you
A hurricane in your veins","In Your Lair, Bear"
Marissa Nadler,"Mr. John Lee what is happening to me
Last time I saw you
Bringing fire wood into your house
From a tree
But I didn't love you
Quite as much
As sweet Marie
The sheriff he never
Had to come
To wade through the water
Swamps
And some strange mystery
To find Marie

Me clad in Velveteen
Red lips and high heeled shoes
I carried you
Your weight for a long time
Through years and towns and took refuge
And I carried your weight upon mine

Marie got married
To a man

And I found your footsteps
In summer lands
To your lady

Marie has a daughter
And a new city now
And your skin is soft and tired
From the years
But your happy now

Me clad in Velveteen
Red lips and high heeled shoes
I carried you
Your weight for a long time
Through years and towns and took refuge
And I carried your weight upon mine

Mr. John Lee
What is happening to me
Last time I saw you
Bringing firewood into your house
From a tree",Mr. John Lee Revisited
Marissa Nadler,"It's a beautiful day
And I went for a walk
But I saw that old dirt path
Where we used to talk
Where is the rain
Cause some spring lovers
Are bringing me down again

The years have come
And your hands have gone
But your land is something
Lost in a song

Why does the sun always remind me of you
Yes it does
I hope a new day will come
And cover up what I done

Why does the sun always remind me of you
I would know
That there ain't nothing but love songs
On the radio

Turn on the colored days
To peel away the skin
The sun will turn my hands to gold
More than any alchemist

Sea water it rounds the edge of shard and turns to sand
I heard you bought a house

And light it up with glass and second hand

Why does the sun always remind me of you
Yes it does
I hope a new day will come
And cover up what I have done
Why does the sun always remind me of you
I would know
That there aint nothing but love songs
On the radio

Always reminds me of you
Yes it does
It always reminds me of you
Yes it does, 
Yes it does, 
Yes it does

Why does the sun always remind me of you
I hope a new day will come
And cover up what I have done
Why does the sun always remind me of you
I hope a new day will come
And cover up what I have done
Why does the sun always remind of you
I would know
That there ain't nothing but love songs
On the radio",The Sun Always Reminds Me of You
Marit Larsen,"Give me an invitation more than a guess
Give me a sign if only one single breath
I'll give you an empty page
This is the time and place

What kind of truth lives in the absence of trust?
What is the use of holding back on this much?
My eyes are open wide
Won't you let me inside?

Come closer, love
I can't hear what you're saying
Don't make it easy love
All the corners are fraying
How can I please you, love
When I don't know what you want?
It's a nice escape, but will it keep you warm at night?
I don't think so.

Uuh, how about you tell me what you're doubting us for?
What is wrong with both feet on this side of the door?
There is no easy way I'll be the one who stays

Come closer, love
I can't hear what you're saying
Don't make it easy love
All the corners are fraying
How can I please you, love
When I don't know what you want?
It's a nice escape, but will it keep you warm at night?
It's a nice escape, but will it keep you warm at night?
I don't think so.

You're so close to me
You're so far away
I don't know what you mean
You're way out of reach
You're so close to me
You're so far away

Come closer, love
I can't hear what you're saying
Don't make it easy love
All the corners are fraying
Won't you come closer, love
I can't hear what you're saying
How can I please you, love
When I don't know what you want?
It's a nice escape, but will it keep you warm at night?
It's a nice escape, but will it keep you warm at night?
(I don't think so)
",Come Closer
Marit Larsen,"You say, we must move forward
And I say, let's not go back
Once we were brave explorers
But this trail is a worn-out track
Don't chase that setting sun
Look what we've become

[Chorus]
Don't save me, I'll save you the hassle
Our little castle is a house of cards
It's empty, heartache is pending
This is us ending

You say, you were just kidding
And I say, this is no joke
We've grown and we're not fitting
We've flamed out to a wisp of smoke
Don't turn the truth around
It reads the same way upside-down

[Chorus]
So don't save me
Don't you dare

Little by little, sneaking upon
Till it's too much to ignore
Let's leave in the middle, before it dead ends
I've been down this road

Don't you dare leave me here
I'll go looking elsewhere!

[Chorus 2x]

So don't save me
Don't you dare
",Don't Save Me
Marit Larsen,"In came the light,
It swallowed me whole
Melted the tracks in the snow
To leave room for the new
To leave room for the new

In came the light
And we started to glow
",In Came the Light
Marit Larsen,"So you say I need to consider this
Yours were the face that I couldn't resist
Yours was the fuel to the flames in my heart
Mine were the words that would tear us apart

Well I say I found the letters you wrote
Mine was the smile and the life that you broke
Mine was the story that you told your friends
Yours were the demons you couldn't defend

Understand me, as of lately I've learned a thing or two
There is just no way that I'll be coming home to you

[Chorus]
'Cause only a fool would do this again
Only a fool would let you back in
There is no you left to embrace
There is no word would make it feel safe
Love was a gift, stubborn and wild
I was armed with the faith of a child
And you were my joy, you were my friend
There is no going back there again

[Chorus 2]
It's more than you can ask of me my love
I'm coming out of nowhere
It feels good here better than you know
Isn't it only fair that you try and let it go?

Yours was the ring that I started to wear
Yours were the vows that went up in the air
Yours was the choice to stay away from her
Mine was the dream that got lost in the stir

These were the times I would call you my own
These were the times I were waiting at home

I'll tell you something, I've been changing after what you put me through
There is just no way that I'll be coming home to you

[Chorus]

'Cause only a fool would do this again
Only a fool would let you back in
There is no you left to embrace
There is no word would make it feel safe

[Chorus 2]

Let it go
Let it go
I said ""only a fool""
""Only a fool""
",Only a Fool
