Band,Lyrics,Song
Alex Lloyd,"Falling on your, broken bones 
Hitch a ride to, get you home 
Stormy road and rocky path 
Every step we, take a chance 

Cause in your heart and in your mind 
Sometimes lost now sometimes blind 
Well it's sometimes blind 

See the wonder of it all 
Take a breath before it falls 
The wonder, the wonder of it all 
The wonder of it all 

Innocence wasn't meant to fail 
Stretched it out on a bed of nails 
All your rights and all your wrongs 
What it meant now to belong 

Cause in your heart and in your mind 
Sometimes lost now sometimes blind 
Well it's sometimes blind 

See the wonder of it all 
What we had and lost before 
The wonder, the wonder of it all the wonder of it all 

Did you see the wonder like a crash of thunder 
It's the spell we're under now 
The wonder the wonder of it all 

See the wonder of it all 
What we had and lost before, 
See the wonder of it all 
What we had and lost before 
The wonder, the wonder of it all",The Wonder
Alex Lloyd,"My heart is as black as my soul
My mind is a head but its whole
I?m loosing in a back of direction
I?m dreaming of a resurrection

Hey hey hey yeah yeah
I can't get you off my mind

I keep on bring me down
Thinking of the way you used to feel
Dreaming about your face
Thinking of another place

Hey hey hey yeah yeah
I can't get you off my mind

I'm still thinking about you
What everyone wants

Hey hey hey yeah yeah
I can't get you off my mind",Peepshow
Alex Lora,"Ella existió, solo en un sueño 
El es un poema que el poeta nunca escribió 
En la eternidad los dos 
Unieron sus almas 
Para darle vida 
A esta triste canción de amor 
A esta triste canción de amor 

El es como el mar
Ella es como la luna 
Y en las noches de luna llena 
Hacen el amor 
Y en la inmensidad los dos 
Unieron sus almas 
Para darle vida 
A esta triste canción de amor 
A esta triste canción de amor 

El es como un dios
Ella es como una virgen 
Y los dioses les enseñaron a pecar 
Y en la eternidad los dos 
Unieron sus almas 
Para darle vida 
A esta triste canción de amor 
A esta triste canción de amor",Triste Canci贸n
Alex Maguire,"Driftin' Dreamin'
In an Azure mood,
Stardust gleamin' 
Thru my solitude:
Here in my seclusion, 
You're a blue illusion 
While I'm in this Azure interlude.
I'm not wanted I'm so all alone;
Always haunted
By the dreams I own;
But, though Im tormented
I must be contented 
Driftin' Dreamin' 
In an Azure mood!
Driftin' Dreamin'
In an Azure mood,
Star dust gleamin'
Thru my solitude:
Here in my seclusion, 
You're a blue illusion
While I'm in this Azure interlude!
",Azure
Alex Maryol,"She was 14 and he was 24
Shorty claimed she never had sex before
He's driving Benz and got a lot of dough
He takes her to the movies and buys her Nike's yo
And makes sure she think that she got it all
Ain't even recognizing the signs of a booty call
Better listen to what I'm telling y'all got to show her what she's worth

It makes me wanna cry
'Cause the shorty's being treated just like a woman
It makes me wanna cry
'Cause her parents ain't even trying to confront him
It makes me wanna cry
Black people we need to show our children a little loving
It makes me wanna cry
Get back in the church read your Bibles get out the struggle
It makes me wanna cry (ooh ooh)

Momma's trickin' to feed the baby yo
'Cause daddy took the money and put it up his nose
He hits the hustler up for some credit yo
But never took the time to go buy some baby clothes
She's so adorable but she's on her own
Three months old and they left her home alone
Fire brakes out the little baby burns
Tell me when will we learn?

It makes me wanna cry
'Cause the baby didn't ask for all this trouble
It makes me wanna cry
'Cause the parents didn't see this baby suffer
It makes me wanna cry
Black people we need to show our children a little loving
Makes me wanna cry
Get back in the church and read your Bibles get out the struggle
It makes me wanna cry

Yo listen up
'Cause I done been all around the world every city has a ghetto
It makes me wanna cry (cry)
Nothin' but abandoned buildings look at the way my people living
It makes me wanna cry (cry)
Done been to so many places don't see no smile up on they faces
It makes me wanna cry (cry)
You got to get it together so your life can be much better (Oh Cry)

(Cry) this is going out to all the little 'round the world
Don't it make you wanna cry?
'Cause black people we need to, got to show our children some lovin'
(Cry) you got to get back in church and study the word cause you know it will stay
(Cry) you don't have to cry
You don't have to cry no more, don't cry
You don't have to cry no more, don't cry
You don't have to cry no more, don't cry
You don't have to cry no more, don't cry",Cry
Alex Matos,"Ya no sé qué hacer al ver pasar el tiempo 
Hasta cuándo esperare? 
Ángel bueno, amor perfecto, eres un sueño, 
Lo más lindo que soñé 
Ven, cuento los días y las horas y no estas, 
No te consigo olvidar
Cada minuto es mucho tiempo si no estás, si no estás

Ay, los segundos van pasando lentamente 
Cuando vas a regresar? 
Hasta cuando voy a seguirte queriendo? 
Corazón quiero encontrar
Ven, que de tus brazos el amor nace canción
No te consigo olvidar
Cada minuto es mucho tiempo si no estás, si no estás 

Como me voy a acostumbrar a despertarme y no encontrar 
Tu amor, tu paz, tu comprensión? 
Que hará mi corazón si no estás? 
Sácame de esta soledad, ven a calmar esta ansiedad 
Que importa quien se equivocó 
Lo que paso paso y tú no estás

No estas, na, na, na, na
Como me voy a acostumbrar a despertarme y no encontrar 
Tu amor, tu paz, tu comprensión? 
Que hará mi corazón si no estás? 
Sácame de esta soledad, ven a calmar esta ansiedad 
Que importa quien se equivocó, lo que paso paso y tú no estás!
No estas, na, na! 

(Ven, que no consigo olvidar
Ven, que no consigo olvidar) 
Yo no consigo olvidarte 
(Ven, que no consigo olvidar) 
Porque tú me enseñaste amarte
(Ven, que no consigo olvidar) 
Sin ti no entiendo la vida 
(Ven, que no consigo olvidar) 
Es una batalla perdida
(Ven, que no consigo olvidar) 
Yo no consigo olvidarte 
(Ven, que no consigo olvidar) 
Sácame de esta soledad 
(Ven, que no consigo olvidar) 
Yo no consigo olvidarte 
(Ven, que no consigo olvidar) 
Que te lo diga el coro
(Ven, que no consigo olvidar)",Amor Perfecto
Alex Mica,"Dalinda
Mi alma te llama
Ven en mi cama
Quiero amarte
Dulce niña
Dame tus besos
Mírame a los ojos
Júrame tu amor.

Every night in my mind
I feel the perfume of your skin
Baby I won't deny
You're the lady of my dreams

Damn I like the way you push
Me slowly up and down baby
Let me kiss ya sexy body
I will be so kind

Every night in my mind
I feel the perfume of your skin
Baby I won't deny
You're the lady of my dreams

Damn I like the way you push
Me slowly up and down baby
Let me kiss ya sexy body
I will be so kind

Every night in my mind
I feel the perfume of your skin
Baby I won't deny
You're the lady of my dreams

Niña dame tus besos
Quiero tenerte en mis brazos
Toda la noche en mi cama
Mi amor, mi amor.

Every night in my mind
I feel the perfume of your skin
Baby I won't deny
You're the lady of my dreams
Every night in my mind
I feel the perfume of your skin
Baby I won't deny
You're the lady of my dreams",Dalinda
Alex Nackman,"Sunday night beginning of May
Most children sleep but I am still awake
Cool breeze coming through and I am not alone
Many days have past here watching telephones

[Chorus]
Can all the stars line up my way
To think that they will is that naive of me?
Can all the stars line up and stay?
Can all the stars line up my way?

Monday comes and I've never felt so far
If it wasn't meant to be than why did it start
Everyone keeps saying, 'You've got to work hard'
Convincing was easy years ago and now I'm not that sure

[Chorus]

Not far behind is Tuesday's smile
Days I want to hear my name aloud
Sometimes looking far at my morale
I'm thinking to myself have all my efforts been worthwhile

[Chorus]

Ticking clocks and speeding foxes
Won't defy my trying times
I see this star, it's sitting large
Stay the course in this line
Oh yeah, yeah, this straight line

[Chorus]",Stars
Alex Nevsky,"N’ai-je vécu
Que pour te faire souhaiter la mort
Que pour tout dire à demi-mot

N’ai-je que déçu
Quand j’apprenais à devenir un homme
Toujours en croquant dans la pomme

J’étais à la mer
Pendant que tu pleurais l’enfant
Qui gisait dans la toilette

Quand tu m’as dit
Que jamais je ne pourrais te comprendre
Que le bonheur est plus loin qu’on pense
Je ne parlerai plus",Katharina (Suite et fin)
Alex Pangman,"No regrets altho' our love affair has gone astray
No regrets I know I'll always care though you're away
Somehow our happy romance ended suddenly
Still in my heart you'll be forever mine
 
No regrets because somebody new looks good to you
No regrets sweetheart no matter what you say or do
I know our love will linger when the other love forgets 
Still in my heart you'll be forever mine",No Regrets
