Band,Lyrics,Song
Silvio Rodríguez,"A veces siento deseos de amor 
Y a menudo no puedo beber 
Para esa hora busque una canción 
Con la que me entretengo la sed 

Tiene delirios de la tradición 
Y otras hierbas que suelo rumiar 
Ya te las voy a cantar

Yo soy como soy 
Y a casi todo el mundo le pedí prestado 
Yo soy como soy 
Y a casi todo el mundo yo le tiendo mano 
Y a casi todo el mundo yo le tiendo mano 
Y a casi todo el mundo yo le tiendo 

Dime que pena te puedo sanar 
Yo quisiera también ser doctor 
Solo deseo que para tu mal 
Tenga alivio mi vieja canción 
Lo que te doy de mortal a mortal 
Se desprende gustoso de mi 
El resto espera por ti 

Yo soy como soy

Se que hay amores que no curara 
Ni la mas esmerada canción 
En todo caso te invito a llenar 
De optimismo este buen corazón 
Vale la pena dejar de llorar 
Y hacer cita con el porvenir 
Vale la pena vivir 

Yo soy como soy",Yo Soy Como Soy
Silvio Rodríguez,"Yo te quiero libre, libre y con amor
Libre de la sombra, pero no del sol
Yo te quiero libre, como te viví
Libre de otras penas, y libre de mi

La libertad tiene alma clara
Y solo canta cuando va batiendo alas
Vuela y canta, libertad
La libertad nació sin dueño
Y yo quien soy para robarle cada sueno

Yo te quiero libre y con buena fe
Para que conduzcas tu preciosa sed
Yo te quiero libre, libre de verdad
Libre como el sueno de la libertad

La libertad, nació sin dueño
Y yo quien soy para robarle cada sueno

Yo te quiero libre como te viví
Libre de otras penas, y libre de mi",Yo Te Quiero Libre
Silvio Rodríguez,"Hoy viene a mí­ 
La damisela soledad 
Con pamela, 
Impertinentes y botón 
De amapola en el oleaje 
De sus vuelos 
Hoy la voluble 
Señorita es amistad 
Y acaricia finalmente 
El corazón,
Con su más delgado 
Pétalo de hielo 

Por eso hoy, 
Gentilmente 
Te convido a pasear 
Por el patio, 
Hasta el florido pabellón 
De aquel árbol 
Que plantaron los abuelos 
Hoy el ensueño es 
Como el musgo en el brocal, 
Dibujando los abismos 
De un amor 
Melancólico, sutil, 
Pálido cielo 

Viene a mí­, avanza, 
Viene tan despacio, 
Viene en una danza 
Leve del espacio 
Cedo, me hago lacio 
Y ya vuelo, ave 
Se mece la nave 
Lenta, como el tul 
En la brisa suave, 
Niña del azul 

Oh melancolí­a, 
Novia silenciosa, 
Í­ntima pareja del ayer; 
Oh melancolí­a, 
Amante dichosa, 
Siempre me arrebata 
Tu placer; 
Oh melancolí­a, 
Señora del tiempo, 
Beso que retorna 
Como el mar; 
Oh melancolí­a, 
Rosa del aliento, 
Dime quién me puede amar

Hoy viene a mí­ 
La damisela soledad 
Con pamela, 
Impertinentes y botón 
De amapola en el oleaje 
De sus vuelos 
Hoy la voluble 
Señorita es amistad 
Y acaricia finalmente 
El corazón 
Con su más delgado 
Pétalo de hielo 

Por eso hoy
Oh melancolí­a, 
Señora del tiempo, 
Beso que retorna 
Como el mar; 
Oh melancolí­a, 
Rosa del aliento, 
Dime quién me puede amar",Oh Melancolia
Silvio Rodríguez,"Si te dijera, amor mío, 
Que temoa a la madrugada, 
No sé qué estrellas son estas 
Que hieren como amenazas, 
Ni sé qué sangra la luna 
Al filo de su guadaña. 
Presiento que tras la noche 
Vendrá la noche más larga, 
Quiero que no me abandones 
Amor mío, al alba. 
Los hijos que no tuvimos 
Se esconden en las cloacas, 
Comen las últimas flores, 
Parece que adivinaran 
Que el día que se avecina 
Viene con hambre atrasada. 
Presiento que tras la noche

Miles de buitres callados 
Van extendiendo sus alas, 
No te destroza, amor mío, 
Esta silenciosa danza, 
Maldito baile de muertos, 
Pólvora de la mañana. 
Presiento que tras la noche",Al Alba
Silvio Rodríguez,"Anda, 
quítate el vestido 
las flores y las trampas, 
ponte la desnuda 
violencia que recatas 
y ven a mis brazos, 
dejemos los datos, 
seamos un cuerpo enamorado. 

Anda, 
deja que descubra 
los montes de tu mapa, 
la concupiscencia 
secreta de tu alma 
y ven a mis brazos, 
dejemos los datos, 
seamos un cuerpo enamorado. 

Anda, 
pídeme que viole 
las leyes que te encarnan, 
que no quede intacto 
ni un poro en la batalla, 
y ven a mis brazos, 
dejemos los datos, 
seamos un cuerpo enamorado. 

Anda, 
dime lo que sientes, 
no temas si me mata, 
que yo sólo entiendo 
tus labios como espadas, 
y ven a mis brazos, 
dejemos los datos, 
seamos un cuerpo enamorado",Anda
Silvio Rodríguez,"Enemigo de la guerra
Y su reverso, la medalla
No propuse otra batalla
Que librar al corazón
De ponerse cuerpo a tierra
Bajo el paso de una historia
Que iba a alzar hasta la gloria
El poder de la razón
Y ahora que ya no hay trincheras
El combate es la escalera
Y el que trepe a lo mas alto
Pondrá a salvo su cabeza
Aunque se hunda en el asfalto
La belleza

Míralos, como reptiles
Al acecho de la presa
Negociando en cada mesa
Maquillajes de ocasión
Siguen todos los raíles
Que conduzcan a la cumbre
Locos por que nos deslumbre
Su parásita ambición
Antes iban de profetas
Y ahora el éxito es su meta
Mercaderes, traficantes
Mas que nausea dan tristeza
No rozaron ni un instante
La belleza

Y me hablaron de futuros
Fraternales, solidarios
Donde todo lo falsario
Acabaría en el pilón
Y ahora que se cae el muro
Ya no somos tan iguales
Tanto vendes, tanto vales
¡viva la revolución!
Reivindico el espejismo
De intentar ser uno mismo
Ese viaje hacia la nada
Que consiste en la certeza
De encontrar en tu mirada
La belleza…",La Belleza
Silvio Rodríguez,"Tu sed transubstancia mi sudor 
en vino que bebemos en cada beso 

Tus pies no se hunden 
en los lagos de mis lágrimas. 

Tu saliva siembra la luz 
en la noche de mis ojos. 

Tu voz resucita mis músculos dormidos 
mis latidos sepultados. 

Tus manos, cuando me tocan, curan 
mis heridas más invisibles. 

Tu hambre fecunda peces 
que se multiplican como deseos de humedad 
en el múltiple pan de mi cuerpo. 

cada vez que me amas, 
es un milagro.",Cada Vez Que Me Amas
Silvio Rodríguez,"Fue en ese cine, te acuerdas, 
en una mañana al este del edén, 
James Dean tiraba piedras 
a una casa blanca, entonces te besé. 

Aquella fue la primera 
vez, tus labios parecían de papel, 
y a la salida en la puerta 
nos pidió un triste inspector nuestros carnets. 
Luego volví a la academia 
para no faltar a clases de francés, 
tú me esperaste hora y media 
en esta misma mesa, yo me retrasé. 

Quieres helado de fresa 
o prefieres que te pida ya el café. 
Cuéntame cómo te encuentras 
aunque se que me responderás: muy bien. 
Ten, esta foto es muy fea, 
el más pequeño acababa de nacer 
oiga, me trae la cuenta, 
calla, que fui yo quién te invitó a comer. 
No te demores, no sea 
que no llegues a la hora al almacén. 
Llámame el día que puedas, 
date prisa que ya son las cuatro y diez",Las Cuatro y Diez
Silvio Rodríguez,"De alguna manera 
tendré que olvidarte, 
por mucho que quiera 
no es fácil, ya sabes, 
me faltan las fuerzas, 
ha sido muy tarde, 
y nada más, y nada más, 
apenas nada más. 

Las noches te acercan 
y enredas el aire, 
mis labios se secan 
e intento besarte, 
qué fría es la cera 
de un beso de nadie 
y nada más, y nada más, 
apenas nada más. 

Las horas de piedra 
parecen cansarse 
y el tiempo se peina 
con gesto de amante, 
de alguna manera 
tendré que olvidarte 
y nada más, y nada más, 
apenas nada más.",De Alguna Manera
Silvio Rodríguez,"Si me dijeran pide un deseo
Preferiría un rabo de nube
Un torbellino en el suelo 
Y una gran ira que sube
Un barredor de tristezas
Un aguacero en venganza 
Que cuando escampe parezca 
Nuestra esperanza

Si me dijeran pide un deseo
Preferiría un rabo de nube
Que se llevara lo feo 
Y nos dejara el querube
Un barredor de tristezas
Un aguacero en venganza 
Que cuando escampe parezca 
Nuestra esperanza",Rabo de Nube
