Band,Lyrics,Song
Grupo Bryndis,"Yo quisiera volver aya, donde todo es felicidad
Nunca pensé engañar a quien me enseño
A querer y amar

Que solo estoy sin ti, se que ya te perdí
Sigues un poco en mi volvamos a intentar
A ser feliz

Nuca deje de pensar en ti, es mas puedo decir
Sentí no se vivir te voy a demostrar
Que te amo de verdad

Es mi ilusión volver a comenzar todo lo pasado
Dejarlo hacia tras pedir con todo el alma
Dame una oportunidad",Volvamos a Empezar [Cumbia]
Grupo Bryndis,"Te quiero
Como nunca había querido
Te confieso vida mía
Que te llevo en mi corazon

Te quiero
Y te adoro con locura
Eres todo para mi
Pero ahora tengo que partir

Y que no me dejaras
Dímelo, vida mía
Y que no me dejaras
Por que sufro, solo de pensarlo
Tengo miedo de perderte

Por que tu eres el amor de mi vida
Por que tu eres el amor de mi vida
Por que tu eres el amor de mi vida",El Amor de Mi Vida
Grupo Bryndis,"Mi preciosa mujer,
Dueña de mi alma,
Eres perfecta y emsamblas
En mi como rompecabezas,

Mi querida mujer,
Me has cambiado la vida,
Llenastes mi ser detoda
Confianza,amor y ternura,

Conocido de enviude
Del amor,a tu lado
La experiencia mas
Bonita, tu y yo unidos

Por amor, no habra
Nadien qu interrumpa nuestras
Vida, descubriendo nuetro
Alrdedor sueños, iluciones

Dulces, fantasias, nuestro
Amor solo corazon
Cuanto agradesco al cielo
Que eres mia

Mi preciosa mujer,
Dueña de mi alma,
Eres perfecta y emsamblas
En mi como rompecabezas,

Mi querida mujer,
Me has cambiado la vida,
Llenastes mi ser detoda
Confianza,amor y ternura,

Conocido de enviude
Del amor,a tu lado
La experiencia mas
Bonita, tu y yo unidos

Por amor, no habra
Nadien qu interrumpa nuestras
Vida, descubriendo nuetro
Alrdedor sueños, iluciones

Dulces, fantasias, nuestro
Amor solo corazon
Cuanto agradesco al cielo
Que eres mia,
Mi preciosa mujer,
Mi preciosa mujer,
Mi preciosa mujer,
Mi preciosa mujer....",Mi Preciosa Mujer
Grupo Bryndis,"Y todavía me preguntan
Porque estoy tan solo
Acaso mi actitud y mi
Comportamiento por lo que hice
No es el resultado
Olvide a aquellos que me amaron

Y con mis hijos nunca estuve
Ni siquiera en sus primeros pasos
Entonces de que me quejo
Acaso mi actitud y mi
Comportamiento por lo que hice
No es el resultado

Que voy a hacer como proceder
Estoy tan arrepentido
Si pudiera encontrar alivio
A mi pobre corazón
Aseguro que tendría un motivo
Para buscar un nuevo amor
Y todavía me preguntan",Pagando Mi Pasado
Grupo Bryndis,"Hoy se fue
Y me duele aquí muy dentro
Pero ahora me arrepiento
Del amor que le entregue

No puede ser
Que después de tanto tiempo
Me pagara con un cuento
El amor que le entregue

Por que me enamore
De alguien que no me quería
Que solamente pretendía
Un hombre para jugar 

Por que me ilusione
So todo era una mentira
Si todo fue una fantasía
Que destrozo mi corazon 

Con su cruel adiós
A matado la ilusión
De este pobre corazon
Que se muere de dolor",Porque Me Enamore
Grupo Bryndis,"Voy
Gritando al viento
Lo que hace un tiempo
Fue muy feliz
Eras
Mi poesía
Mi fantasía
Amada mía

Hay felicidad
Te esfumaste de mi vida
Hay felicidad
No te encuentro ¿donde estas?
Antes
Que tu partieras
Mi vida era

Felicidad
Ahora
Voy por el mundo
Con un lamento
En mi cantar
Hay felicidad
Te esfumaste de mi vida
Hay felicidad

No te encuentro ¿donde estas?
Voy
Gritando al viento
Lo que hace un tiempo
Fue muy feliz
Eras
Mi poesía

Mi fantasía
Amada mía
Hay felicidad
Te esfumaste de mi vida
Hay felicidad
No te encuentro ¿donde estas?
Eres
Mi compañera

Mi vida entera
¿donde estarás?
Me siento
Derrotado
Porque tus besos
No volverán
Hay felicidad
Te esfumaste de mi vida
Hay felicidad
No te encuentro ¿donde estas?",Felicidad [Merequetengue]
Grupo Bryndis,"En el idioma del amor
No existe la razón
Que pueda comprender al corazon
Que pueda remediar la situación
Que logre olvidarme de tu amor 

En el idioma del amor
No existe la razón
Que aparte de mi lado la obcesion
Que obligue a romper con este amor
Que va dejando en mi desilusión

Quiero dejar de amarte
Eres alguien prohibido
Quiero recuperarme
De este vicio maldito

Quiero arrancar del corazon
Este duro tormento
Quiero vivir y ser feliz
Sin lastimar a los demás
Yo quiero amar

Con libertad sin tropezar una vez mas
Yo quiero amar",El Idioma del Amor [Cumbia]
Grupo Bryndis,"Donde estas y con quien estas
Si ya encontraste un nuevo amor
Te felicito a ti la vida te sonrió
Mas sin embargo a mi siempre me fallo

Donde estas mi corazon me lo pregunta
A cada instante
Mi corazon por tu recuerdo aun late
Por que tu fuiste la razón de mi existencia
Por que vivir sin ti no vale la pena

Eres feliz es la pregunta que a diario taladra en mi corazon
Y es que esa pregunta nació por que te vi muy mal
Pregonabas mi nombre en la calle pidiendo regresar

Y ami me pasa igual que a ti
Vago en las noches por esos lugares
Donde escondíamos nuestro amor
Y ya ves yo no te falle
Te alejastes y solo dejaste residuos del ayer",La Pregunta [Balada]
Grupo Bryndis,"Yo sé que traicioné
El amor que ella me dio
Pero el tiempo me hizo ver
El daño que le causé

Por querer ser mejor
En las cosas del amor
Tarde cuenta me di
Del error que cometí

Se marcho en el tren
De las diez
Para no volver jamás
Y lloré al pensar
Que no volverá jamás

Se marchó en el tren
Para no volver jamás
Y mi amor se quedó
Como tonto en soledad

La perdí yo lo sé
Y hoy me quiero envenenar
Para olvidar a esa mujer
Que hoy la extraño más y más

Se marchó en el tren
De las diez
Para no volver jamás
Y lloré al pensar
Que no volverá jamás

Se marchó en el tren
Para no volver jamás
Para no volver jamás

",Se Marcho [Balada]
Grupo Bryndis,"Con unas ansias locas quiero verte hoy
Espero ese momento en que escuche tu voz
Y cuando al fin estemos juntos los dos
Qué importa qué dirán tu padre y tu mamá
Aquí sólo importa nuestro amor, te quiero

Amor prohibido murmuran por las calles
Porque somos de distintas sociedades
Amor prohibido nos dice todo el mundo
El dinero no importa en ti y en mí, ni en el corazón
Oh, oh baby

Aunque soy pobre todo esto que te doy
Vale más que el dinero porque sí es amor
Y cuando al fin estemos juntos, los dos
Qué importa qué dirán, también la sociedad
Aquí sólo importa nuestro amor, te quiero

Amor prohibido murmuran por las calles
Porque somos de distintas sociedades
Amor prohibido nos dice todo el mundo
El dinero no importa en ti y en mí, ni en el corazón
Oh, oh baby",Amor Prohibido [Cumbia]
