Band,Lyrics,Song
Junkhouse,"A big sun setting on the fields, I can't sleep on this tractor wheel
Put my seed into the earth, they never tell me just what it's worth
I'm praying for the rain, the open sky will seal my veins
When every farmer has made his grain, I'm praying for the rain, I'm still
Praying
The road was clear the night was too, and that's how I remember you
I hop a fence, I make my bed, but I can't make you leave my head
I'm praying for the rain, just to wash away this pain
Another headlight through my brain, I'm praying for the rain, I'm still
Praying
Now all my words have headed north, they rode a taxi or took a horse
The way I loved you was all in vain, I'm still praying for the rain 
I'm praying for the rain, beat the drum till I'm insane
Give the next dance craze a name, I'm praying for the rain, I'm still
Praying
Yeah, yeah, yeah, yeah, yeah, yeah.",Praying for the Rain
Junkhouse,"We live around the hydro towers
Listen to them singing in the park 
Wind our clock too tight
And all the radios are glowing in the dark 
Mothers lie down in the day time
And dream about Hollywood 
I know that they'd get there if they could 

[Chorus:]
It's just a matter of time
Before we get to shine 
It's not a question of when
Or who does the crime 

We show our skin through picture windows
Sit around cross legged on the floor 
Our living rooms electric, 
TVs, light bulbs, irons, cancer to the core 
Out in our back yards waiting
For women in flying saucers 
Under the stars and power lines 

[Chorus:]

The fans and the air conditioners
Runnin' in movie houses
The mother's not coming home again 

[Chorus:]",Shine
Junkie XL,"Life is hard, life is short
Pained by laws like Billy Club
Life is hard, life is short
Pained by laws like Billy Club

Scatter scram, here's the man
Laws to bend that hurts like hell
Zig zag, check attack
Joke is back and hurts like hell

Hear the call, run and fall
Taking trolls, that hurt like hell
Scatter scram, here's the man
Laws to bend that hurts like hell

Cautious, ambitious
When the richest max to the fullest
Be the coolest Mr. Nuisance
Mogul cruisin', memo usin'

Tax rate abusin', counterfeit usin'
Snake attack, impostor dealin' with the roster
Two-face, Harvey Dent coin tosser
Get the hunger with the sensation monger

Gues who, gues who
Gues who, guess who stays younger

Life is hard, life is short
Pained by laws like Billy Club
Life is hard, life is short
Pained by laws like Billy Club

Scatter scram, scatter scram
Scatter scram, Billy Club
Scatter scram, scatter scram
Scatter scram, Billy Club

Scatter scram, here's the man
Laws to bend that hurts like hell
Zig zag, check attack
Joke is back and hurts like hell

Hear the call, run and fall
Taking trolls, that hurt like hell
Scatter scram, here's the man
Laws to bend that hurts like hell
",Billy Club (Def Beat) [*]
Junkie XL,"You've been living in a rot
And you can say you're not
But in case you forgot
You gotta give it your best shot

You've been bowin' on spots like metronome
Pack rat packs 'The Papers' like super gnome
Punch the clock in situations no win
Catch the weekdays past and next begins

Ambitions overrated, gets equated
With the freedom you'll be cravin', motivated than sedated
Feel like crackle doin' battle with the working cattle
The same shackle tackles the fellows, the pains, the marrow

Communities used once then destroyed
To many pawns, just to fill the void
Now you hit reflex real stallion
Blow steam like shining gold medallion

Scandalous, vandalous
Morals vanishing, chemicals refills
Sex kill, panting weekday
One wrecks the promise of 2001 violent

Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Hey, get the chicks in

Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Hey, get the chicks in

You've been rocking those spots
And you can say you're not
But in case you forgot
You gotta give it your best shot

Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Hey, get the chicks in

Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Hey, get the chicks in

You've been rocking those spots
And you can say you're not
But in case you forgot
You gotta give it your best shot

Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Saturday teenage kick, kicks in
Hey, get the chicks in

Enough said

",Saturday Teenage Kick
Junkie XL,"Mix it with mine, with yours
If the othordox ways crime
Ingnorance tricks the men
Sting again
Like porcupine
Skin complexion
Won't give direction
Hail to mulatto
Italiano
Farrago
Anything with a twist yo
For the night flows hot like sirocco
Mix with all for the ritual.
Win skin like Marlon Brando
In the last tango
Now I'm single
In the disco
Club schizo
When the disk spins loud colloyuial go.
Juices up
Loosen up
Let the lust overflows my cup pop.
Mix it with mine, blend it with yours.
Seeking a true force melange.
Never mind
Check the signs
Intertwine,
Cool: melange.
Ascetic aspects get no contact
Amatory looks for hot sex,
Screaming from your voice box, larynx
O yeah!
Steppin' to a girl that basically is way out of your league
Out of reach,
But the peach
Makes lips glisten,
Blushin' your cheeks,
Hold the courage and the guts
Aided by Millerquads or Buds
Alcohol creates the stud
To strut
In perfect duds
So much for phase one,
It takes one line to flake out son
As you glance
Top - bottom, butt
Gives the shakes on
Shoot the gift
For swift quick linguistic
Let libido uplift,
Arrange the melody
On the Freud theraphy tip
Figure you have potential,
She wetting lips.
It was a test,
Now your perfect match
'cause' the fire is lit.
Background unknown
But the sex drives the prone
Get the conversation on,
And dig out ones skulls to bone.
",Melange
Junkie XL,"It's the conformist
Takin' the firm fist
Of the idealist
Taken the shitlist.
And now, the purist stays the purist
Till the shit hits the fan of the culprits
And then the lawyer
Will destroy a
Motivation to become the purist
And the terrorist
Is really fed up with.
Nothing strategic
To besiege with
And supremacists
Touch the surface
With their racist hatred. That glues eyelids.
Those with politics
All polite on tricks
Cripple the masses on the road to riches.
Underachievers
United,
Why fight it,
Can't hide it.
",Underachievers
Junkie XL,"Mix beat
Mix beat
Mix beat

Junkie expandin' limits
Funky integration
Record needles showin' doses
With white Moses, party population

Peeps catch the beat, frantic pours pourin'
Strobe lights on, polygon
Hallucination gives you more than crazy moods
Stretch the grooves for the flock

No a-muck, super duper hi-tech rock
For the soft knock or hard knock
Down to few bucks, taxi cab aftershock
Follows the drug, marathon, strechtin' on
Till the fever pitch drops

Junkie expand its limits, mix beat
Junkie expand its limits, mix beat
Junkie expand its limits, mix beat
Junkie expand its limits

Show stops, door pops
Bouncers out bouncin' get fat nuts
Night clubbin' flock
Steppin' slow-mo like sand box

Got these souls rollin'
Standin' like ships on stones
Satiated, blatant, tainted
Now sanity shows holes

Sleep overcome the ones
That followed the god of fun
Honey buns with bums
Get the watchful eye stunned

Teens get me spirited
Exchangin' digits from sky pagers
To disco mania never sayin' to ya
The lust is major

Catch the brothers on the rebound
With skins on the skeez route
Those with wheels, fleshy feels
Surely got clout, what it's all about?

Stretchin' the funky addiction
Line to line, minds unwind
With the cocaine dissolution
Syringe tricks the kick in private seclusion

Chase the rush, it was tough to loose
The kaleidoscopic illusion
Stretch the limit, kill the cynic
In the human shell

Feel the funky, never flunky
In the Junkie XL.

Junkie expand its limits, mix beat
Junkie expand its limits, mix beat
Junkie expand its limits, mix beat
Junkie expand its limits, mix beat
Junkie expand its limits
",X Panding Limits
Junkie XL,"No need for confetti bombs
Or phallus symbols
To be obnoxious, outrageous
But the sound will be very contagious
Like nuclear fallout radius

No need for bands with tight Spandex
Macho flex, high voices from Larynex
Tight jockstraps stuffed with socks
With walnuts to show sex
But plain, obscure, high tech

Junkie XL will tell
Junkie XL will tell
Junkie XL will tell
The future in computer hell

Junkie XL will tell
Junkie XL will tell
Junkie XL will tell
The future in computer hell

No slacker trendy attitudes
Or boys that play so crude
Or smokers obsessed on weed
To be hardcore with fatigues
Let the perpetrator weep

That is the Junkie beats that grim reap
And shuffle the feet and put all asleep
In front of their MTV screens sweep
Lost souls are in deep
In their trash cash, middle class heap

Junkie XL will tell
Junkie XL will tell
Junkie XL will tell
The future in computer hell

Junkie XL will tell
Junkie XL will tell
Junkie XL will tell
The future in computer hell

We, the Junkie megabyte creep, hell
","Future in Computer Hell, Pt. 2"
Junkie XL,"Connecting channel to channel, communications are rebel
That we're looking for harmony like the bass and the treble
Divide it like pebble hallucinating battles
But we can't saddle separate the hassling tattle

Hope can strangle, mangled to confused and
Believe with the strength of Rosicrucians
Searching for human touch trust will be loving such
Musical solution, simple revolution beats and pulses

Our frek will reminisce quest for better pet
No, it sounds really bad wagoness
We get, the sweat my only methaphoreman
Let this cats only live for heavier sex

Chemical surfin' and ol' daddy seemed killed
Yesterday struggle success will predict a meatness
The violent we stand, united we fall
In desperate goals don't you know, don't you know?

We are legion
Supported through the collectives out there, somewhere
We are legion
Supported through the collectives out there, somewhere
We are legion
Supported through the collectives out there, somewhere
Legion

From the blasting gunshots and have-nots
Escapism, inefficacious they'll be with you no wrong or track spots
So blasting yours, blasting ya away seek your better days
Now it's confusing, the matter stay

Shift shifting, shot lifting anything the top lifting
Benefit this is a part, could my drifting
Seek destiny it will find thee slow don't you know, don't you know?

We are legion
Supported through the collectives out there, somewhere
We are legion
Supported through the collectives out there, somewhere
We are legion
Supported through the collectives out there, somewhere
Legion

Crazy
Crazy
Crazy

Crazy highs and your terrible lows
Crazy highs and your terrible lows
Crazy highs and your terrible lows

It controls
It controls
It controls

We are legion
Supported through the collectives out there, somewhere
We are legion
Supported through the collectives out there, somewhere
We are legion
Supported through the collectives out there, somewhere
Legion

It controls
It controls
It controls
...
",Legion
Junkie XL,"To play Russian Roulette
Do you know how to play Russian Roulette?
No, I don't
You play Russian Roulette this way

I have this pistol one bullet in chamber
Spin cylinder, cock the gun
Hold the gun to your head
And pull the trigger

Now you go, here is the pistol

Uh, what do you say, when we do two out of three

Fall in the bass, fall in the bass

Fall in the bass, you're embrace
Fall in the bass, you're embrace
Fall in the bass, you're embrace
Fall in the bass, you're embracing a stay

Fall in the bass, you're embracing a stay
Let's come from eight when love razorblade
Fall in the bass, you're embracing a stay
Let's come from eight when love razorblade

Fall in the bass, fall in the bass
Fall in the bass, fall in the bass you're embracing a stay

Fall in the bass, you're embracing a stay
Let's come from eight when love razorblade
Fall in the bass, you're embracing a stay
Let's come from eight when love razorblade

Fall in the bass, fall in the bass
Fall in the bass, fall in the bass you're embracing a stay

Fall in the bass, you're embracing a stay
Let's come from eight when love razorblade
Fall in the bass, you're embracing a stay
Let's come from eight when love razorblade

Fall in the bass, you're embracing a stay
Let's come from eight when love razorblade
Fall in the bass, you're embracing a stay
Let's come from eight when love razorblade

Fall in the bass, you're embrace
Fall in the bass, you're embrace
Fall in the bass, you're embrace
Fall in the bass, you're embrace

Ah, you lose
",Love Like Razorblade
