Band,Lyrics,Song
Gary Numan,"Final bow
In a disused music hall
Of laughter and mime
The airwave police
Were the only
Admirers to admire

Sliding sideways in a rusty old Ford
The drivers broke down and
A young girl screams
Walking through rock dreams
Tall stories
Mobile T.V. radio
Nobody came

The station is abandoned
Deserted for peace day
Some old man said 'Just do your best'
And I think passed away

My shadow is never far behind
And I must find another role to play
Visit maskmaker
Please bend my mind
Someone, no one
I really don't mind
Nobody cares
",Monday Troop
Gary Numan,"Hollow
Faces staring through my window
Sometimes
I can play a boy you might know
Station
Standing cold and old I'm insane
Gender
Is uncertain just like my name

The lemon kid is my friend
But even he don't know me well
Oh that's too bad
The waiter is an old man
Who looks at me so sly and strange
What's on his mind

Oh didn't I say I'm not one of you
Oh didn't I say I'm not one of you

Queenie
From a doorway says ""You got time?""
Panic
Not tonight if you don't mind
Oh no
My fear of streets I cover
Today
My room is home for hours

You can stay if you know your lines
But please take care
I'll suck your mind dry
You'll never guess
And you can never know me
I'll change if I begin to feel
What's your name

Zero hero says I'm no-one
He could be right but who's to know
Man from the sky
Oh well I'm growing tired of this place
I think it's time to change my face
You can't even try

Oh didn't I say I'm not one of you
Oh didn't I say I'm not one of you
Oh didn't I say I'm not one of you
Oh didn't I say I'm not one of you 

",Oh! Didn't I Say
Gary Numan,"I don't wanna hear you talk 
And I don't wanna go for walks 
But I just wanna lay you flat 
Well you think you're so good at that 

I've got no time for your sad eyes 
I don't care if you say good-bye 
I don't really think that I want 
Anything to do with your 

Out of sight 
Out of mind 

The radio continues 'round me 
Blending faces glaring at me 

 
  
 
How was I to telephone 
Crawl away to end it all 

Spiral staircase leads to nowhere 
I an take you somewhere (who cares) 
Dee-Dee's crazy as a model 
I'd break your heart if I'd got time 

Out of sight 
Out of mind 

? (I'm very sorry, but I can't make out what in blazes he's singing.) 

? 
? 
I hate you all I hate you all 
You're breaking down my message wall 

Out of sight 
Out of mind 

(The two last verses are missing in the CD booklet.)
",Out of Sight
Gary Numan,"Slowly the thought
""There is no one to replace""
Came into view
And he began to cry
Now only boys
That love only boys
The perfect picture
Of a boy/girl age

I'm praying to the aliens
I'm praying to the aliens

Grey overcoat
And he could be anyone
A random poll check
""Do you ever think of women?""
They broke him down
Into a torn old queen
Living somewhere
Between dead and dying

I'm praying to the aliens
I'm praying to the aliens

There are no more
Do you begin to see?
The corner of my eye
Could give me away
Isn't it strange
How times change?
I can't imagine
Living any other way

I'm praying to the aliens
I'm praying to the aliens",Praying to the Aliens
Gary Numan,"It was hard to avoid
I suppose it was the shame
But they didn't even try
You see we'd never met
And they didn't have names
There was nothing I could do

So I turned on the crowd
And I screamed 'you and you'
'It could have been you'
And they seemed to think
That I looked that way
Or maybe I was wrong

So I said
Do you know Mr. wall 
And they looked the other way
And then they smiled at me

But the police came
And I said it was me
And I just walked away",Replicas
Gary Numan,"Memories lost in faded films of my life
And a friend that used to be something special to me
Red wine and good times if you don't feel at all
There is no point in going on tonight

Something's in the house something's on the stairs
War's in the air
The queer is out of order and me i'm on the ground
But that's no place to be

Jack Burroughs says ""what you doing""
""Oh me, I'm going home""
""Oh what a shame""
Nothing has changed and nothing is new these days",Something's in the House
Gary Numan,"I look up and the camera eye is
Searching my room
The TV screen is calling me
But for what or whom
Please mister do be careful
I'm so fragile
Maybe they'll let me down
To Speedy's place for a while

Oh well that's too bad
Oh well that's too bad
Oh well that's too bad
Oh well that's too bad

I talk a lot, a sign of fear
I thought you should know
I can see pictures of me well
They're so-so
I'll come on to the leader
Like I'm some hero
He'll laugh and raise his dying eyes
And just tell me to go

1920 Flashbacks for an hour or more
Of crazy actors hiding
In the doorways top floor
Machines scream in anger
From a thousand dead ends
I turn my face, I crawl away,
I look for a friend


",That's Too Bad [Single Version]
Gary Numan,"I'm not so sure 
I still want more of this 
My mind's not quite 
Behaving, I don't know 
I'm not feeling like I'm told I should (???) 

 
  
 

This is my life 
Welcome to me tonight 
I don't feel too 
Glad to be here for sure 
I'm not feeling anymore at all 

This is my head 
This is my face 
It's all my fault 
This is my place 
I don't really think I wanna stay
",This Is My Life
Gary Numan,"Sometimes I feel
I live like a prisoner
But I don't know
If this really is pressure
Surprise you win
I'm lost as screamers roll in
Sometimes I feel
Like leaving this room I'm in

Faded film people dropping words
About the real things to say
? (Not ""Someone pulls me deeper"", as in CD booklet)
And tells me who I will be if I stay
A clever machine writes pretty words
For pretty boys
To sing to us all
We're all so grateful

My face you cry
And I show my darker side
The night is yours
And I just switch off and hide
Cafe and sin
The wine's not to my liking
My face you cry
Oh my didn't I say come in?

Frown (?) in my eyes showing nothing
But surprise about you
And what are you thinking
About my life and her drinking to you too
A dying non-human writes unkind words
For unkind friends
And as for the tears, they'll never show
Asylum people calling on my door
From day to day
The image must fall
I've had my time 
more Gary Numan Lyrics 
",Thoughts No. 2
Gary Numan,"Listen good
Don't cry for me
Don't cry anymore

Now just shut your mouth
This point of view
Appeals to me

Listen babe
Say you've got no-one tonight

Same old smile
That cracked a thousand hearts
But not mine

Same old line
I've read the book
And I know you well

Listen babe
Say you've got no-one tonight

What's this feeling
That I don't believe
No concern on my face

What's it for
You dream of something
Like I dreamed of you

Listen babe
Say you've got no-one tonight",The 1930's Rust
Gary Numan,"You and me are old
You and me are young
You and me have always
Let words go unsung


Nothing left to see
Nothing left to do
Nothing left to talk about


How I intrude
This impossible room
I still believe
That great American smile


Nothing's ever right
Nothing's ever wrong
But nothing's ever quite like
The stories and songs (nothing's ever)


Heroes always bleed
But heroes never cry
Heroes always get the best girl
And then die (nothing's ever)


How I intrude
This impossible dream
I still believe
That great American smile


",A Dream of Siam
Gary Numan,"We are assassins
We are not evil
We act with reason and heart
Your heart

We are not vicious
Is that surprising? 
We're so much larger than life

I, assassin, I am
I, assassin, I am

I just arrived
Something to fix
This new depression

We are not hunters
We are just patient
We'll wait a lifetime for you
Just you

I've never felt good
I've never felt bad
I've never felt much at all

I, assassin, I am
I, assassin, I am

There's nothing personal
Just read the papers
That's real","I, Assassin"
Gary Numan,"You can cry by my window
You can crawl on the floor
You can scream if you want to
But I won't unlock the door

You can sleep in bus shelters
You can sleep in the park
But I'll rip up the trees
Until you tear yourself apart

But I don't love you
No I don't love you
Do you dream? 

Back to surveillance
Open eyes and wash out 'tear'
A sign that says 'no exit'
And 'no-one can save you here'

I could talk about my programme
Where everything is white
I could specialize in pictures
Where nothing's ever right

But I don't love you
No I don't love you
Do you dream? 

We are just sound
We are just noise
And we are all here to lie
Do you dream? 

You sleep by windows
You sleep by windows

Do you cry? 
Do you dream? 
Do you? 
Did you?",Sleep By Windows
Gary Numan,"Where is my outline I start to fade
No concentration means 'fail' these days

I leave the table saying 'i am real'
I feel the pressure like your eyes on me
Don't mention that name and books on love
I can't be sure, I can't be sure

You end on reel one
You end on reel one

You quote from 'anxious' and things we do
I need protection from the likes of you

Do you begin to see that I don't know
I live on memories that are hard to find
Send me a card and write 'i think of you'
I'll say you lied, I'll say you're lying

You are, you are

Tell me a secret I'm sure to fall
My dog runs a.w.o.l. I blame you all

We're in formation saying 'safe, safe, safe'
Turn up my collar and mix with dark
The speaker turns on me spot her eyes
It's hard to breathe, it's hard to breathe

You end on reel one
You end on reel one

You are, you are",Telekon
Gary Numan,"I read a book
About conversation and you
I listen to
Stories that intrude on my heart again

This is my house
Welcome is here
This is my house
Welcome to me

My picture of your face
Will disappear with time
Patience in eyes
That say occupied
Quite peculiar

This is my house
Welcome is here
This is my house
Welcome to me",This Is My House
Gary Numan,"Here we are
We drift like gas
On someone else's bed
I pay high you know


Here we are
How old are you
It's just a job to me


Here the ladies always ring twice
Thought you'd slip away tonight with me
In a subway I called 'you'


Hello you no more this talk of
'My boys will be yours'


No more 'I'
This conversation drains
My patience dry.


Here the business always rings twice
No relaxing for the boys tonight
In a subway I called 'you'


Here the tension always slows twice
Shed one tear it's just routine for now
In a subway I called 'you'


",A Subway Called 'You'
Gary Numan,"I've read the papers
Look at this
They say that I'm all over
I don't know
They're not the first ones to try
So try
Again

What's the fashion?
Is it good?
I'll need some convincing
If you've got it
Then I've seen it before
So try
Again

Welcome to new anger
Do you want it?
Do you want it?

I don't need it
I can stop
I can take this or leave it
You can have it
But if you want it from me
Then come
And try

I've been bad
I've been good
I've been one more hero
I've been up
And I've been lower than you
So come
And try

If you want it
Come and get it

",New Anger
Gary Numan,"I need it
The sex skin habit
You could just crawl out
And forget I'm here

I need it
Love and something
I'd just as soon forget
So keep it out the papers

I need it
The sex musicians
I'll show you something
While the boys beat time

I need it
And she's still waiting
We like to wake up
In a strange bed romance

One more time for me
You are the young things fed on garbage and lies
Please one more time for me
You are the young things fed on garbage and lies
I'm talking far too much about my shame

I need it
Creatures calling
I'll tear my heart out
But I need some more

I need it
I'm under pressure
I don't remember
If her story's true",Creatures
Gary Numan,"This disease
I'm out of my class
This disease
I'm needle sick again
This disease
We must expect such things
This disease
She finds me the girls


Tick tock tick
All gone all gone all gone
Tick tock tick
Whispering goodbye
Tick tock tick
Who is talking?
Tick tock tick
I don't have the choice


Look at me
A puppet dancing on strings
Look at me
And this is easy?
Look at me
I got the screams
Look at me
Words failing


This disease
This disease



",This Disease
Gary Numan,"Gary Numan - Cold Metal Rhythm lyrics

Metal rhythm
Cold and sane
Know my reason
Know my name

This isn't music
This is survival
Used up and burnt out
Like an old ford car

No more opinions
I'm back in harness
Cold metal rhythm
Takes me back to god

Metal rhythm
Cold and sane
Know my reason
Know my name

Radio station
Thank you for nothing
I like this anger
And I won't forget

This isn't love
Its more like a need
I'm a cold metal junkie
And I need the cure 

Metal rhythm
Cold and sane
Know my reason
Know my name


Metal rhythm
Cold and sane
Know my reason
Know my name
",Cold Metal Rhythm
Gary Numan,"I remember one girl
Saw her again in a magazine
Front cover, big star
Showing things that I'd never seen
Well maybe

Can you feel it? Can you?

I remember one girl
Who'd believe she'd be so devious
Bad decision, bad move
She told the papers everything
Well maybe

Do you need it, do you?
Do you want it, do you?
Come and get it

I remember one girl
She'd only make friends in expensive cars
Television, good wine
Leather seats and a friend of mine
Well maybe

Something's coming
Oh no
",Devious
Gary Numan,"Don't look for me
Don't call my name
Don't wait for time
Don't wait for love

Time now to leave
Time now to cry
Don't wait for love
No long goodbyes
",Don't Call My Name
Gary Numan,"This is
This is emotion calling
Inside
You don't love me
One game
A miracle of invention
You lose
These rules are mine

Dirty pictures
For real
The movies
Move in
Move out
I'm in slow motion

One love
One tear
One night
Of fear
One game
You lose
This is
Emotion

Look left
There's nothing over there but vengeance
Look right
There's nothing over there but greed
Look up
There's nothing up there but rumours
Look down
There's nothing down there but me

Dirty pictures
For real
The movies
Move in
Move out
I'm in slow motion

One love
One tear
One night
Of fear
One game
You lose
This is
Emotion

I'm listening to stories
Of love and affection
That I don't believe
I'm listening to liars
With pretty young faces
And eyes that deceive

One love
I don't want to talk about it
One love

More pain
I don't want to think about it
More pain

Dirty pictures
For real
The movies
Move in
Move out
I'm in slow motion

One love
One tear
One night
Of fear
One game
You lose
This is
Emotion

Dirty pictures
For real
The movies
Move in
Move out
I'm in slow motion

One love
One tear
One night
Of fear
One game
You lose
This is
Emotion


I'm listening to stories
Of love and affection
That I don't believe
I'm listening to liars
With pretty young faces
And eyes that deceive

One more
Another night to remember
One more
Another name to forget
One more
Another young heart to play with
One more
Another young heart to break



Artist Gary Numan
Album Metal Rhythmn (LP)
Song This Is Emotion
",This Is Emotion
Gary Numan,"Something here
Something is cold and you know
To speak now is to lie
Sad mistake
Maybe it's mine but I know
You wake up with strangers
Is this love
If I said goodbye there would be
No-one to listen
I could ask
""How do you feel?"" but I know
You breathe in emotion

So goodbye
I can't play anymore
So goodbye
I'm off the friendship line
So goodbye
I'm breathing emotion like some hero
Breathe in emotion

I could cry
""Nothing is wrong"" but you know
I don't believe it
I could write
Words on a page but I know
Love doesn't live here
Look at me
Look at my eyes and you'll know
Everything's over
This is me
This is my heart and you know
I breathe in emotion

So goodbye
I can't play anymore
So goodbye
I'm off the friendship line
So goodbye
I'm breathing emotion like some hero
Breathe in emotion

So goodbye
I can't play anymore
So goodbye
I'm off the friendship line
So goodbye
I'm breathing emotion like some hero

So goodbye
I can't play anymore
So goodbye
I'm off the friendship line
So goodbye
I'm breathing emotion like some hero

So goodbye
I can't play anymore
So goodbye
I'm off the friendship line
So goodbye
I'm breathing emotion like some hero
",Breathe in Emotion
Gary Numan,"Why don't you ever listen?
It's you I'm talking to
This time it's your decision
We're into something new
I know that I'm sinking
Oh any fool can see
Time that I was thinking
Of no-one else but me

Change your mind
Nothing ever stays the same
Change your mind
No-one ever plays the game game game
Change your mind
Give up what you can't defend
Change your mind
Think it up and start again 'gain 'gain

Why can't you reconsider
Listen if you care
Take familiar giver
Reject me if you dare
Give me what I'm asking
And save it all for me
Love that's everlasting
That's how it's meant to be

Change your mind
Nothing ever stays the same
Change your mind
No-one ever plays the game game game
Change your mind
Give up what you can't defend
Change your mind
Think it up and start again 'gain 'gain

Change your mind
Nothing ever stays the same
Change your mind
No-one ever plays the game game game
Change your mind
Give up what you can't defend
Change your mind
Think it up and start again 'gain 'gain",Change Your Mind
Gary Numan,"This is metal rhythm
A new song on the Radio
Some new face
A picture on your wall
Talk to me
You say it's nothing personal
But somethings wrong
It's eating me alive
I can't fine the reason
So I can't find the cure

They say nothings's wrong forever
But that somethings wrong with me
Oh I've been down so far
I've never hurt like this

I'm On Automatic
I've heard it all before
Some new flavour
With nothing in the hear
This isn't music
This is survival
But I'm still here
Now isn't that strange
I can't find the reason
So I can't find the cure

They say nothing's wrong forever
But that somethings wrong with me
Oh I've been down so far
I've never hurt like this

They say nothing's wrong forever
But that somethings wrong with me
Oh I've been down so far
Nothing's ever hurt like this
",I'm on Automatic
Gary Numan,"Looking through windows like a T.V. screen
Nothing is ever black and white
A sex film distraction for an armchair stud
He's in love for the night

Looking through windows of expensive cars
This weeks flavour inside
She's working for the company
She's In love for the night

Nightlife
I've seen it all
Nightlife
Like pictures of war
Nightlife
Strangers in bed
Nightlife
Try to forget

Looking through windows like and old peep show
I'm listening to breathing and lies
Don't tell mother or the man next door
Girls in love for the night

Looking through windows at a friend of mine
She's like a knife in my heart
But you can get used to any thing
I'm in love for the night
",Nightlife
