Band,Lyrics,Song
Louis Hayes,"If you could see me now, you'd know how blue I've been
One look is all you'd need to see the mood I'm in.
Perhaps then you'd realize I'm still in love with you.
If you could see me now, you'd find me being brave
And trying awfully hard to make my tears behave
But that's quite impossible, I'm still in love with you.
 
You'll happen my way on some mem'rable day
And the month will be May for a while.
I'll try to smile but can I play the part
Without my heart behind the smile?
 
The way I feel for you I never could disguise
The look of love is written plainly in my eyes.
I think you'd be mine again if you could see me now.",If You Could See Me Now
Louis Hayes,"I hear music when I look at you,
A beautiful theme of every
Dream I ever knew.
Down deep in my heart I hear it play.
I feel it start, then melt away.

I hear music when I touch your hand,
A beautiful melody
From some enchanted land.
Down deep in my heart, I hear it say,
Is this the day?

I alone have heard this lovely strain,
I alone have heard this glad refrain,
Must it be forever inside of me,
Why can't I let it go,
Why can't I let you know,
Why can't I let you know the song
My heart would sing?

That beautiful rhapsody
Of love and youth and spring,
The music is sweet,
The words are true 
The song is you.",The Song is You
Louis Hayes,"The falling leaves drift by the window
The autumn leaves of red and gold
I see your lips, the summer kisses
The sun-burned hands I used to hold

Since you went away the days grow long
And soon I'll hear old winter's song
But I miss you most of all my darling
When autumn leaves start to fall

C'est une chanson, qui nous ressemble
Toi tu m'aimais et je t'aimais
Nous vivions tous deux ensemble
Toi qui m'aimais moi qui t'aimais
Mais la vie separe ceux qui s'aiment
Tout doucement sans faire de bruit
Et la mer efface sur le sable les pas des amants desunis",Autumn Leaves
Louis Hayes,"I used to visit all the very gay places
Those come-what-may places
Where one relaxes on the axis of the wheel of life
To get the feel of life from jazz and cocktails

The girls I knew had sad and sullen gray faces
With distinguish traces that used to be there
You could see where they'd been washed away
By too many through the day, twelve O'clock tales

Then you came along with your siren song
To tempt me to madness
I thought for awhile that your poignant smile
Was tinged with the sadness of a great love for me
Ah, yes, I was wrong, again, I was wrong

Life is lonely again and only last year
Everything seemed so sure
Now life is awful again a trough full of hearts
Could only be a bore

A week in Paris could ease the bite of it
All I care is to smile in spite of it
I'll forget you, I will while yet you are still
Burning inside my brain

Romance is mush stifling those who strive
I'll live a lush life in some small dive
And there I'll be while I rot with the rest
Of those whose lives are lonely too

Romance is mush stifling those who strive
I'll live a lush life in some small dive
And there I'll be while I rot with the rest
Of those whose lives are lonely too

",Lush Life
Louis Jordan,"Left Chicago in the summer, New York in the fall
Detroit in the winter didn't prove a thing at all
I got those roamin' blues, yes, I got those roamin' blues
Can't find no place to settle, woo, I got those roamin' blues

Joined a club in old Saint Louis, that G.I. free loot club
Stood in line so long man, wore my legs down to a nub
I hit the road again, yes, I hit the road again
Can't find no place to settle, so I hit the road again

I thought I'd made it, Jack in good old Albuquerque
I was on the wrong track, you know they tried to make me work
Ain't that a killer? I hit the road right quick
Yes, that judge was much too slick
Can't find no place to settle, woo, I hit the road right quick

Then Las Vegas was the next stop, that fast town left me weak
The dice man made twelve passes and I was up the well-known creek
Those gamblers put me down, yes, I had to walk right out of town
Um, um, that ain't no place to settle, um, I had to walk right out of town

Ah, but I hit the greatest town of all, Frantic Frisco
Got me a gal with plenty gold, and she just won't let me go
I think I've found a place, yes, I got my boots all laced
Found me a home, don't have to roam
It's good news, I've lost those roamin' blues

",But I'll Be Back
Louis Jordan,"Doug the jitterbug, 
Just a silly lug, 
Young and wild with lots of style, 
That's Doug the jitterbug! 

Just a crazy mug, 
Drinks liquor by the jug, 
He's alive with lots of jive, 
Doug the jitterbug! 

They threw him out of school 
'Cause all he learned was Tiger Rag, 
He never knew the golden rule, 
But boy, how he can shag! 

Doug the jitterbug, 
Cuts a wicked rug, 
It ain't no shame, he's not to blame, 
He's Doug the jitterbug! 

He studied to be a lawyer, 
But he never got a case, 
Every time they'd look for that cat in court 
He'd be doing the pantywaist! 

Let's talk about Doug the jitterbug, 
Cuts a wicked rug, 
It ain't no shame, he's not to blame, 
He's Doug the jitterbug!",Doug the Jitterbug
Louis Jordan,"Every honey bee fills with jealousy
When they see you out with me
Goodness knows
You're my honeysuckle rose

When you're passin' by flowers droop and sigh
And I know the reason why
Goodness knows
You're my honeysuckle rose

Don't buy sugar
You just have to touch my cup
You're my sugar
It's sweeter when you stir it up

When I'm taking sips from your tasty lips
Seems the honey fairly drips
Goodness knows
You're my honeysuckle rose

Goodness knows
You're my honeysuckle rose

Don't buy sugar
You just have to touch my cup
You're my sugar
It's sweeter when you stir it up

When I'm taking sips from your tasty lips
Seems the honey fairly drips
Goodness knows
You're my honeysuckle rose",Honeysuckle Rose
Louis Jordan,"Out at the club tonight.  
Ole Richard went home early - he's got the key to the house.  
I'm gonna knock on the door, see if I can get in.

Open the door, Richard!!  
Ya see, Richard sleeps in the back room.  
It's kinda hard to hear.  
Maybe I better knock a little louder.

Open the door, Richard!!  
I don't think Richard heard me yet.  
Knock one more time-let's see what's gonna happen.

Richard, open the door, please.

Open the door, Richard
Open the door and let me in
Open the door, Richard
Richard, why don't you open that door?

Richard, open the door,
Man it's cold out here in this air.  
Now look, there's that old woman  'cross the street lookin' out the window

(Who's that, Widow Sweet?)

That must be her sister, I guess. 
She wants to make sure this is me.  
She's tryin' to find out what's happenin'. 
Yes, it's me and I'm late again!

(Did you hear what the lady's sayin'?)
No, what is she sayin'?
(She said you sure look common out here in the street.)
Common?  Man, I got class I ain't never used yet.  
I'm gonna knock again - Richard's got to get up.
Open the door, Richard!!  
Man, you got a key to the house?
(No, I don't have a key.  I don't have a key.)
Somebody's got to get in the house.  
We can't climb in the transom.
(Oh, I know he's in there.)
How you know he's in there?
(I can hear him breathin'.)
Ooooh, let's try it one more time!
Richard, open that door, man.  
Maybe Richard's gone.  

Open the door, Richard
Open the door and let me in
Open the door, Richard
Richard, why don't you open that door? 

I know he's in there. 

(How you know he's in there?)

Why, you got on the suit.

I know I got on the only suit.  
Ain't got but one suit between us.  
That's the reason why I don't like to room with nobody.

Richard, why don'tcha open the door, man?","Open the Door, Richard"
Louis Jordan,"Say!
Everyone's talking 'bout chicken;
Chicken's a popular bird;
Anywhere you go, you're bound to find,
A chicken ain't nothin' but a bird.

Some folks call it a fowl,
That's the story I heard,
But let 'em call it this and let 'em call it that,
A chicken ain't nothin' but a bird.

You can boil it, roast it, broil it,
Cook it in a pan or a pot,
Eat it with potatoes, rice or tomatoes,
But chicken's still what you got, boy!

It was a dish for old Caesar,
Also King Henry the Third,
But Columbus was smart, said ""You can't fool me,
A chicken ain't nothin' but a bird.""

You can boil it, roast it, broil it,
Cook it in a pan or a pot,
Eat it with potatoes, rice or tomatoes,
A chicken's still what you got, boy!

It was a dish for old Caesar,
Also King Henry the Third,
But Columbus was smart, said ""You can't fool me,
A chicken ain't nothin' but a bird.""",A Chicken Ain't Nothin' But a Bird
Louis Jordan,"Let the cats all criticize,
Joke about my baby's size,
She's reet with me because you see,
I likes 'em fat like that.

When she bounces down the street,
She's a whole heap of honey and ain't she sweet,
Feels so fine to know that she is mine,
I likes 'em fat like that.

You can have all those lean chicks tender and tall,
But when it comes to mean kicks,
A big fat momma's the best of all,
After I get through working well I reach and grab my hat,
And I hurry home,
Don't want her to be alone, cause 
I likes 'em fat like that.",I Like 'Em Fat Like That
