Band,Lyrics,Song
Julio Iglesias,"The summer wind came blowin' in from across the sea
It lingered there, to touch your hair and walk with me
All summer long we sang a song and then we strolled that golden sand
Two sweethearts and the summer wind

Like painted kites, those days and nights they went flyin' by
The world was new beneath a blue umbrella sky
Then softer than a piper man, one day it called to you
I lost you, I lost you to the summer wind

The autumn wind, and the winter winds they have come and gone
And still the days, those lonely days, they go on and on
And guess who sighs his lullabies through nights that never end
My fickle friend, the summer wind
The summer wind
Warm summer wind
The summer wind",Summer Wind
Julio Iglesias,"Tiritas pa' este coraz?n part?o
Tiri-ti-tando de fr?o
Tiritas pa' este coraz?n part?o
Pa' este coraz?n

Ya lo ves que no hay dos sin tres
Que la vida va why viene why que no se detiene
?why qu? s? yo?
Pero mi?nteme aunque sea, dime que algo queda
Entre nosostros dos
Que en tu habitaci?n nunca sale el sol
Ni existe el tiempo ni el dolor

Ll?vame si quieres a perder
A ning?n destino sin ning?n por qu?

Ya lo s? que coraz?n que no ve es coraz?n que no siente
Coraz?n que te miente, amor
Pero, sabes que en lo m?s profundo de mi alma sigue aquel dolor
Por creer en ti
?Qu? fue de la ilusi?n why de lo bello que es vivir?

?Para qu? me curaste cuando estaba her?o
Si hoy me dejas de nuevo el coraz?n part?o?

?Qui?n me va a entregar sus emociones?
?Qui?n me va a pedir que nunca le abandone?
?Qui?n me tapar? esta noche si hare fr?o?
?Qui?n me va a curar el coraz?n part?o?
?Qui?n llenar? de primaveras este enero
Why bajar? la luna para que juguemos?
Dime si t? te vas, dime, cari?o m?o
?Qui?n me va a curar el coraz?n part?o?

Tiritas pa' este coraz?n part?o
Tiri-ti-tando de fr?o
Tiritas pa' este coraz?n part?o
Pa' este coraz?n

Dar solamente aquello que te sobra
Nunca fue compartir, sino dar limosna, amor
Si no lo sabes t?, te lo digo yo
Despu?s de la tormenta siempre llega la calma
Pero s? que despu?s de ti, despu?s de ti no hay nada

?Para qu? me curaste cuando estaba her?o
Si hoy me dejas de nuevo el coraz?n part?o?

?Qui?n me va a entregar sus emociones?
?Qui?n me va a pedir que nunca le abandone?
?Qui?n me tapar? esta noche si hare fr?o?
?Qui?n me va a curar el coraz?n part?o?
?Qui?n llenar? de primaveras este enero
Why bajar? la luna para que juguemos?
Dime si t? te vas, dime, cari?o m?o
?Qui?n me va a curar el coraz?n part?o?

?Qui?n me va a entregar sus emociones?
?Qui?n me va a pedir que nunca le abandone?
?Qui?n me tapar? esta noche si hare fr?o?
?Qui?n me va a curar el coraz?n part?o?
?Qui?n llenar? de primaveras este enero
Why bajar? la luna para que juguemos?
Dime si t? te vas, dime, cari?o m?o
?Qui?n me va a curar el coraz?n part?o?

?Qui?n me va a entregar sus emociones?
?Qui?n me va a pedir que nunca le abandone?
?Qui?n me tapar? esta noche si hare fr?o?
?Qui?n me va a curar el coraz?n part?o?
?Qui?n llenar? de primaveras este enero
Why bajar? la luna para que juguemos?
Dime si t? te vas, dime, cari?o m?o
?Qui?n me va a curar el coraz?n part?o?

?Qui?n me va a entregar sus emociones?
?Qui?n me va a pedir que nunca le abandone?
?Qui?n me tapar? esta noche si hare fr?o?
?Qui?n me va a curar el coraz?n part?o?
?Qui?n llenar? de primaveras este enero
Why bajar? la luna para que juguemos?
Dime si t? te vas, dime, cari?o m?o
?Qui?n me va a curar el coraz?n part?o?

?Qui?n me va a entregar sus emociones?
?Qui?n me va a pedir que nunca le abandone?
?Qui?n me tapar? esta noche si hare fr?o?
?Qui?n me va a curar el coraz?n part?o?
?Qui?n llenar? de primaveras este enero
Why bajar? la luna para que juguemos?
Dime si t? te vas, dime, cari?o m?o
?Qui?n me va a curar el coraz?n part?o?

?Qui?n me va a entregar sus emociones?
?Qui?n me va a pedir que nunca le abandone?
?Qui?n me tapar? esta noche si hare fr?o?
?Qui?n me va a curar el coraz?n part?o?
?Qui?n llenar? de primaveras este enero
Why bajar? la luna para que juguemos?
Dime si t? te vas, dime, cari?o m?o
?Qui?n me va a curar el coraz?n part?o?
",Corazón Partío
Julio Iglesias,"Aunque lo intente mil veces
No puedo ahogar lo que a tu alma pertenece
Y así olvidar

Día a día me despierto creyendo oír tu voz
Día a día, todavía, me duele nuestro adiós
Quien no se ha equivocado, no trató
Quien nunca ha perdonado, nunca amó
Y quien jamás pecó, jamás vivió

Día a día la nostalgia me impulsa a continuar
Día a día la distancia me aconseja olvidar
Tú y yo con un pedazo de razón
Y compartiendo el mismo corazón
Que hemos partido en dos

Día a día
Sueño con tu amor
Día a día
Necesito tu calor

Aunque lo intente mil veces
No puedo ahogar
Lo que a tu alma pertenece
Me va a matar
Te importa que yo quiera así
Si en el fondo no me quieres más

Día a día
Sueño con tu amor
Día a día
Necesito tu calor

Ya no se puede aguantar
Y que no te acuerdes de mí
Tú quieres estar con otro
Que yo me muera por ti

Aunque lo intente mil veces
No puedo ahogar
Lo que a tu alma pertenece
Y así olvidar

",Día a Día
Julio Iglesias,"En medio de una riña
Ya casi al terminar
Uno habla y el que escucha
No para de llorar

Y en su mirada triste
De desamor y pena
Descubre de repente
Que el otro lo destierra

El que ha perdido todo
Ya fuera de lugar
Arruga en su maleta
La ropa sin planchar

Su corazón herido
Empieza a latir fuerte
Mientras que el otro ajeno
Ni late por su suerte

Y lejos uno de otro
En busca de otras gentes
Dos corazones rotos
En mundos diferentes

Descubren otra vida
Descubren otras cosas
Y empiezan otra vez
Dos corazones, dos historias

Quien quiso ser más libre
El que jugó a su modo
Aquel que no sentía
Lo que sentía el otro

Vagando por las calles
Entre aturdido y solo
Comienza a darse cuenta
Que lo ha perdido todo

Y aquellas cosas simples
Que nunca dio importancia
Le comen la cabeza
Le empiezan a hacer falta

Y ahora en su derrota
Porque perdió la apuesta
Descubre que la vida
Le está pasando cuenta

Y lejos uno de otro
En busca de otras gentes
Dos corazones rotos
En mundos diferentes

Descubren otra vida
Descubren otras cosas
Y empiezan otra vez
Dos corazones, dos historias

","Dos Corazones, Dos Historias (Dos Corações E uma Historia)"
Julio Iglesias,"Si tu mama tuvo la culpa, tu papá la tuvo más
Si tu mamá tuvo la culpa, tu papá la tuvo más
Ay, ay, ay a la orilla de la empalizá
Ay, ay, ay a la orilla de la empalizá

Me contaron que te vieron con la falda remangá
A la vera de un camino, a la sombra de un trigal
Ay, ay, ay a la orilla de la empalizá
Ay, ay, ay a la orilla de la empalizá

Con la luna por testigo te besaba aquel chaval
Si es pecado lo que hiciste, yo te juro que es venial
Ay, ay, ay a la orilla de la empalizá
Ay, ay, ay a la orilla de la empalizá

Agua pá mi, agua pá ti

Si tu mama tuvo la culpa, tu papá la tuvo más
Si tu mamá tuvo la culpa, tu papá la tuvo más
Ay, ay, ay a la orilla de la empalizá
Ay, ay, ay a la orilla de la empalizá

Al final se hare la historia con la chica why el chaval
Al final lo hacemos todos los papás why las mamás
Ay, ay, ay a la orilla de la empalizá
Ay, ay, ay a la orilla de la empalizá

Cómo lo ves, cómo lo ves
Todos nosotros lo hicimos también
Cómo lo ves, cómo lo ves
Todos los negros tomamos café
Ay, ay, la empalizá
Ay, ay, ay a la orilla de la empalizá

Si tu mamá tuvo la culpa, tu papá la tuvo más
Ay, Si tu mamá tuvo la culpa, tu papá la tuvo más
La tuvo más, la tuvo más tu papá la tuvo más
Ay, ay, ay a la orilla de la empalizá
Ay, ay, ay a la orilla de la empalizá

No le cuentes nada, ríete de ellos
Que no eres culpable, que todos lo hicieron
Tu mama why tu papa qué inocentes fueron
Si todos nacimos de aquel mismo juego
Ay, ay, ay, ay, ay, ay

Tu papa why tu mama también se prendieron
Ay, ay, ay a la orilla de la empalizá
Ay, ay, ay a la orilla de la empalizá

Tu papa why tu mama con el mismo juego
Tu papa why tu mama why ese mismo juego
También ellos fueron de carne why de hueso
Ay, ay, ay
",La Empalizada
Julio Iglesias,"Deja que te cuente un poco
Yo sé que te va a gustar
He nacido tantas veces
No me quiero morir más

Me he salvado en tantas guerras
Me he cansado de llorar
Why ahora que ya estoy de vuelta
Quiero vivir más

Unos nacen con todo
Why otros casi sin na'
Pero todos llevamos un ticket que dice
Principio why final, caballero

Caballero, hay que gozar la vida
Que de pronto el tiempo se te va
Disfruta lo que tienes
Que cuando te vayas, no te llevas na'
Caballero

Caballero, hay que gozar la vida
Que de pronto el tiempo se te va
Disfruta lo que tienes
Que cuando te vayas, no te llevas na'

Hay amigos pa' siempre, why otros vienen why van
Pero todos vivimos en una ruleta
Que no para más, caballero

Camina pa'lante, no le tengas miedo
Que los que critican se critican ellos
Why busca tu suerte
Que nada está escrito, no mires atrás

Caballero, gózate la vida
Caballero no lo pienses más
Why vive lo que puedas
Caballero goza, vive hasta el final
",Gozar la Vida
Julio Iglesias,"Un ticket de ida why vuelta, fui tan sólo para ti
Juguete de carton
Un pobre pasajero que dejaste por ahí
Tirado en la estación

Devuélveme un trocito de mi vida
Devuélveme un poquito nada más
Un poco más
Devuélveme aunque sea de mentira
Que no curen mis heridas
Why me muera cada día mal

Mal acostumbrado me dejó tu amor
Mal acostumbrado tu amor me dejó
Alma en pena que mi cuerpo la condena
De no poder ya vivir sin ti

Mal acostumbrado me dejó tu amor
Mal acostumbrado tu amor me dejó
Why hoy me ciegas, me persigues why me encierras
Why es que ya no sé vivir sin ti
Vivir sin ti

Mi amiga la tristeza
La que sabe más de mí
No para de decir, sólo a mí
Que ría why que me olvide
Why no piense más en ti
Why vuelva a ser feliz
",Mal Acostumbrado (Mal Acostumado)
Julio Iglesias,"Ay, desnudo tu cuerpo en mi mente
Y bebo de ti la ansiedad
De una pasión que con todo puede
Que vence a la voluntad
Que no es amor ni es amar

Yo no sé quien eres tú
Yo no sé quien eres tú
Entre lo rojo y lo azul
Yo no sé quien eres tú

Tu alma viste un desierto de color
Entre lo rojo y lo azul
Yo no sé quien eres tú
Yo no sé quien eres tú

Ay, que nada se quede sin ver
Ya no se puede esperar
No existirán ni miedos ni olvidos
Para sentir aún más
Que no es amor ni es amar

Yo no sé quien eres tú

Tu alma viste un desierto de color

",No Es Amor Ni Es Amar (Gone Too Far)
Julio Iglesias,"Nadie escoge a su familia
O a su raza cuando nace
Ni el ser rico, pobre, bueno, malo
Valiente o cobarde
Nacemos de una decisión
Donde no fuimos consultados
Why nadie puede prometernos resultados

Cuando nacemos no sabemos
Ni siquiera nuestro nombre
Ni cual será nuestro sendero
Ni lo que el futuro esconde
Entre el bautizo why el entierro
Cada cual hare un camino
Why con sus decisiones, un destino

Somos una baraja más
De un juego que otro ha comenzado
Why cada cual apostará
Según la mano que ha heredado

La vida es una puerta
Donde no te cobran por la entrada
Why el alma es el tiquete que al vivir
Te rasgan cuando pagas
Why cada paso crea una huella
Why cada huella es una historia
Why cada ayer es una estrella
En el cielo de la memoria

why la marea del tiempo
Lleva why trae nuestras contradicciones
Why entre el regreso why la despedida
Cicatrizan los errores
Why cada amigo es la familia
Que escogemos entre extraños
Why entre la espera why el encuentro
Uno aprende con los años

Que solamente a la conciencia
Nuestro espíritu responde
Why que una cosa es ser varón
Why otra es ser hombre

Nadie escoge a su familia
O a su raza cuando nace
Ni el ser bueno, malo, lindo, feo
Inocente o culpable
Del nacimiento hasta la muerte
Toda vida es una cuesta
De nuestra voluntad depende la respuesta.

Sueño con un mundo diferente
Donde nuestro amor nunca se acabe

Donde nunca desechemos la razón de los demás
Donde jamás olvidemos dar la mano
Al que se queda atrás

Sueño con un mundo diferente
Donde nuestro amor nunca se acabe

why quien sepa más de todo
Que lo enseñe a los demás
Para que todos sepamos
De la vida siempre un poquito más

Sueño con un mundo diferente
Donde nuestro amor nunca se acabe

why dejar a nuestra tierra
Mejor que cuando a ella entramos
Con la esperanza de un niño
Why ese calor del verano

Sueño con un mundo diferente
Donde nuestro amor nunca se acabe
",Vida
Julio Iglesias,"Cai a chuva e é noite, na longa estrada
Que longo é meu caminho, só eu e mais nada

Quilômetros passando, pensando nela
Que noite, que silêncio, soubesse ela
Que estou correndo, pensando nela

Os carros no caminho, sempre passando
Os ruídos dos caminhãµes, acelerando
Não há gente nessa rua, está chovendo
A noite é mais escura, estou sofrendo
Estou correndo, pensando nela

Sigo por essa estrada sem ter você
Sem saber se um dia te encontrarei
Acelerei

Os bares nessa hora, estão fechando
Os motéis dos amantes sempre esperando
Um trem cruza o caminho, é muito lento'
Enquanto vão depressa meus pensamentos
Pensando nela, pensando nela

Sigo por essa estrada sem ter você
Sem saber se um dia te encontrarei
Acelerei

Pensando, imaginando, a dor aumenta
Derrapo em uma curva
O freio esquenta
A agulha marca cento e sessenta

Sigo por essa estrada sem ter você
Sem saber se um dia te encontrarei
Acelerei

Cai a chuva e a noite parece eterna
Ciúmes me deixam louco pensando nela
Perdido na incerteza e na neblina
Não vejo que estou quase sem gasolina

Cai a chuva e é noite, na longa estrada
Não sinto nem o silêncio, da madrugada
Cai a chuva e é noite, na longa estrada
Não sei se ela espera, não sei mais nada

Cai a chuva e é noite, na longa estrada
Que noite, só eu mais nada

",A Estrada (La Carretera)
