Band,Lyrics,Song
Mary Chapin Carpenter,"I have a heart that's proud, you bet
I have a mind that won't forget
And I have arms that are strong and yet
Tender when they want to to be

Well, you can be the will that finds the way
And you can be the one who saves the day
But show me tender when it's time to say
Exactly how it ought to be

And I never would've known it, darlin'
If I hadn't known about you
You said everyone can be a rock-'n'-roll like a river too

Well, something happens when you find someone
Who makes you feel like you can do no wrong
No, you don't have to take the whole world on
Just be tender when you want be

And I never would have known it, baby
If I hadn't known about you
You said everyone can be a rock-'n'-roll like a river too

So let the waters carry us away
Wave goodbye to the old parade
Baby, when we're unafraid
To be tender when we want to be

All the waters wash our cares away
All that we can see are better days
Don't ever let me hesitate
To be tender when I want to be",Tender When I Want to Be
Mary Chapin Carpenter,"If you ever need to hear a voice
In the middle of the night 
When it seems so black outside
That you can't remember light 
Ever shone on you or the ones you love
In this or another lifetime

And the voice you need to hear
Is the true and the trusted kind
With a soft, familiar rhythm
In these swirling, unsure times
When the waves are lapping in
And you're not sure you can swim 
Well, here's the lifeline

If you ever need to feel a hand
Take up your own 
When you least expect
But want it more than you've ever known 
Baby, here's that hand
And, baby, here's my voice that's calling
This is love, all it ever was and will be 
This is love 

And if you ever need some proof
That time can heal your wounds 
Just step inside my heart
And walk around these rooms 
Where the shadows used to be
You can feel as well as see
How peace con hover 
Now time's been here to fix
What's broken with its power 
The love that smashed us both to bits
Spent its last few hours 
Calling out your name
I thought this is the kind of pain 
From which we don't recover 

But I'm standing here now
With my heart held out to you 
You would've thought a miracle
Was all that got us through 
Well, baby, all I know
All I know is I'm still standing 
And this is love, all it ever was and will be 
This is love 

And I see you still
And there's this catch in my throat
And I just swallow hard till it leaves me 
There's nothing in this world 
That can change what we know 
Still I know I am here if you ever need me 
And this is love 

And if you ever think of me
Let it be around twilight 
When the world has settled down
And the last round of sunlight 
Is waning in the sky
As you sit and watch the night descending 
A car will pass out front
With lovers at the wheel 
A dog will bark out back
Ad children's voices peal 
Over and under the air
You've been there lost in the remembering 
And if you ever wish for things
That are only in the past 
Just remember that the wrong things
Aren't supposed to last 
Babe, it's over and done
And the rest is gonna come when you let it

And this is love, all that it ever was and will be 
This is love, when you let it, if you let it now 
This is love, all it ever was and can be 
This is love",This Is Love
Mary Chapin Carpenter,"Baby, where's that place where time stands still?
I remember like a lover can
But I forget it like a leaver will

It's no place you can get to by yourself
You've got to love someone and they love you
Time will stop for nothing else

And memory plays tricks on us
The more we cling, the less we trust
And the less we trust, the more we hurt
And as time goes on, it just gets worse

So, baby, where's that place where time stood still?
It is under glass inside a frame
Was it over when you had your fill

And here we are with nothing
But this emptiness inside of us
Your smile a fitting, final gesture
Wish I could have loved you better

Baby, where's that place where time stands still?
I remember like a lover can
But I forget it like a leaver will

It's the first time that you held my had
It's the smell and the taste and the fear and the thrill
It's everything I understand
And all the things I never will",Where Time Stands Still
Mary Chapin Carpenter,"In this world there's a whole lot of trouble, baby 
In this world there's a whole lot of pain 
In this world there's a whole lot of trouble, but 
A whole lot of ground to gain 
Why take when you could be giving?
Why watch as the world goes by?
It's a hard enough life to be living 
Why walk when you can fly?

In this world there's a whole lot of sorrow 
In this world there's a whole lot of shame 
In this world there's a whole lot of sorrow 
And a whole lot of ground to gain 
When you spend your whole life wishing 
Wanting, and wondering why 
It's a long enough life to be living 
Why walk when you can fly?

And in this world there's a whole lot of golden 
In this world there's a whole lot of pain 
In this world you've a soul for a compass 
And a heart for a pair of wings 
There's a star on the far horizon 
Rising bright in an azure sky 
For the rest of the time that you're given 
Why walk when you can fly?",Why Walk When You Can Fly
Mary Chapin Carpenter,"Every heart has got a story
About love holding out a lure
Baby, when you've been that lonely
You just want a cure

Fool you once, you are forgiven
Fool you twice, you're just a fool
You fear the future's all been written
By the past and what didn't last

All the better to dream of you
The better to be this side of heaven
Believing again when a dream comes true
The better to dream of you

Every story's got a chapter
That chapter will be defined
By what's before and what comes after
This one is mine

Everything that came before us
Wore me out and weighed me down
You raised me up like a gospel chorus
Rock steady on solid ground

The better to dream of you
The better to be this side of heaven
Believing again when some dreams come true
The better to dream of you

Like an old-time tent revival
I felt my heart come back alive
No preacher, baby, no Bible
Just this love to testify

Oh, the better to dream of you
The better to be this side of heaven
Believing again some dreams come true
The better to dream of you

The better to dream of you
Yeah, stranger things they might have happened
Believing again that dreams come true
The better to dream of you

The better to dream of you
The better to be this side of heaven
Believing again some dreams come true
The better to dream of you",The Better to Dream of You
Mary Chapin Carpenter,"We were born during the boom times
Played house down in the bomb shelter
Suffered through the wonder years
And silence at the dinner hour

But once upon a summertime
Out behind the old garage
We were buzzing on midnight
Luckys and Rolling Rock

Thinking we were heroes in our own hometown
Nothing less than heroes in that old hometown

Some married on a day in June
Some disappeared without a trace
And some of us are still at large
Still searching for a better place

But once upon another time
It didn't matter what they said
Didn't matter if we fell behind
We'd still come out ahead

'Cause we believed in heroes in that old hometown
Hey, you could be a hero in your own hometown

Now I'm long away and very far
From gazing at an evening sky
From wishing on a shooting star
From thinking that a heart can't lie

This world is gonna wear you thin
Knot you up and spin you round
This world will take its aim, call you every name
Trying to bring you down

Everything seems so clear 
When you're looking back from such a distance
When the road not taken disappears
Into the path of least resistance

But once upon a time oh-so long ago
Underneath this same old sky, every brand new road

Would know that we were heroes in our own hometown
Nothing less than heroes in that old hometown
We still loved a hero in our own hometown
Baby, you could be a hero in your own hometown",Hero in Your Own Hometown
Mary Chapin Carpenter,"I can see it now, walking by myself
And suddenly you're there walking with somebody else
I can see it now, what's right up ahead
A scene I've played a thousand times over in my head

I can see it now; it isn't just a dream
Can't shake myself awake, can't fall right back to sleep
Face to face I come right up to the truth
I can see it now; I'm still not over you

I can hear it now, your voice saying my name
It's too late for me to walk the other way
I can hear it now, asking how I've been
Oh, and by the way have you met my friend?

I can hear it now, a breaking all apart
A strange familiar sound that's coming from my heart
Feeling just as bad as the day that it was new
I can see it now; I'm still not over you

When you're out of sight, baby, you're still on my mind
You're much too hard to lose, you're too easy to find
Like a bottle to a drunk, like trouble to a fool
I've only ever seen just what I've wanted to

I can feel it now as you walk away
Something left unsaid and the nothing left to say
I can feel it now like weather in my bones
Before it even comes, before I even know

I can feel it now, the empty and the ache
That bitter little pill that I don't want to take
Instead I'd swallow all the pride I ever knew
To crawl back if you asked, all that I would do
I can see it now",I Can See It Now
Mary Chapin Carpenter,"I want to be your girlfriend; I want to be your new love
I want to be the one that you can't get enough of
I want to be your girlfriend, nobody else's but yours
I want to be the one who you'll do anything for

Never thought I'd ever wind up in a daze like this
Never thought I'd ever find myself wondering how you kiss
I see you nearly everyday, and everyday I lose my nerve
That I built up the night before, rehearsing every single word

I want to be your girlfriend; I want to be your new love
I want to be the one that you can't get enough of

You used to be just this guy I knew from that same old scene
For all the time that I've known you, just now I'm noticing
That everything there is to feel feels worse than any teenage crush
And all the times that I've been near you, now I can't get near enough

Oh, I want to be your girlfriend, nobody else's but yours
I want to be the one who you'll do anything for

I just keep on hoping that you're gonna see
If I could notice you, then you could notice me
Then I'd be more to you; oh, I just want to be

I want to be your girlfriend; I want to be your new love
I want to be the one that you can't get enough of
I'm gonna be your girlfriend, nobody else's but yours
I want to be the one who you'll do anything for",I Want to Be Your Girlfriend
Mary Chapin Carpenter,"When it's been that kind of day, baby
When everything is not what it should be
Everybody's had their say
Let's just say today is history

And keep keeping the faith
Keeping the faith, everyday
We're keeping the faith
Keep keeping the faith
Don't give it away

When your head's not making sense, baby
When your heart is just a mystery
When you're sitting on the fence
Instead of knowing where you're supposed to be

[Chorus]
Well, just keep keeping the faith
Keeping the faith, everyday
We'll be keeping the faith
Keep keeping the faith
Don't give it away

All the style, all the money
All the power you can buy
Won't do nothing if there's something missing
Way down deep inside

It's the weary, it's the lonesome
It's the forest that we just can't see
Don't forget now there ain't no one
Who isn't trying to see beyond the trees

So, just keep keeping the faith
Keeping the faith, everyday
We'll be keeping the faith
Keep, keeping the faith
Don't give it away

Keeping the faith
Keeping the faith, everyday
We'll be keeping the faith
Keeping the faith
Don't give it away",Keeping the Faith
Mary Chapin Carpenter,"Been walking these streets, been deciding what's true
Been hands in my pockets, coat collar up, thinking 'bout you
I've been talking to myself, giving fate the third degree
I've been eyes on the pavement, admitting my part to strangers passing me

And I know it isn't fair, but nothing's ever been
Hey, when you look at me, baby, my god, how I feel so good again
I don't know where I went wrong, but it isn't right to lie
Hey, when you look at me, baby, my heart's wide open, naked to the eye

Now some lovers are apart, but they're never far away
I can see her in your eyes, hear her in your voice, and I have to turn away
Oh, what covet is to ache, is what aching is to me
For the arms of a man who knows who I am and where I need to be

And if I know what I know, then the lonely can't pretend
When you look at me, baby, my god, how I feel so whole again
Is there heaven after all, or just this empty space
That no amount of time, nor comfort in its hands can ever help me face?
Which is worse is yet to come, your rebuff or my resign
Hey, when you look at me, baby, I'm helpless as a child, naked to the eye

It's like a fever and a spell, unbroken by a sigh
Oh, when you look at me, baby, I'm going nowhere, just naked to the eye
Yeah, when you look at me, baby, everything's there, naked to the eye
Hey, when you look at me, baby, I haven't got a prayer, naked to the eye",Naked to the Eye
