Band,Lyrics,Song
Guy Lombardo,"When the swallows come back to Capistrano
That's the day you promised to come back to me
When you whispered, ""Farewell"", in Capistrano
Twas the day the swallow flew out to sea

All the mission bells will ring
The chapel choir will sing
The happiness you'll bring
Will live in my memory
When the swallows come back to Capistrano
That's the day I pray that you'll come back to me

All the mission bells will ring
The chapel choir will sing
The happiness you'll bring
Will live in my memory
When the swallows come back to Capistrano
That's the day I pray that you'll come back to me",When the Swallows Come Back to Capistrano
Guy Lombardo,"Hear me, why you keep fooling
Little coquette, making fun of the one who loves you
Breaking hearts you are ruling
Little coquette, true hearts tenderly dreaming of you.
Someday you'll fall in love as I fell in love with you.
Maybe the one you love will just be fooling too.
And when you are alone with all your regrets, 
You know, my little coquette, I love you.

Someday you'll fall in love as I fell in love with you.
Now, maybe the one you love will just be fooling too.
And when you are alone with all your regrets,
Now, you know, my little coquette, I love you.",Coquette
Guy Lombardo,"Did you ever see a dream walking? 
Well, I did. 
Did you ever hear a dream talking? 
Well, I did. 

Did you have a dream thrill you 
With ""Will you be mine?"" 
Oh, it's so grand, and it's too, too divine! 

Did you ever see a dream dancing? 
Well, I did. 
Did a ever see a dream romancing? 
Well, I did! 

Did you see heaven right in your arms, 
Saying, ""I love you, I do!"" 
Well, the dream that was walking, 
And the dream that was talking, 
The heaven in my arms was you.",Did You Ever See a Dream Walking?
Guy Lombardo,"Ever since the lucky night I found you
I've hung around you just like a fool
Falling head and heels in love like a kid out of school.

My poor heart is in an awful state now
But it's too late now to call a halt

So if I become a nuisance it's all your fault!

Don't blame me for falling in love with you
I'm under your spell but how can I help it!
Don't' blame me!

Can't you see when you do the things you do!
If I can't conceal the thrill that I'm feeling,
Don't blame; me.

Ican't help it if that doggoned moon above
Makes me need someone like you to love!

Blame your kiss as sweet as a kiss can be
And blame all your charms that melt in my arms
But don't blame me.

I like every single thing about you
Without a doubt you are like a dream
In my mind I find a picture of us as a team

Ever since the hour of our meeting
I've been repeating a silly phrase
Hoping that you'll understand me one of these days.

Don't blame me for falling in love with you
I'm under your spell but how can I help it!
Don't' blame me!

Can't you see when you do the things you do!
If I can't conceal the thrill that I'm feeling,
Don't blame; me.

Ican't help it if that doggoned moon above
Makes me need someone like you to love!

Blame your kiss as sweet as a kiss can be
And blame all your charms that melt in my arms
But don't blame me.",Don't Blame Me
Guy Lombardo,"Clothes must play a part 
To light an eye, to win a heart; 
They say a gown can almost speak, 
If it is chic. 
Should you select the right effect, 
You cannot miss, 
You may be sure, 
He will tell you this. 

Lovely to look at, 
Delightful to know and heaven to kiss. 
A combination like this, 
Is quite my most impossible scheme come true, 
Imagine finding a dream like you! 
You're lovely to look at, 
It's thrilling to hold you terribly tight. 
For we're together, the moon is new, 
And oh, it's lovely to look at you tonight! 

What appeals to me 
Is just your charm and dignity,
Not what you wear, 
But just an air, of great repose. 
You are quite perfect from your head down to your toes 
Both night and day, 
I am moved to say. 

Lovely to look at, 
Delightful to know and heaven to kiss. 
A combination like this, 
Is quite my most impossible scheme come true, 
Imagine finding a dream like you! 
You're lovely to look at, 
It's thrilling to hold you terribly tight. 
For we're together, the moon is new, 
And oh, it's lovely to look at you tonight!",Lovely to Look At
Guy Lombardo,"One night the moon was so mellow
Rosita met young Manuelo
He held her like this, this lovely miss
Then stole a kiss, this fellow
He said he was glad that he met her
And soon he would come and get her
But she said ""No, no, I cannot go
Until I know you better""

Ti-pi-ti-pi-tin ti-pi-tin
Ti-pi-ti-pi-ton ti-pi-ton
He kept on a-stealing and he had a feeling she was satisfied
Ti-pi-ti-pi-tin ti-pi-tin
Ti-pi-ti-pi-ton ti-pi-ton
She was saying ""Go sir"" so he held her closer, that's how he complied

Ti-pi-ti-pi-tin ti-pi-tin
Ti-pi-ti-pi-ton ti-pi-ton
He kept on a-stealing and he had a feeling she was satisfied
Ti-pi-ti-pi-tin ti-pi-tin
Ti-pi-ti-pi-ton ti-pi-ton
He will always do so, for she has a true soul and he has a bride",Ti-Pi-Tin
Guy Lombardo,"You, you're driving me crazy!
What did I do?
What did I do?
My tears for you make everything hazy

Clouding the skies of blue
How true
Were the friends who were near me to cheer me
Believe, me they knew

But you
Were the kind who would hurt me, desert me
When I needed you
Yes you, you're driving me crazy!
What did I do to you?",You're Driving Me Crazy
Guy Lombardo,"Oh, how we danced on the night we were wed
We vowed our true love, though a word wasn't said
The world was in bloom, there were stars in the skies
Except for a few that were there in your eyes

Dear, as I held you close in my arms
Angels were singing a hymn to your charms
Two hearts gently beating, were murmuring low
""My darling, I love you so""

""My darling, I love you so""",Anniversary Song
Guy Lombardo,"Imagine you imagining that you love me
And starting on a family tree,
Imagine starting on a family tree;
The mama is you and papa is me.

If your heart goes bumpety bump;
It's Love-Love-Love!
If your throat comes up with a lump;
It's Love-Love-Love!
If your knees go knockety knock;
It's Love-Love-Love!
If you're coo-koo like the coo-koo in the clock
It's Love-Love-Love!

Imagine you imagining a cozy flat.
Complete with running dog and cat,
Imagine having running dog and cat
And we will have welcome all over the mat.

If your heart goes bumpety bump;
It's Love-Love-Love!
If your throat comes up with a lump;
It's Love-Love-Love!
If your knees go knockety knock;
It's Love-Love-Love!
If you're coo-koo like the coo-koo in the clock
It's Love-Love-Love!

Imagine you imagining a man and wife;
We'll go buy a fork and a knife;
Imagine eating with a fork and a knife;
How ritzy we'll be for the rest of out life.

If your heart goes bumpety bump;
It's Love-Love-Love!
If your throat comes up with a lump;
It's Love-Love-Love!
If your knees go knockety knock;
It's Love-Love-Love!
If you're coo-koo like the coo-koo in the clock
It's Love-Love-Love!","It's Love, Love, Love"
Guy Lombardo,"Once I strayed beneath the window of a lovely señorita
And she smiled while I softly played my Penny Serenade

Si, si, si, you can hear it for a penny
Si, si, si, just a Penny Serenade

In her eyes shone the tender dawn of love and sweet surrender
As for me, in my heart I played a lover's serenade

Si, si, si, hear my love song for a penny
Si, si, si, just a Penny Serenade

For that night so divine she was mine, no word had been spoken
When I woke from my dream she was gone, my poor heart was broken

Still I pray that wherever she may be she will remember
In her heart she will always hear my Penny Serenade

Si, si, si, hear my love song for a penny
Si, si, si, just a Penny Serenade",Penny Serenade
Guy Lombardo,"(Red sails in the sunset, way out on the sea)
Oh, carry my loved one home safely to me
(She sailed at the dawning, all day I've been blue)
Red sails in the sunset, I'm trusting in you

Swift wings you must borrow
Make straight for the shore
We marry tomorrow
And she goes sailing no more

(Red sails in the sunset, way out on the sea)
Oh, carry my loved one home safely to me

Swift wings you must borrow
Make straight for the shore
We marry tomorrow
And she goes sailing no more

(Red sails in the sunset)
Way out on the sea (ooh-wee-ooh, wee-ooh)
Oh, carry my loved one
(Home safely to me)",Red Sails in the Sunset
Guy Lombardo,"Moonlight and magnolia, starlight in your hair
All the world a dream come true
Did it really happen, was I really there, was I really there with you?
 
We lived our little drama, we kissed in a field of white
And stars fell on Alabama last night
I can't forget the glamor, your eyes held a tender light
And stars fell on Alabama last night
I never planned in my imagination a situation so heavenly
A fairy land where no one else could enter
And in the center just you and me, dear
My heart beat like a hammer, my arms wound around you tight
And stars fell on Alabama last night
 
We lived our little drama, we kissed in a field of white
And stars fell on Alabama last night
I can't forget the glamor, your eyes held a tender light
And stars fell on Alabama last night
I never planned in my imagination a situation so heavenly
A fairy land where no one else could enter
And in the center just you and me, dear
My heart beat like a hammer, my arms wound around you tight",Stars Fell on Alabama
Guy Lombardo,"Why don't we get along everything I do is wrong
Tell me what's the reason I'm not pleasin' you
I may kiss you but then, you don't say kiss me again
Tell me what's the reason I'm not pleasin' you

If you must keep me in doubt, how will I know what to do
You can change me about, I'll be what you want me to
Though I try and I try Still I never satisfy
Tell me what's the reason I'm not pleasin' you",What's the Reason (I'm Not Pleasing You?)
Guy Lombardo,"It's three o'clock in the morning
We've danced the whole night through
And daylight soon will be dawning
Just one more waltz with you
That melody so entrancing
Seems to be made for us two
I could just keep on dancing forever dear with you
 
There goes the three o'clock chime, chiming, rhyming
My heart keeps beating in time
Sounds like an old sweet love tune
Say that there soon will be a honeymoon
 
It's three o'clock in the morning
We've danced the whole night through
And daylight soon will be dawning
Just one more waltz with you
That melody so entrancing
Seems to be made for us two
 I could just keep on dancing forever dear with you
",Three O'Clock in the Morning
Guy Lombardo,"I'm singin' in the rain, just singin' in the rain
What a glorious feeling I'm happy again
I'm laughing at clouds so dark above
The sun's in my heart and I'm ready for love
Let the stormy clouds chase everyone from the place
Come on with the rain, I've a smile on my face
I'll walk down the lane with a happy refrain
And singin' just singin' in the rain

Why am I smilin' and why do I sing?
Why does December seem sunny as Spring?
Why do I get up each morning to start happy 
And get up with joy in my heart?
Why is each new task a trifle to do?
Because I am living a life full of you

I'm singin' in the rain, just singin' in the rain
What a glorious feeling I'm happy again
I'm laughing at clouds so dark above
The sun's in my heart and I'm ready for love
Let the stormy clouds chase everyone from the place
Come on with the rain, I've a smile on my face
I'll walk down the lane with a happy refrain
And singin' just singin' in the rain",Singin' in the Rain
Guy Lombardo,"A small Jean Genie snuck off to the city
Strung out on lasers and slash-back blazers
Ate all your razors while pulling the waiters
Talking 'bout Monroe and walking on Snow White
New York's a go-go, and everything tastes right
Poor little Greenie, ooh-ooh

Keep her comin'
The Jean Genie lives on his back
The Jean Genie loves chimney stacks
He's outrageous, he screams and he bawls (Jean Genie)
Jean Genie, let yourself go, whoah

Sits like a man but he smiles like a reptile
She love him, she love him but just for a short while
She'll scratch in the sand, won't let go his hand
He says he's a beautician and sells you nutrition
And keeps all your dead hair for making up underwear
Poor little Greenie, ooh-ooh

The Jean Genie lives on his back
The Jean Genie loves chimney stacks
He's outrageous, he screams and he bawls (Jean Genie)
Jean Genie, let yourself go, whoah

He's so simple-minded, he can't drive his module
He bites on the neon and sleeps in a capsule
Loves to be loved, loves to be loved

Oh, Jean Genie lives on his back
The Jean Genie loves chimney stacks
He's outrageous, he screams and he bawls (Jean Genie)
Jean Genie, let yourself go, whoah

Go!
Go!

The Jean Genie lives on his back
The Jean Genie loves chimney stacks
He's outrageous, he screams and he bawls (Jean Genie)
Jean Genie, let yourself go, whoah

Go, go go!",I'm More Than Satisfied
Guy Lombardo,"I left her by the River Sainte Marie,
We pledged our love until eternity.
Along the pebbled pathway from her door
We kissed and then we kissed again
And parted on the shore;
The Angelus rang out upon the sea
I saw her kneel and say a prayer for me
When winter's gone and spring is on
I'll meet her by the River Sainte Marie",By the River Sainte Marie
Guy Lombardo,"Like the dream you dream tonight
That fades from sight when darkness disappears
Maybe you will vanish too
The moment when tomorrow's dawn appears
So, my love while stars above in Heaven's blue
Are softly gleaming I'll dream of you
And I'll live in the glory of your love
When I see the shadows falling
On a purple summer evening
Then is when I hear you calling
Across the lonely years
Oh, how well I still remember
When another summer evening
One that started out in splendor
Ended in tears
Like the dream you dream tonight
That fades from sight when darkness disappears
Maybe you will vanish too
The moment when tomorrow's dawn appears
So, my love while stars above
In Heaven's blue are softly beaming and gleaming
Then I'll live in the glory of your love",Intermezzo (Souvenir de Vienne)
Guy Lombardo,"And then she holds my hand, mm
And then I understand. mm
Her eyes afire with one desire
Then a heavenly kiss
Could I resist?
And then she dims the light, mm
And then she holds me tight. mm
Her kiss, each fond caress
They lead the way to happiness
She takes me to paradise
 
And then he holds my hand, mm
And then I understand. mm
His eyes afire with one desire
Then a heavenly kiss
Could I resist?
And then he dims the light, mm
And then he holds me tight. mm
Her kiss, each fond caress
They lead the way to happiness
She takes me to paradise
",Paradise
