Band,Lyrics,Song
Lorene Drive,"You put
So much effort in to it
Does it feel good to hurt someone
Trying to make you proud

You put
So much effort in to it
Does it make you feel good
A kiss won't this make this better

This is my last good bye
A kiss won't make this better
A kiss won't make this right
I know you got my letter

Just unlock the door
Are you sitting down
I think you might want to
It seems you have everything

Under control, this is my life
One thing to hold on to",A Kiss Won't Make This Better
Lorene Drive,"She's a killer know what I'm talking about
But I might have been mistaken, overreacting
Come lets face it, your so dramatic you might
as well embrace it

She looks so good it hurts what am I supposed to do
Oh girl for sure I would 
you know I might as well
Let it go

A broken heart don't seem so bad
But she looks so good it hurts
Take a breath not another word 
But she looks so good it hurts

That girls a killer I think it's safe to say
This girls got me dying to survive her
I can't deny her come lets face your so dramatic
You might as well",Let It Go
Lorene Drive,"I'll try and cover all the bases
Something to really kill my reputation
All buttoned up
Ready to go

Forget tonight
Forget everything you know
A little light weight lip service
To get me through the night
To the sound of your teeth

I can't believe you saw truth naked
Another way to really kill my reputation
A little light weight lip service
To get me through the night

So tired of going to sleep
To the sound of your teeth grinding
I've been wrong before
And I've been right
I've never felt so right about nothing
Besides, how you and me
Will always work out",Lip Service
Lorene Drive,"She said let go, goodbye
So pathetic yet it seems so right
I said alright, okay
Anything to make me go away

If you get back before I do 
If you could only hear me through
It used to be so easy

Oh no you've gone and done it 
All over time and time again
She said alright okay
Anything to make me away

I said oh no don't cry
Another day like this 
And I'll lose my mind
Cause it seems to me your leaving

You must have your reasons
Again another season, one more day
And my heart stops beating",So Easy
Lorene Drive,"Some say I'm just a singer
I say another sinner
Don't blame these bloody fingers
Because I know I've gotten further
Than anyone that I know now

Much better than I ever knew before
It's such a wonderful chemistry
It's just a wonderful thing
You better not pour me that drink
Because you're my favorite enemy

Build me up baby don't break me down
So go ahead and pour that drink
Cause you're the only one for me
Some say I don't meet the standard
To avoid a great disaster

Don't blame these worn out fingers
Cause I know oh yes I know
You dance around the obvious
Around the bush you beat too much
Don't lie to me just be straight up

Start over
If you consider me a friend",Some Kind of Love
Lorenn Peer,"The night is like a lovely tune
Beware my foolish heart
How white the ever constant moon
Take care my foolish heart

There's a line between love and fascination
That's hard to see, how many names such as this
For they both have the very same sensation
When you're locked in the magic of a kiss

Her lips are much too close to mine
Beware my foolish heart
But should our eager lips combine
Then let the fire start

For this time it isn't fascination
Or a dream that will fade and fall apart
It's love, this time it's love
My foolish heart",My Foolish Heart
Lorenn Peer,"You don't know what love is
'Til you've learned the meaning of the blues
Until you've loved a love you've had  to lose,
You don't know what love  is.

You don't know how lips hurt
Until you've kissed and had to pay the cost,
Until you've flipped your heart and you have lost,
You don't know what love is.

Do you know how a lost heart fears
At the thought of reminiscing,
And how lips that taste of tears
Lose their taste for kissing?
You don't know how hearts burn
For love that can, not live yet never dies.
Until you've faced each dawn with sleepless eyes,
You don't know what love is.",You Don't Know What Love Is
Lorenzo,"When you wish upon a star
Your dreams will take you very far
But when you wish upon a dream
Life ain't always what it seems
What'd you see on a night so clear
In the sky so very dear

You're a shining star
No matter who you are
Shining bright to see
What you could truly be

Shining star come in to view
Shine its watchful light on you
Give you strength to carry on
Make your body big and strong
Born a man child of the sun
Saw your work had just begun

Found I had to stand alone
Bless it now I've got my own
So, if you find yourself in need
Why don't you listen to these words and heed
Be you giant or grain of sand
Words of wisdom are ?Yes I can?

You're a shining star
No matter who you are
Shining bright to see
What you could truly be

You're a shining star
No matter who you are
Shining bright to see
What you could truly be",Shining Star
Lorenzo Antonio,"All my life I've been in love with you,
now you are here, I can't believe it's true.
I must be dreaming
when you say that you're in love with me.

In my dreams I've kissed your lips of wine,
now all at once I find you're really mine.
I must be dreaming
when you say that you're in love with me.

The way that I feel
is so heavenly, too good to be real.
When you're next to me I'm so afraid
that I'm fast asleep so don't wake me up,
let me dream if I'm dreaming.

Oh my love, each time I hold your hand,
everything is just the way I planned.
I must be dreaming
when you say that you're in love with me
",Creo Estar Soñando
Lorenzo Antonio,"Si es un pobre iluso
Díselo cree que ya me olvidaste
Dile que has venido
Y dile también que por las noches
Vuelves a vestirte, con mi cariño

Dile que nunca, mi amor
Podrás de ti despintarlo
Que solo esperas
Que yo te repita que te amo

No lo quieres, no lo engañes
Vamos dile que te olvide

Dile que vivo en tu memoria
Cuéntale ya la verdad
Dile que vivo en tu historia
No hay quien me logre borrar

Dile que sólo en mis brazos
Sueñas volverte mujer
Dile que sólo mis labios van
Brillando sobre tu piel

No pierdas tiempo, ya no
Dile que suelte tus alas
Que sabe inútil jamás
Tendrá tu amor en sus garras

No, no lo quieres, no lo engañes
Vamos dile que te olvide

Dile que vivo en tu memoria
Cuéntale ya la verdad
Dile que vivo en tu historia
No hay quien me logre borrar

Dile que sólo en mis brazos
Sueñas volverte mujer
Dile que solo mis labios van
Brillando sobre tu piel
En tu piel

Dile que vivo en tu memoria
Cuéntale ya la verdad
Dile que vivo en tu historia
No hay quien me logre borrar

Dile que solo en mis brazos
Sueñas volverte mujer
Dile que sólo mis labios van
Brillando sobre tu piel
En tu piel

",Dile
