Band,Lyrics,Song
Diddy,"Feel the bass
Talk to em
Its that dirty money motherfuckers
Its that dirty money motherfuckers
Its that dirty money motherfuckers
Some body feel me

Looking for someone to love me
Now, now, now I'm looking for someone to love me yeah

My drama, my karma
My love my life, dear momma
The war's I've fought, scars that I've garnered
The hustle, I got that honest from my father
Mix me with violence, blend me with peace
Combine me with hate and I can't face defeat (nope)
I did it all in a week
Still incomplete as I stand on my feet
It take a lot to still dance to the beat
Skin more cold and callous than concrete
I love swimming but there's just one ski
In a rich man's cheap hotel with bed sheets
Uh ah, you know what I'm looking for

Looking for someone to love me
Now, now, now I'm looking for someone to love me yeah

When you ain't got dough, you scratch and you crawl
In your state of mind, 
You want somethin', ay you want it all
Look at the sky wonder when its gon' fall
Cry in the rain so the pain is stalled
Its too dark, my world is in gloom
Chest cold, my soul howls at the moon
My mind spins, my sins crowd the room
My heart don't beat it just skips out of tune
I can't even hold down food I'm so rude
Bad attitude, what point I got to prove
Sometimes to win something you gotta lose
Love ain't dead my life is just dues

Looking for someone to love me
Now, now, now I'm looking for someone to love me yeah

I'm impatient, I'm so vacant
I'm so real with myself, I'm so blatant
I thirst more, I'm far from complacent
Always placing my heart last I'm paper chasing
Left craving the warmth of one touch
So whats money if you never had enough
I'm disgusted, people say I'm not to be trusted
Insomnia driven, my eyes crusted
So come and save my life if you can muster 
Up enough strength to show me how to love some
Body besides myself I crave comfort, 
Stars may align just right for us, 
Start a new life for us
Build a fortress beyond coffins
Rembrandt, we paint our soul mates portraits
Come one you know just what I'm looking for

Looking for someone to love me
Now, now, now I'm looking for someone to love me yeah

Feel the bass",Someone to Love Me
Diddy,"Love is the party, my heart is such a disco ball
She's in line waiting
My guest list too long
I told her I would love her
Love her as forever
Forever's just a word
I put words together
Stepping on the stars, she pause and I know that
One day this show will end, applause
The strobe lights are dancing
We've taken all the chances
She question what we are
And I'll drink to the answer 'cause
My heart is out of service
My eyes turn black
I don't see love anymore I'm blind to the fact
I got my world in my pocket cause I ain't tryna drop it
The sky is at my neck, so I turn up my collar
My world spin around her
Cause its a whirl without her

When you know, like I know
When the sunlight falls down
There she goes

Strobe lights dance with the stars
And I just can't live without her
And she knows what she knows
And the rain is coming down
My heart is closed. I know she knows

Strobe lights dance with the stars
And I always take my time
And when the lights fade
The lights they turn gray
Bitch you don't love me no more
I'm at the end babe
Going the wrong way
And I don't know where to go
I'm on a new way
Tomorrows too late
Bitch you don't love me more
You got me standing on the verge

Love create wars,
I got wounds and scars
The strobe lights are dancing
Dancing with the stars
But what happened to ours
What happened because
The rain is coming down
Now we trapped in the storm
I step right out of her spotlight
And into the strobe lights
I don't need your light

(I know, I know, I know)
That you're no good
(I know, I know, I know)
That you make me come back for more
Come back for more
Every time I try, I can't get away
(I know I know) I know that love is gone tomorrow
(I know I know) When the lights they fade away
(your lies, your lies)
You keep begging me, begging me
Please don't go

And when the lights fade
The lights they turn gray
Bitch you don't love me no more
I'm at the end babe
Going the wrong way
And I don't know where to go
I'm on a new way
Tomorrows too late
Bitch you don't love me more
You got me standing on the verge",Strobe Lights
Diddy,"Ladies and gentlemen, yeah, 
I'm here to tell you 
That this is a brand new sound
This, this will change your life
All you gotta do is turn your shit up,
(All you gotta do is turn your shit up)
All you gotta do is turn your shit up!

This what you want (this what you need)
This what you need (this what you need)
This what you get (this what you get)
This what you like (this what you like)
This that dirty money

Coulda given you everything, 
Coulda given you shooting star
Coulda loved your back mo' 
But now I'm too far away
You won't be there alone, 
My love wouldn't be alone
We wouldn't be staring out the window, 
Guessing which way the wind blows

You would be loving me, hold me, 
Treating me better than before
Yeah, yeah, yeah you would
Yeah, yeah, yeah you would
You're just so damn selfish, 
Nervous and jealous, 
You would be loving me, 
Yeah you would, 
Yeah, yeah, yeah you would
(Yeah, yeah, yeah you would)

Yeah, come on, oh
Who was your number one?
Who got niggas at the altar wearing future gators and ?
Got my hand on my gun, 
As I'm sitting drinking and thinking I love you 
You shoulda had my sun
Got me losing my mind, 
All alone in my room, 
Staring at your picture like I'm doing time
I know loving me's hard (loving me's hard)
But the further you are away, 
Got me closer to God

Sex sooner than later,
If I was the only one, 
Would I be your mistress?
But now I'm too far to play (too far to play)
Now you take the blame alone, cant take the blame alone 
Love wouldn't be free to roam
We would be prisoners of the sheets baby
I'll be your capture
(I'll be your capture)

You would be in love with me, holdin' me
Treating me better than before
Yeah, yeah, yeah you would
Yeah, yeah, yeah you would
You're just so damn selfish, 
Nervous and jealous, 
You would be in love with me, 
Yeah you would, 
Yeah, yeah, yeah you would
Yeah, yeah, yeah you would

All I wanted
Was your lovin' 
You can tell me, 
You wouldn't be happy
Yeah, yeah, yeah, 
Yeah, yeah, yeah 

Yeah you would
You would of never ruined my heart
?
Yeah, yeah, yeah, 
Yeah, yeah, yeah 
Yeah you would

You would be loving me
Yeah, yeah, yeah you would
Yeah, yeah, yeah you would
Yeah, yeah, yeah you would
Yeah, yeah, yeah you would",Yeah Yeah You Would
Diddy,"[Chorus]
Yesterday I fell in love
Today feels like my funeral
I just got hit by a bus
Shouldnt've been so beautiful
Don't know why I gave my heart, 
Gave my trust, gave everything
You think that if I had the chance
To do it over again
I'd do something different
Make better decisions
Save me from my ignorance
But I keep
Making the same mistakes before I
I see the danger but I go forward
I'm sitting here trying to keep my composure
Knowing inside I'm broken and tore up
She got me gone I'm on her like a drug
I try to go but end up wanting more
Stuck in my head vivid as a picture
I wanna be clean but I can't get rid of her

Uh
Give my all, you take it from me (from me girl)
And don't even replace it for me (no)
I wish you just fake it for me (fake it)
I wish I can make you love me more
You can't tell I fucks wit' you I needed you (needed you)
I thought that you understood that based on how I treated you (treated you)
I don't pay attention to the rumors that you feed into
Know you're missing something I wish I was what completed you

[Chorus]

I feel like a killer hit me (hit me)
The weapon was concealed initially (oh)
But I felt so much pain from it (pain)
You deserved to feel it with me more (more)
I feel like I beg wit' you I plead wit' you (plead wit you)
I don't comprehend how you can't love when its so easy to (easy to oh)
I thought you could do it I believed in the naive in you (oh)
I just need to breathe baby now I got the freedom to (oh no)

She's like a drug (yeah)
And I don't think I can get rid of her
'Cause she got me in this curse (yeah)
And it dawned on me 
I can't do nothing with her
This woman's worth
I can't find my way out
And it hurts
I tried but she won't let me go
She won't let me go
She won't let me go

She won't let me go
She won't let me go.
Yeah",Yesterday
Diddy,"We in the motherfucking building,
A hundred fucking bottles, yeah,
Come on
Let go

Girl I want you face down first thing when I wake up
I already got you covered girl ain't no need for make-up
I just need a camera and someone to tape us,
Internet ain't ready for the way that we gon' make love

Feeling right now,
I need you right now
Trying to hold back but you can get it
Don't tease right now,
Baby please me right now
Girl scream yes if you with it

Got, got, got, got, got one question, one question for you
When I'm going through withdrawals
Tell me what I'm supposed to do
Cause I need your love I want your love
Girl it ain't the same if I ain't got your, love
Your love, your love, your love,
Your love, all I want is you baby,
All I want is you baby
All I really want is you
Your touch, your sex, is my drug,
Baby all I want is you baby,
Only want is you baby

I'ma put in your face boy
As soon as you wake up,
Know you wanna hit it
Want me to be a little slut
If you do it good
But I'll return the favor
Baby I'm tired of the bed
I wanna try it on the table
Boy I'm feignin' right now,
And I need you right now
Come, come a little closer you can get it
Tease me right now,
You please me right now
Let your tongue walk on this pussy

Got, got, got, got, got one question, one question for you
When I'm going through withdrawals
Tell me what I'm supposed to do
Cause I need your love, I want your love
Boy it ain't the same if I ain't got your love

Your love, your love, your love, your love,
All I want is you baby,
All I want is you baby
All I really want is you

Your touch, your sex, is my drug,
Baby all I want is you baby, I only want is you baby

Bitch you know I'm diddy hoe, real deally yo,
Real estate in the states spilling in Philly yo
I did it for the team,
I did it for you shorty,
I did it for the fam',
I did it for the glory
Cocky niggas still half cockin' my Yankee fitted
My wrist Rocky Sylvester Stallone, Jacob did it
Early birds, furry furs,
Is it hers, baby girl silver spurs
You know I stay on my grind and she be right there
The shit I'm doing won't be or done in light years
Talking me and you,
The world is ours,
All we need is our love money and the power

My love, your love
Your sex is my drug
I need your body here tonight
I ain't leavin' this club without your love
Your love
Your love
Your love
Your love
Your love
All I really want is your love,
Oh, oh, oh, oh, oh, oh,
Love, yeah",Your Love
Diddy,"If I gave you everything 
Baby would you give it back
I'll give my all to you
If I gave my heart to you 
Baby would you give it back
Tell me what would you do

Some nights you ain't never change
You want sunshine and the rain
You want everything
You want too much from me,
Girl if I gave you everything
My mansion and my plane and my name
You want too much from me

The way I love you girl
You should do the same
Some things never change
No more pain thank God you came, girl
I'll give you my first
I'll give you my last
Never gotta ask
I'll do anything for you girl

If I gave you everything 
Baby would you give it back
I'll give my all to you
If I gave my heart to you 
Baby would you give it back
Tell me what would you do

Some nights you ain't never change
Think you could fix everything
With a diamond ring
That's not enough for me
Boy if I gave you everything
My mansion and my plane
Just stay the same
And that's enough for me yeah

The way I love you girl
You should do the same
Some things never change
No more pain thank god you came girl
I'll give you my first
I'll give you my last
Never gotta ask
I'll do anything for you girl

If I gave you everything 
Baby would you give it back
I'll give my all to you
If I gave my heart to you 
Baby would you give it back
Tell me what would you do

Whatever you needed
Can't even believe it
Would you do that for me?
(Babe I need to know)
'Cause as long I'm breathing
And my heart is beating
I'll give you everything

Yeah check us out
It's easy to laugh
Those white sands and plush yachts
Citation ten's and what not
But what if we ain't never touched drops
What if a nigga was on the bus stop
All black shades black hat black fitted
But no black car would you still be committed
Would you still let me hit it
Would you still ride if it was a Civic
I'm just hoping you will stay
On your knees and still pray
I'm just saying what I feel babe
So feel me in a real way

Can't even believe it
Would you do that for me?
(Babe I need to know)
'Cause as long I'm breathing
And my heart is beating
I'll give you everything
That's what you want

If I gave you everything 
Baby would you give it back
I'll give my all to you
If I gave my heart to you 
Baby would you give it back
Tell me what would you do","Last Night, Pt. 2"
Diddy,"So hard to breathe this air that we call love,
Ain't nothing worse than the hurt we receive from love,
When you get hurt by the one you living for,
Pain can make you wanna love no more

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself

Hurt with the heart that's bleeding slowly,
So many lonely sleepless nights,
I'm going through hell to convince you love me,
But never her approval no matter how I try,
The way you talk to me but still I say I love you,
I'm ashamed you can see it in my eyes,
Momma always told me to respect the woman,
But what am I to do when her parents do not try

So many tears I cried,
But all for nothing I'm afraid to say
Ooh

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself

I've been so dependent on your love for so long,
Punishment for me is trying to let go,
Give it from your heart is what you taught me,
Addiction to pain is what it got me,
My life, now its changed,
My life ain't the same as it was,
Heart broke to the point, sometimes wanna end it,
If I can't have what mean most to me

So many tears I cried (I cried)
But all for nothing I'm afraid to say

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself

(Diddy, Drizzy baby)
Uh, trying not to over think
Only cause I've drove and I done had a lot to drink
When I wanted it blue you said we got to paint it pink
And there's pieces of ya hair still sittin' in my sink
And you still got underwear that's sittin' in the dryer
How come every time that you're suspicious I'm a liar?
You stand out, I can hear you whistle in a choir
And that's the only reason you the Mrs. I admire
Damn, tell me what I'm gone do
Since everything I'm trying to forget is all true
Me and all your main girls get along too
I would take my last dollar out and bet it on you
But uh, you see the same one I'm missing
Is basically the reason I became somethin' different
Its just that I remember me before
And if you could do the same baby then we'll be for sure

So selfishly
You can only show fear
Unless you feel yours in jeopardy
Oh time, oh time has changed
And I'm no longer wiling
Can't you see how my heart is bleeding
Oh yes

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself

Loving you no more,
I just I cant I just can't be loving you no more,
I love you more than I love myself",Loving You No More
Didier Barbelivien,"A l'heure qu'il est je sais qu'il est déjà trop tard
Elle aura sûrement pris le premier autocar
Et sur la Nationale sur les bords de la Loire
Elle voit des paysages se raconte des histoires

Elle m'oublie
Elle m'oublie
Elle m'oublie

Ses cheveux blonds serrés dans un chignon mal fait
Elle pense à Dieu sait quoi, le soleil disparaît
Et la nuit va venir, le chauffeur fatigué
Cherche un vieux restaurant où elle voudra dîner

Elle m'oublie
Elle m'oublie
Elle m'oublie

Et moi je vais finir cette bouteille de vin
En regardant la table en me tordant les mains
Et moi je vais passer la nuit dans le jardin
A compter les étoiles, ca ira mieux demain

Elle m'oublie
Elle m'oublie
Elle m'oublie

Demain matin bien sûr elle arrive à Paris
Elle retrouve les rues, ses parents, ses amis
Je lui donne trois semaines pour tomber amoureuse
Et devant son miroir elle est déjà heureuse

Elle m'oublie
Elle m'oublie
Elle m'oublie

Il y a un champ de blé à faner quelque part
Le tracteur est cassé ça fait toute une histoire
Il faudrait bien penser à soigner ce cheval
C'est la fin de l'été elle m'oublie et j'ai mal

Elle m'oublie
Elle m'oublie
Elle m'oublie
Elle m'oublie",Elle M'Oublie
Didier Barbelivien,"Dis-moi si les étangs de Mayenne 
Sont toujours aussi beaux pour elle 
Dis-moi à Juvigny-sous-Andaine 
Fais-tu bien attention à elle pour moi 

Elle dit que plus jamais ne reviennent 
Ni les chansons ni la peine dis-lui 
Que j'écris sur du vélin d'Angouleme 
Tout le contraire de ce qu'elle dit 

Je l'aime comme une valse d'enfance 
Caramel caché sous la langue 
Je l'aime 
De préau d'école en dimanche 
C'est toujours à elle que je pense 
Quand meme 


Dis-moi est-ce que les gens se souviennent 
A quel point elle était belle dis-moi 
J'avais caché dessous les tuiles 
Nos lettres d'amours inutiles voilà 

Elle vit entre la maison et l'étang 
Elle n'a plus jamais peur du vent dis-lui 
Que j'oublie tous les souvenirs qui m'entrainent 
Dans toutes ces gares de la nuit 

Je l'aime de tout mon coeur qui balance 
Entre la folie et l'absence, je l'aime 
Parmi les genets de la lande 
Je vois des fleurs qui lui ressemblent 
Quand meme",Les Étangs de Mayenne
Didier Barbelivien,"Elsa 
Les manèges de Berlin tournaient dans tes bras 
Elsa 
La chanson des marins pleurait dans ta voix 
Elsa 
Le soleil du matin s'allumait sur toi 
Elsa 
Le printemps qui revient ne me guérit pas 

Je me souviens de ces yeux là 
Moitié bleu, moitié lilas 
Beaux comme un air d'opéra 
Je ne voyais plus que ça 

Je me souviens de ces yeux là
Sur ton visage en delta 
Même à des années de toi 
Je vis, mais je ne dors pas 

Elsa 
Les violons des tziganes se battaient pour toi 
Elsa 
Le sourire des nomades subissait ta loi 
Elsa 
Les nuits de Shéhérazade se moquaient du froid 
Elsa 
Dans mes longues promenades quand je pense à toi 

Je me souviens de ces yeux là 
Moitié bleu, moitié lilas 
Même à des années de toi 
Je vis, mais je ne dors pas 

Elsa 
Les manèges de Berlin tournent dans le froid 
Elsa 
La chanson des marins n'a plus rien de toi 
Elsa 
Le soleil ce matin ne brille pas pour moi 
Elsa 
Le printemps qui revient ne me guérit pas 

Je me souviens de ces yeux là 
Moitié bleu, moitié lilas 
Beaux comme un air d'opéra 
Je ne voyais plus que ça 

Je me souviens de ces yeux là
Sur ton visage en delta 
Même à des années de toi 
Je vis, mais je ne dors pas",Elsa
