Band,Lyrics,Song
Patty Loveless,"Well it's been a long time
Since I thought about a man
I never think about maybe 
Givin' him a hand
I don't have to think twice
When it comes to you
I only have to ask
Once for me to say I do

Baby baby you're my world
Present to live here for this here girl
You hung the moon and the stars above
Baby baby
So good to be in love

Well you make it so easy
You take a second chance
Open up my heart
And gamble on romance
I want to be there
Every night and every day
When I think about you
I get carried away

Baby baby you're my world
Present to live for this here girl
You hung the moon and the stars above
Baby baby
So good to be in love

Oh baby baby you're my world
Present to live for this here girl 
You hung the moon and the stars above
Baby baby
So good to be in love
So good to be in love",So Good to Be in Love
Patty Loveless,"I love the hands of the working man
Working all day in the sun
Every morning there's a mountain to be moved
By the end of the day it's done

I love the hands of my working man
Touching me tenderly
I can feel the heart of my working man
When his hands are holding me

Working man's hands, gentle as moonlight
Working man's hands, strong as steel
He must of been thinking 'bout me
When the Lord made my working man's hands

Daddy always wanted the best for me
Wanted me to have more than he had
He dreamed of riches and finer things
But I'd rather have a working man like my dad

Working man's hands, gentle as moonlight
Working man's hands, strong as steel
He must of been thinking 'bout me
When the Lord made my working man's hands

Life can be hard in this world of ours
But it's easier when someone cares
So I'll take the hand of my working man
He's the answer to this working girls prayers

Working man's hands, gentle as moonlight
Working man's hands, strong as steel
He must of been thinking 'bout me
When the Lord made my working man's hands

",Working Man's Hands
Patty Loveless,"When I close my eyes
I almost see
The way you look
When you were standing next to me
And I still feel you holdin' me tight
Oh I can hear the laughter
And all the words you whispered in the night

Picture this and paint it blue
A photograph of me and you
Smile has faded with the years
Washed away by all the tears
And when I look
All I see are blue memories

Oh how I remember the time
There was love in your heart
And that love was mine
If I could turn it all 'round again
We'd be lying side by side
And things would be the way
They were back then

Picture this and paint it blue
A photograph of me and you
Smile has faded with the years
Washed away by all the tears
And when I look
All I see are blue memories

Picture this and paint it blue
A photograph of me and you
Smile has faded with the years
Washed away by all the tears
And when I look
All I see are blue memories
Blue memories
Blue memories",Blue Memories
Patty Loveless,"I leave you with something
You can't understand
You can't buy or sell it
Or hold it in your hands
It's greater than this world of ours
Or the heavens above
I leave you with feelings of love

It's as free as the wild wind
As gentle as a lamb
It fills the angels with envy
It's givin' free to man
Gives courage to the lion
Peace to the dove
I leave you with feelings of love

Feelings of love
Are what make my love real
Feelings of love
Are the best things to feel
You gave it to me freely
Now I leave it with you
I leave you my feelings of love

It gives man to a woman
Gives a woman to her man
It makes friends out of enemy's
It makes our hearts join hands
You gave it to me freely
Now I leave it with you
I leave you my feelings of love",Feelings of Love
Patty Loveless,"There's a man in a Stetson hat, howlin' like an alley cat
Outside my window tonight
Sayin', ""Baby, put on something hot, meet me in the parking lot
About a quarter to nine""

I get the feelin' that he's never read Romeo and Juliet
I'm gettin' tired of these one night stands
But if you want to make a real romance

I'm that kind of girl, I'm that kind of girl
I ain't the woman in red, I ain't the girl next door
But if somewhere in the middle's what you're lookin' for
I'm that kind of girl, yes I'm that kind of girl

Let me tell you that I like my lovin' just as much as any woman
But I'm drawin' the line
A little sensitivity always seems to get to me every time
I'm a sucker for a love-sick fool
The kind that carries all your books in school
I'm getting tired of these one night stands
But if you're lookin' for a real romance

I'm that kind of girl, I'm that kind of girl
I ain't the woman in red, I ain't the girl next door
But if somewhere in the middle's what you're lookin' for
I'm that kind of girl, yes I'm that kind of girl

I'm that kind of girl, I'm that kind of girl
I ain't the woman in red, I ain't the girl next door
But if somewhere in the middle's what you're lookin' for
I'm that kind of girl, yes I'm that kind of girl

I'm that kind of girl, oh whoa
I'm that kind of girl, oh whoa",I'm That Kind of Girl
Patty Loveless,"The bright lights don't thrill me
 Like they used to do
 They only remind me
 Of times spent with you
 And every old memory
 Rekindles the flame
 I've got to stop loving you
 And start living again

 The people all tell me
 With time I'll forget
 The sweet love you gave me
 And they'll be no regrets
 But each time I see you
 It's always the same
 Oh I've got to stop loving you
 And start living again

 I've got stop dreaming
 About all the times
 When you told me
 You loved me
 And would always be mine
 And maybe one day
 Find somebody new
 And start living over
 And stop loving you

 The rain on my window
 Flows down like tears
 It seems to know that
 I'm lonesome in here
 Oh I guess I
 Should step out
 And see some old friends
 I've got to stop loving you
 And start living again
 Oh I've got to stop loving you
 And start living again",I've Got to Stop Loving You (And Start Living Again)
Patty Loveless,"I wonder should I tell you
About all the crazy things
I've ever done
I've been a rebel all my life
And when I should have stayed
I tried to run
I was searching for an answer
In this world full of strangers
But what I found was never enough
Now that I found you
Looking in the eyes of love

Darlin' you've been good to me
You are so much more than I deserve
I never thought that I would find
Someone who's so sweet and kind
Like you
Please believe me
When I say
This time I won't run away
I swear by all of heavens stars above
Now that I found you
I'm looking in the eyes of love

Looking in the eyes of love
I can see forever
I can see you and me
Walking through this old world together
Oh my hearts found a home
I've been dreaming of
Now that I found you
I'm looking in the eyes of love

Oh my hearts found a home
I've been dreaming of
Now that I found you
I'm looking in the eyes of love

Now that I found you
Looking in the eyes of love",Looking in the Eyes of Love
Patty Loveless,"Sylvia was workin' as a waitress in Beaumont
She said I'm movin' away, I'm gonna get what I want
I'm tired of these small-town boys that don't move fast enough
I'm gonna find me one who wears a leather jacket and likes his livin' rough

So she saved her tips and overtime and bought an old rusty car
She sold most everything she had to make a brand new start
She said I won't be needing these silly dresses and nylon hose
'Cause when I get to where I'm goin' I'm gonna buy me all new clothes

The night's too long, 
It just drags on and on
And then there's never enough,
That's when the sun starts comin' up
Don't let go of her hand,
You just might be the right man
She loves the night, She loves the night
She doesn't want the night, don't want it to end
Don't want it to end.

She works in an office now and she guesses the pays all right
She can buy a few new things to wear and still go out at night
And as soon as she gets home from work she wants to be out with the crowd
Where she can dance and toss her hair back and laugh out loud

Well the music's playin' fast and they just met
He presses up against her and his shirt's all soaked with sweat
And with her back against the bar she can listen to the band
And she's holdin' a Corona and it's cold against her hand

The night's too long, It just drags on and on
And then there's never enough,
That's when the sun starts comin' up
Don't let go of her hand,
You just might be the right man
She loves the night, She loves the night
She doesn't want the night, don't want it to end
Don't want it to end.",The Night's Too Long
Patty Loveless,"Tryin' to make a livin
That's the bottom line
It ain't easy tryin' to stretch
A nickle into a dime
Sweatin' for the dollar
Workin' for the man
Half goes to the
Landlord, Lord
And half to Uncle Sam

I can't get no consolation
I don't get no paid vacation
I can't get no satisfaction
And my tractor don't get no traction
Just doin' the best I can
Tryin' to make a stand
Laughin' and cryin'
Livin' and dyin' on down the line

I'll leave my soul to Jesus
I'll give my heart to you
And if you want the rest of me
Well, darlin you can have that too
Only love can save me
So darlin don't be late
If I don't get your lovin soon
I swear I'm gonna die today 

I can't get no consolation
I don't get no paid vacation
I can't get no satisfaction
And my tractor don't get no traction
Just doin' the best I can
Just tryin' to make a stand
Laughin' and cryin'
Livin' and dyin' on down the line

If I were a rich girl
It wouldn't be the same
I'd buy me a cadilac
And then I'd change my name
A poor girls dream inside me
And you by my side
We drive into the sunset
Ride sweet baby ride

I can't get no consolation
I don't get no paid vacation
I can't get no satisfaction
And my tractor don't get no traction
Just doin' the best I can
Tryin' to make a stand
Laughin' and cryin'
Livin' and dyin' on down the line

On down the line
On down the line
On down the line",On Down the Line
Patty Loveless,"Score is tied between us
In this lovin' game
I hear you say you're leavin'
But I think you will stay
I'm doing everything I can
To try and change your mind
Cause baby we can leave it here
We're going on overtime

Going on overtime
Going on overtime
Going on overtime
Going on overtime
Going on overtime
Baby take leaving off your mind
We're going on overtime

Now both of us are winners
Our love just can't lose
Don't look for your hat
Don't look for your coat
And don't worry bout your shoes
Lay back here in my lovin' arms
Get leaving off your mind
Love just crossed the 50 yard line
We're going on overtime

Going on overtime
Going on overtime
Going on overtime
Going on overtime
Going on overtime
Baby take leaving off your mind
We're going on overtime

Stay with me baby
Stay with me a while
Stay with me baby
Say it with your smile

Going on overtime
Going on overtime
Going on overtime
Going on overtime
I'm gonna love you 
Out of your mind
We're going on overtime

Oh baby take leaving off your mind
We're going on overtime",Overtime
Patty Loveless,"The wind is cold, I walk alone
My head is hanging low
The friend I found within myself
Is the only one I know

The blossoms of the dogwood tree
Have fallen all away
And like our love they lay to rest
Beneath the red, red clay

Some morning soon before the dawn
I'll wake to find you gone
I'm learning how to lose you now
And how to carry on

Your love, your love has known no fears
Your heart can feel no pain
I know, I know you'll soon be gone
To ride that midnight train

Some morning soon before the dawn
I'll wake to fine you gone
I'm learning how to lose you now
And how to carry on
I'm learning how to lose you now
And how to carry on
",Some Morning Soon
Patty Loveless,"When you said you love me
I believed it was true
It was true
And now you say you're leaving
Now you got me needing you
You go and say we're through
You say nothing last forever
That's so easy
You can walk away
But you won't be free

You can run everytime we touch
You can run when you feel to much
You can lie all alone in the dark
You can run from the one you need
You can run from the memories
But you can't run away from your heart

Said our love was real
More than any love you knew
It was good to you
But when I held you near me
I could feel all the fear in you
Runnin' through and through
You think tears are all that lie in true loves shadow
There's no place that you can run
Our love won't follow

You can run everytime we touch
You can run when you feel to much
You can lie all alone in the dark
You can run from the one you need
You can run from the memories
But you can't run away from your heart

You can run everytime we touch
You can run when you feel to much
You can lie all alone in the dark
You can run from the one you need
You can run from the memories
But you can't run away from your heart

No you can't run away
From your heart",You Can't Run Away from Your Heart
Patty Loveless,"Raindrops fall from the sky
Teardrops fall from my eyes
Can't stop myself from loving you
Your heartaches found a home
I walk these streets alone
Can't stop myself from loving you

I know I shouldn't waste my time
In dreams of yesterday
But your memory's all that
I have left
Since you've gone away
No matter what I do
My heart stays cold and blue
Can't stop myself from loving you

They say that time
Can heal a lonely heart
That's broke in two
But time ran out on me the day
You walked out of my world

So let the teardrops fall
The rain will hide them all
Can't stop myself from loving you
Can't stop myself from loving you",Can't Stop Myself from Loving You
Patty Loveless,"Who keeps on trusting you
When you been cheating
Spending your nights on the town?
Who keeps on saying
That she still wants you
When you're through runnin' around?
Who keeps on lovin' you
When you been lyin'
Sayin' things that ain't what they seem?

Well, God does
But I don't 
God will
But I won't
And that's the difference
Between God and me

God does, but I don't
God will, but I won't
And that's the difference
Between God and me 

So, who says she'll forgive you
Says that she'll miss you
And dream of your sweet memory?
Well God does
But I don't
God will 
But I won't
And that's the difference
Between God and me

God does, but I don't
God will, but I won't
And that's the difference 
Between God and me

God does, but I don't
God will, but I won't
And that's the difference
Between God and me",God Will
