Band,Lyrics,Song
Oleta Adams,"Have yourself a merry little Christmas
Let your heart be light
From now on, our troubles will be out of sight
Have yourself a merry little Christmas
Make the Yuletide gay
From now on, our troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years we all will be together
If the fates allow
So hang a shining star upon the highest bough
And have yourself a merry little Christmas now
 
Have yourself a merry little Christmas
Let your heart be light
From now on, our troubles will be out of sight
Have yourself a merry little Christmas
Make the Yuletide gay

From now on, our troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years we all will be together
If the fates allow
So hang a shining star upon the highest bough
And have yourself a merry little Christmas now",Have Yourself a Merry Little Christmas
Oleta Adams,"Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow

It doesn't show signs of pausing
And I've bought some corn for popping
The lights are turned way down low
Let it snow, let it snow, let it snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you'll really hold me tight
All the way home I'll be warm

The fire is slowly dying
And, my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, let it snow

Oh the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow

It doesn't show signs of pausing
And I've bought some corn for popping
The lights are turned way down low
Let it snow, let it snow, let it snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you'll really hold me tight
All the way home I'll be warm

The fire is slowly dying
And, my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, let it snow

Oh baby, let it snow, let it snow
I really want it to let it snow

",Let It Snow
Oleta Adams,"Hush now, don't explain
You're the cause of all my trouble and pain
Unless you're mine don't explain

My love, my love, my love don't explain
There is nothing with me not to gain
You know that I love you

Look at what lovin' has done
All my thoughts were real and so sincere
I was so completely yours

You know, I hear folks cha-cha-chatter
And I know you cheat
Right or wrong right now doesn't matter

You're here with me, sit down, have a seat
It's your time to feel the pain
It's your time to reel, don't explain

Hush now, don't explain
There is nothing with me now to gain
I'm gonna skip ?
Don't explain, don't explain",Don't Explain
Oleta Adams,"Let's just freeze the frame, savour the moment
Never let it fade away
Let's just pretend there's just you and me forever
If only for this one day
Sipping Mojitos and listening to Miles, playing our favorite games
And later we'll count all the stars in the sky; 
There's one I want to re-name

I want to feel every beat of heart
Losing myself in your arms
I'll hold on to every kiss that you give
And wear them like they're charms
There's nothing important or pressing to see
Outside of where you want to be
Settle back, relax my de----are
Let's just stay here

Let's just see if we have a flying dream
In the middle of the afternoon
You can hop aboard my shuttle, so I can take you to the moon
And we'll keep soaring around and round
To see how far we'll go
And it's time to be homeward bound, we'll come down really slow

You can tell me your favorite bedtime story 
And never even say a word
You can write a brand new song of love to a tune I've never heard
The fact of the matter just happens to be 
You're the only one that matters to me
Sit back, get closer de---are
Let's just stay here

Add...lib

Repeat last verse
",Let's Stay Here
Oletha Carter,"I looked over Jordan and what did I see?
Commin' for to carry me home
There was a band of angels, a-commin after me

Commin' for to carry me home
Swing low, sweet chariot
Commin' for to carry me home
Swing low, sweet chariot
Commin' for to carry me home

I'm sometimes up, and I'm sometimes down
Comin' for to carry me home
But but I know my soul is heavenly bound
Comin' for to carry me home

Swing low, sweet chariot
Comin' for to carry me home
Swing low, sweet chariot
Comin' for to carry me home
If you get there before I do
Comin' for to carry me home
Tell all my friends that I'm a-comin' too

Comin' for to carry me home
Swing low, sweet chariot
Commin' for to carry me home
Swing low, sweet chariot
Commin' for to carry me home
And now they're commin' for to carry me home",Swing Low Sweet Chariot
Olexesh,"Was trinkst du?
'N Bier
Ja Bier, doppelten Cola Rum, für dich?
Weiß ich nicht was du trinkst
Schenk ein das Ding
Schenk ein das Ding
Schenk mal die Scheiße ein Alter
Ich will mal bisschen was trinken man
Ich will von der Pfütze trinken
Mach mir ein Glas Pfützen-Wasser
Schön mit Eiswürfeln, kleinen Schirm drauf
Ganz locker

Filter, Feuer, Tabak, Blätchen, Voddi, Sprite, Becher exen
Amnesia fliest durch mein Hirn, wills nicht absetzen
Böser Stoff auf Parkplätzen, abdancen
Need for Speed sechs, Motorhaube weg flexen
Smith and Wesson, Dosenfutter, Abendessen
Locker in der Russenhocke, zwanzig Jahre absitzen
Trinken, feiern, saufen, kiffen, tanzen, Fotzen, Nasen sniffen
Acht Spuren, diskotheka keine Skrupel vor Verbrechen (vor Verbrechen)
Ein mieser Typ, der lügt für fünf Euro Tüten
Alles tut um dich zu ficken, Bares, Tauis, keine Mythen
Notlügen, um mich aus jeder Scheiße raus zu reiten
Glaub mir, Ol kanns nur auf die harte Weise
Parkplatz, Abfuck, nur in einer Alk Version
Hackedichte Nights, Olexesh Cho du wayst
Bratan, Bratan noch Bedarf für Alkohol
Geh kurz um die Ecke und piss ihm die Flasche voll

Auf dem Weg zum Club, begegnen mir
Hackedichte Resident Evil Sluts
Was ich hab sind Voddis im Sixpack
Hui v'glass, don't movin, ich seh acht Spuren

Auf dem Weg zum Club, begegnen mir
Hackedichte Resident Evil Sluts
Was ich hab sind Voddis im Sixpack
Hui v'glass, don't movin, ich seh acht Spuren

Es ist fast sechs, jetzt noch den letzten kiffen (kiffen)
Vor dem Club geil, dann ganz gemütlich resteficken (ficken)
District Siskat, verchromtes Damenrad
Auf dem Gepäckträger, Samir mit Joint in Hand
Stoned durch die Stadt, next stop combi session
Locker ein petzen in den dreckigsten Ecken
Nichts mit Alkopop, Vodis und Fisch und
Pfützencocktail, ein Auto gegen Wand Mischung
Geh mit Mixtapes big Fame, big Stakes
Wie du siehst Bruder, hab ich mit den Beat Sex
Immernoch auf Replay, alte Schule, Eastpak
Standart typ, strasa wie Drake
Joints drehen, langsam wird die Schlucha verdreht
Denn auf Pepp hat sie sich ein Arschgeweih tätowiert
Ambitioniert, ich bleibe der Straße treu
Und pump die Pulle ab, hinter dem Truck mein Freund

Auf dem Weg zum Club, begegnen mir
Hackedichte Resident Evil Sluts
Was ich hab sind Voddis im Sixpack
Hui v'glass, don't movin, ich seh acht Spuren

Auf dem Weg zum Club, begegnen mir
Hackedichte Resident Evil Sluts
Was ich hab sind Voddis im Sixpack
Hui v'glass, don't movin, ich seh acht Spuren",8 Spuren
Olexesh,"Aggressiv'ović, A-Aggressiv'ović
Aggressiv'ović, A-Aggressiv'ović
Authentisch seit Tag eins
Schick Mal den Rest weg
385I, Straßenrap für das Plattendeck

Aggressiv'ović, A-Aggressiv'ović
Aggressiv'ović, A-Aggressiv'ović
Authentisch seit Tag eins
Schick mal den Rest weg
385I, Straßenrap für das Plattendeck

Ich fessel dich am Heizungsrohr, lass dich drei Tage hungern
Bis dir klar ist, du bist Beute und ein kleiner Junge
Keiner fickt mit uns, bis du glotzt
Dann baller ich dich ab, nix mit Feinden, hier geht's mies ab
FFM, Lebe für die Stadt, komm ich schlitz dich auf
Knarre schießt, Blut fließt, Nase schief, Assis
Uzis, Muschis, Ferraris
Lambos, Vatos Locos, Vagos
Ja genau so und nicht anders, wir klären das
Entführen dich, zersägen dich du Hipster
Mit dem Hammer gibt's extra
Schneiden dich in Stücke und bringen es zum Metzger
Mörder, Blender, Pisser, ihr redet nur
Eure Wörter sind nicht echt, ist alles kur
Anstatt rumzuhuren, tu was für dein Geld
Das ist Fastlife, wir gehen zu zehnt auf dein' Held

Aggressiv'ović, A-Aggressiv'ović
Aggressiv'ović, A-Aggressiv'ović
Authentisch seit Tag eins
Schieck mal den Rest weg
385I, Straßenrap für das Plattendeck

Aggressiv'ović, A-Aggressiv'ović
Aggressiv'ović, A-Aggressiv'ović
Authentisch seit Tag eins
Schick mal den Rest weg
385I, Straßenrap für das Plattendeck

Spiel mir das Lied vom Tod, wie Clint Eastwood
Texas Deal, der Geier kreist um die Hood
Mit dem heißesten Stoff jag ich dich durch die Clubs
Und durchwühl jeden Puff, zwischen Risiko und Schmutz
Liege Tage vor deim' Haus, observieren ist mein Job
Mit dem Fernglas, seh' ich durch das Esszimmer dein' Kopf
Nein, die Sache ist nur die, du wirst heut' Nacht noch eingelocht
Während du im Knast sitzt, wird ein anderer gestoppt
24 Stunden kiff, kiff, 24 Stunden Rap
Kopfgeldjagd Fantomas-Distrikt, siskat
Viel zu krankhaft, ist nicht zu knacken
Dieser Safe ist gefickt, du darfst nichts davon haben
Sag nur Bratan, leg 'ne Nase Beton
Es geht eine Woche durch und dann nochmal von vorn
Authentisch seit Tag eins, schick mal den Rest weg
385I, Straßenrap für dein Plattendeck

Aggressiv'ović, A-Aggressiv'ović
Aggressiv'ović, A-Aggressiv'ović
Authentisch seit Tag eins
Schick mal den Rest weg
385I, Straßenrap für das Plattendeck

Aggressiv'ović, A-Aggressiv'ović
Aggressiv'ović, A-Aggressiv'ović
Authentisch seit Tag eins
Schick mal den Rest weg
385I, Straßenrap für das Plattendeck

Aggressiv'ović, A-Aggressiv'ović
Aggressiv'ović, A-Aggressiv'ović
Authentisch seit Tag eins
Schick mal den Rest weg
385I, Straßenrap für das Plattendeck

Aggressiv'ović, A-Aggressiv'ović
Aggressiv'ović, A-Aggressiv'ović
Authentisch seit Tag eins
Schick mal den Rest weg
385I, Straßenrap für das Plattendeck",Aggresiv'ovic
Olexesh,"Halt an vor dem Bull'n, Wagen-Testperson, Olexesh
Hollands Grenzen, in den Socken trag ich Baba Haze
Ganja smoken, du verstehst, solang du dein Limit kennst
Jeder schenkt mir Joints, 10er-Packs, ich hab 'n Haufen Fans
Bekommt 'n Fressflash während der Durchsuchung
Hände zittern, los geht's, der Beamte holt den Spürhund
Hoffentlich läuft es rund und die Behörde macht kein' Pfund
Lass mir bloß nix anmerken und halt immer schön mein' Mund
Immer winken sie zu uns, frag mich immer nur warum
Liegt es etwa an mein' Haar'n, ist euch der Boxerschnitt zu kurz?
Auf dem Teppich ist Schmutz, er sagt, hast du den Koffer?
Verstecken Sie etwas? Ich schüttle, nein, mit dem Kopf Bratan
hab nix zu verbergen, außer Haze knollen im Airbag
Ich riskier dafür mein' Arsch, weil die Ware es wert ist
Egal, was jetzt geschieht, koste es, was es wolle
Los, Augen zu und durch, willkommen zur Arschkontrolle

Arschkontrolle auf der Suche nach Drogen
Wertvolle Päckchen in Hosen und Muskeln
Einmal in die Hocke und husten
Es geht aha-aha, 100 pro, du gehst rein

Arschkontrolle auf der Suche nach Drogen
Wertvolle Päckchen in Hosen und Muskeln
Einmal in die Hocke und husten
Es geht aha-aha, 100 pro, du gehst rein

Sie machen weiter und durchsuchen meine Jungs
Doch die Ausweise sind mit weißem Pulver verschmutzt
Er hat's mit Koksern zu tun, eine ganz miese Bagage
Er ist wütend und schreit, Jungs, ihr könnt mich nicht verarschen!
Wie Sie seh'n, wir sind die falschen,
was ich hab, sind höchstens Pfandflaschen
Kofferraum, schauen Sie, ich brauche Ihn' nix vorzumachen
Sorry, Herr Kommissar, ich weiß es ist strafbar
Doch letzt Nacht war ich mit Marocs auf Beyda
Schweißtest durchgefallen, Kokain im Blut
Und ja, ich geb's zu, ich war mit Ramazan im Suff
Ich hab jetzt erstmal genug, wurd die ganze Nacht durchsucht
Verflucht, sei der Bulle, der auf mein' Vater tut
So langsam steigt meine Wut, wie gesagt, ich muss weg hier
Schalt das Navi ein, Kickdown Richtung 6-4
Noch bin ich im Hauptquartier, Glück hatt' ich gestern
Vertrauen ist gut, Kontrolle ist besser

Arschkontrolle auf der Suche nach Drogen
Wertvolle Päckchen in Hosen und Muskeln
Einmal in die Hocke und husten
Es geht aha-aha, 100 pro, du gehst rein

Arschkontrolle auf der Suche nach Drogen
Wertvolle Päckchen in Hosen und Muskeln
Einmal in die Hocke und husten
Es geht aha-aha, 100 pro, du gehst rein

Arschkontrolle auf der Suche nach Drogen
Wertvolle Päckchen in Hosen und Muskeln
Einmal in die Hocke und husten
Es geht aha-aha, 100 pro, du gehst rein

Arschkontrolle auf der Suche nach Drogen
Wertvolle Päckchen in Hosen und Muskeln
Einmal in die Hocke und husten
Es geht aha-aha, 100 pro, du gehst rein",Arschkontrolle
Olexesh,"Planlos und ziellos, nachts in die Spielos
Machmal läufts bös und er zieht dich ins Minus
Leben im Kino, alles nur Picos, ah
Hier spielt man Automat, Automat spielen ist leicht
Werf mal nen Zehner rein, vielleicht wirst du reich
Sizzling Hot, Supra Hot oder Book of Ra
Ist sicherer als bei Deutschland sucht den Superstar
Boah, ich hab fünf Siebener bekommen
Und genau wegen dem Flash schreib ich Automaten-Songs
Jetzt wird gezockt, wechsel alles was du hast
Auch der letzte Cent findet hier seinen Platz
Auf dem Club wird genatzt, ich brauch Adrenalin
Meine Jungs sind von der Straße und ich war niemals clean
Automat is wie Magie, manche sagen es wär Sucht
Von Gewinn zu Verlust, Schein für Schein wird versucht
Ich brauch diesen Schub, dazu ein paar Batzen
Ich hasse es wenn Leute meinen Automat anfassen
Es ist immer noch das gleiche Spiel
Ultra Hot ein Jackpot, rein muss er doch mein Job

Du fragst mich, warum ich kein Auto hab?
Weil ich spiel jeden Tag Automat
Herz rast, fünf Euro, fahr Voll Blatt
(Turbobuchen möglich) Drück Autostart

Du fragst mich, warum ich kein Auto hab?
Weil ich spiel jeden Tag Automat
Herz rast, fünf Euro, fahr Voll Blatt
(Turbobuchen möglich) Drück Autostart

Betrete die Spielothek, Tür öffnet sich elektrisch
Such mir 'nen Automaten, Hände sind schon mies zittrig
Einsatz unmöglich, nächster Dreh ist tödlich
Ich sag dir ganz ehrlich, Automaten spielen macht süchtig
Flüchtig, such ich nach dem Exit, doch nix da
Fünf Sekunden chillen kostet extra 'nen Hunderter
Dreh den Automat, dreh-dreh den Automat
Dreh den Automat, dreh-dreh den Automat
Ich verzock meine Gage und ich jammer nicht rum
Fünf Euro die Runde, geh wechseln du Hund!
Bruder leih mal 'nen Fuffi, ich hab alles verzockt
Los Fünfzig noch da rein, auf der Jagd nach dem Pott
Abrakadabra, der Schein wird zum Taler
Glänzendes Kleingeld, Spitzname Padler
Früher noch Nintendo, heute Automat
Hausverbot in Spielos mit Acht, ah

Du fragst mich, warum ich kein Auto hab?
Weil ich spiel jeden Tag Automat
Herz rast, fünf Euro, fahr Voll Blatt
(Turbobuchen möglich) Drück Autostart

Du fragst mich, warum ich kein Auto hab?
Weil ich spiel jeden Tag Automat
Herz rast, fünf Euro, fahr Voll Blatt
(Turbobuchen möglich) Drück Autostart

Bljad, Bljad, Kindergeld verspielt
Bljad, Bljad, kein Geld für Pampers
Bljad, Bljad, schlürf aus der Pfütze
Bljad, Bljad, mein Leben ist 'ne Münze",Avtomat
Olexesh,"M3, ah
OL, das Ende der Zeremonie

Man sagt das Beste kommt zum Schluss
385i Bruder des is' Frankfurt
Absturz, Königsdisziplin
Zwischen Skylines und Rotlicht die Hoffnung verlieren, ah

Man sagt das Beste kommt zum Schluss
385i Bruder des is' Frankfurt
Absturz, Königsdisziplin
Zwischen Skylines und Rotlicht die Hoffnung verlieren, ah

Man sagt das Beste kommt zum Schluss
385i Bruder des is' Frankfurt
Absturz, Königsdisziplin
Zwischen Skylines und Rotlicht die Hoffnung verlieren, ah

Das Outro gefolgt von zwei Tapes
Authentic Athletic, NED, alles geht
Datum steht, 2015
übernehmen die Top 10 und gehen
Lang genug gehungert ey, Zeit zum Abschalten
Doch ich muss zurück zur Heimat
Muss sie glücklich machen, Kopfsache
Dieser Plan liegt in Absprache
Ich will endlich auf 1 landen, abwarten
Benz fahren, dein 3. Album gibt es sowieso
Mir egal von wo, nächste Scheibe geht auf jeden Fall Chrom
Videos im Wettbüro, heb nich' ab guck woher du kommst
Ich treff das Ziel, mein Risiko, riskantes Spiel, Enemanimo
Los steig in den Flow, bring ihn auf's Limit
Nimm es, vertick es, verteile die Tickets
Stopp bin im sniffen, gib keine Chance
Masta, Outro, Excellence
Gib dir bös, ich sorg für den Hype
Todestag, zu krasse Vibes
Ich schnapp mir deins für Kranichstein
Zerfick den Markt und gehe ans Mic

Man sagt das Beste kommt zum Schluss
385i Bruder des is' Frankfurt
Absturz, Königsdisziplin
Zwischen Skylines und Rotlicht die Hoffnung verlieren, ah

Man sagt das Beste kommt zum Schluss
385i Bruder des is' Frankfurt
Absturz, Königsdisziplin
Zwischen Skylines und Rotlicht die Hoffnung verlieren, ah

Materielle Sachen machen dich nur unbeliebt
Das beste Beispiel dafür ist, wenn du Scheine siehst
Erfolg und Ruhm oder Hartz 4 und ausruhen
Bis ich verstand ich muss endlich was tun, also
Schrieb ich ein Album und setzte mir ein Ziel
Wenn man die Zeit zurückdreht wurde aus wenig viel
Daraufhin kam der Deal, 385i
Cem, Celo, Abdi holten mich ins Rapgebiet
Somit lernte ich mehr als nur Schwarzfahren
Jeden Tag der selbe Scheiß, ich war jung und unerfahren
Mit der Straßenbahn ging es Richtung Stadt
Treffen uns bei Johnny, weil er Papers dort einzelnd hat
Es ist ein Teufelskreis, raus kommst du schwer
Machst du durch und lässt los sagen andere du bist legendär
Doch was die ander'n sahen, hab ich schon längst gesehen
Und somit lernte ich den Sinn des Lebens zu verstehen

Man sagt das Beste kommt zum Schluss
385i Bruder des is' Frankfurt
Absturz, Königsdisziplin
Zwischen Skylines und Rotlicht die Hoffnung verlieren, ah

Man sagt das Beste kommt zum Schluss
385i Bruder des is' Frankfurt
Absturz, Königsdisziplin
Zwischen Skylines und Rotlicht die Hoffnung verlieren, ah

Man sagt das Beste kommt zum Schluss
385i Bruder des is' Frankfurt
Absturz, Königsdisziplin
Zwischen Skylines und Rotlicht die Hoffnung verlieren, ah",Ende der Zeremonie
